orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect,Degree
εἰ,εἰ,εἰ,εἰ,εἰ,ε,-20.0,SCONJ,c--------,,mark,0.0,ἐθελήσειε,(),False,xx̓,False,False,False,False,,,,,,,,,,
γάρ,γάρ,γάρ,γάρ,άρ,γ,-20.0,ADV,d--------,,advmod,0.0,δοκεῖ,(),False,xx́x,False,False,False,False,,,,,,,,,,
τις,τις,τις,τις,τις,τ,-20.0,PRON,p-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἐθελήσειε,(),True,xxx,True,False,False,False,Nom,Masc,Sing,,,,,,,
ἐθελήσειε,ἐθελήσειε,ἐθελήω,ἐθελήσειε,ειε,ε,-20.0,VERB,v3saoa---,Mood=Opt|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,δοκεῖ,(),False,x̓xxxx́xxxx,False,False,False,False,,,Sing,Opt,3,Past,Fin,Act,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,αἰτίαν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
αἰτίαν,αἰτίαν,αἰτία,αἰτίαν,́αν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἐθελήσειε,(),False,xx̓xx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἧς,ἧς,ἧς,ἧς,̔͂ς,η,-20.0,PRON,p-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,ἐδημιουργεῖτο,"(πᾶν,)",False,x̔͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἕνεκα,ἕνεκα,ἕνεκα,ἕνεκα,εκα,ε,-20.0,ADP,r--------,,case,0.0,ἧς,(),False,x̔́xxxx,False,False,False,False,,,,,,,,,,
τόδε,τόδε,τόδε,τόδε,́δε,τ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,πᾶν,(),False,xx́xx,False,False,False,False,Acc,Neut,Sing,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,πᾶν,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,
πᾶν,πᾶν,πᾶς,πᾶν,ᾶν,π,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,ἧς,"(ἧς,)",False,xx͂x,False,False,False,False,Acc,Neut,Sing,,,,,,,
ἐδημιουργεῖτο,ἐδημιουργεῖτο,ἐδημιουργεῖτο,ἐδημιουργεῖτο,͂το,ε,-20.0,VERB,v3siie---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,acl,0.0,αἰτίαν,(),False,x̓xxxx͂xx,False,False,False,False,,,Sing,Ind,3,Past,Fin,Mid,Imp,
διερευνᾶσθαι,διερευνᾶσθαι,διερευνᾶσθαι,διερευνᾶσθαι,θαι,δ,-20.0,VERB,v--pne---,Tense=Pres|VerbForm=Inf|Voice=Mid,xcomp,0.0,ἐδημιουργεῖτο,(),False,xxxx͂xxxx,False,False,False,False,,,,,,Pres,Inf,Mid,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐθελήσειε,(),False,",",False,True,False,False,,,,,,,,,,
δοκεῖ,δοκεῖ,δοκεῖ,δοκεῖ,εῖ,δ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,δοκεῖ,(),False,xxxx͂,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,,
μοι,μοι,ἐγώ,μοι,μοι,μ,-20.0,PRON,p1s---md-,Case=Dat|Gender=Masc|Number=Sing|Person=1,iobj,0.0,δοκεῖ,(),True,xxx,True,False,False,False,Dat,Masc,Sing,,1,,,,,
μὴ,μὴ,οὔμὴ,μὴ,μὴ,μ,-20.0,ADV,d--------,,advmod,0.0,διαμαρτεῖν,(),False,xx̀,False,False,False,False,,,,,,,,,,
διαμαρτεῖν,διαμαρτεῖν,διαμαρτεῖν,διαμαρτεῖν,ῖν,δ,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,xcomp,0.0,δοκεῖ,(),False,xxxx͂x,False,False,False,False,,,,,,Past,Inf,Act,,
σκοποῦ,σκοποῦ,σκοποῦ,σκοποῦ,οῦ,σ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,obj,0.0,διαμαρτεῖν,(),False,xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
φάμενος,φάμενος,φάμενος,φάμενος,νος,φ,-20.0,VERB,v-sppemn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,διαμαρτεῖν,(),False,xx́xxxx,False,False,False,False,Nom,Masc,Sing,,,Pres,Part,Mid,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,εἶπέ,(),False,",",False,True,False,False,,,,,,,,,,
ὅπερ,ὅπερ,οσ̔́περ,ὅπερ,περ,ο,-20.0,PRON,p-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,εἶπέ,(),False,x̔́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἀρχαίων,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ἀρχαίων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
ἀρχαίων,ἀρχαίων,ἀρχαίων,ἀρχαίων,́ων,α,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,advmod,0.0,εἶπέ,(),False,x̓xxxx́xx,False,False,False,False,Gen,Masc,Plur,,,,,,,
εἶπέ,εἶπέ,εἶπέ,εἶπέ,πέ,ε,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ccomp,0.0,φάμενος,(),False,xx̓͂xx́,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act,,
τις,τις,τις,τις,τις,τ,-20.0,PRON,p-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,εἶπέ,(),True,xxx,True,False,False,False,Nom,Masc,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀγαθὸν,(),False,",",False,True,False,False,,,,,,,,,,
ἀγαθὸν,ἀγαθὸν,ἀγαθὸν,ἀγαθὸν,ὸν,α,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,dep,0.0,εἶπέ,(),False,x̓xxxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
εἶναι,εἶναι,εἶναι,εἶναι,ναι,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,cop,0.0,ἀγαθὸν,(),False,xx̓͂xxx,False,False,False,False,,,,,,Pres,Inf,Act,,
τὸν,τὸν,τὸς,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,πατέρα,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
