orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect
τάξις,τάξις,τάξις,τάξις,ξις,τ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,τάξις,(),False,xx́xxx,False,False,False,False,Nom,Fem,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,τάξις,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,dep,0.0,δὲ,(),False,’,False,True,False,False,,,,,,,,,
ἀκολουθία,ἀκολουθία,ἀκολουθία,ἀκολουθία,ία,α,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,fixed,0.0,’,"(εἱρμός,)",False,x̓xxxx́x,False,False,False,False,Nom,Fem,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀκολουθία,(),False,xxx̀,False,False,False,False,,,,,,,,,
εἱρμός,εἱρμός,εἱρμός,εἱρμός,ός,ε,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,ἀκολουθία,"(ἀκολουθία,)",False,xx̔xxx́x,False,False,False,False,Nom,Masc,Sing,,,,,,
ἐστι,ἐστι,ἐστι,ἐστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,ἀκολουθία,(),False,x̓xxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,
προηγουμένων,προηγουμένων,προηγουμένων,προηγουμένων,νων,π,-20.0,VERB,v-pppamg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,nmod,0.0,ἀκολουθία,"(ἑπομένων,)",False,xxxx́xxx,False,False,False,False,Gen,Masc,Plur,,,Pres,Part,Act,
τινῶν,τινῶν,τινῶν,τινῶν,ῶν,τ,-20.0,PRON,p-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nsubj,0.0,προηγουμένων,(),False,xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,προηγουμένων,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἑπομένων,ἑπομένων,ἑπομένων,ἑπομένων,νων,ε,-20.0,VERB,v-pppemg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,conj,0.0,προηγουμένων,"(προηγουμένων,)",False,x̔xxxx́xxx,False,False,False,False,Gen,Masc,Plur,,,Pres,Part,Mid,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,εἰ,(),False,",",False,True,False,False,,,,,,,,,
εἰ,εἰ,εἰ,εἰ,εἰ,ε,-20.0,SCONJ,c--------,,mark,0.0,ἀποτελέσμασιν,(),False,xx̓,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἀποτελέσμασιν,(),False,xxx̀,False,False,False,False,,,,,,,,,
μὴ,μὴ,μὴ,μὴ,μὴ,μ,-20.0,ADV,d--------,,advmod,0.0,ἀποτελέσμασιν,(),False,xx̀,False,False,False,False,,,,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---nd-,Case=Dat|Gender=Neut|Number=Plur,det,0.0,ἀποτελέσμασιν,(),False,xxx͂x,False,False,False,False,Dat,Neut,Plur,,,,,,
ἀποτελέσμασιν,ἀποτελέσμασιν,ἀποτελέσμα,ἀποτελέσμασιν,σιν,α,-20.0,NOUN,n-p---nd-,Case=Dat|Gender=Neut|Number=Plur,obl,0.0,προηγουμένων,"(τοι, ἐπινοίαις)",False,x̓xxxx́xxxx,False,False,False,False,Dat,Neut,Plur,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀλλά,(),False,",",False,True,False,False,,,,,,,,,
ἀλλά,ἀλλά,ἀλλά,ἀλλά,λά,α,-20.0,CCONJ,c--------,,cc,0.0,ἀποτελέσμασιν,(),False,x̓xxx́,False,False,False,False,,,,,,,,,
τοι,τοι,τοι,τοι,τοι,τ,-20.0,ADV,d--------,,conj,0.0,ἀποτελέσμασιν,"(ἀποτελέσμασιν, ἐπινοίαις)",True,xxx,True,False,False,False,,,,,,,,,
ταῖς,ταῖς,ταῖς,ταῖς,ῖς,τ,-20.0,DET,l-p---fd-,Case=Dat|Gender=Fem|Number=Plur,det,0.0,ἐπινοίαις,(),False,xxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,τεκταινομένων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,
τεκταινομένων,τεκταινομένων,τεκταινομένων,τεκταινομένων,νων,τ,-20.0,VERB,v-pppemg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,nmod,0.0,ἐπινοίαις,(),False,xxxx́xxx,False,False,False,False,Gen,Masc,Plur,,,Pres,Part,Mid,
ἐπινοίαις,ἐπινοίαις,ἐπινοίαις,ἐπινοίαις,αις,ε,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,conj,0.0,ἀποτελέσμασιν,"(ἀποτελέσμασιν, τοι)",False,x̓xxxx́xxx,False,False,False,False,Dat,Fem,Plur,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,τάξις,(),False,·,False,True,False,False,,,,,,,,,
οὕτως,οὕτως,οὕτως,οὕτως,τως,ο,-20.0,ADV,d--------,,advmod,0.0,ἔμελλον,(),False,xx̔́xxx,False,False,False,False,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ἔμελλον,(),False,xx̀x,False,False,False,False,,,,,,,,,
ἔμελλον,ἔμελλον,ἔμελλον,ἔμελλον,λον,ε,-20.0,VERB,v1siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἔμελλον,(),False,x̓́xxxx,False,False,False,False,,,Sing,Ind,1,Past,Fin,Act,Imp
ἠκριβῶσθαί,ἠκριβῶσθαί,ἠκριβῶσθαί,ἠκριβῶσθαί,αί,η,-20.0,VERB,v--rne---,Aspect=Perf|Tense=Past|VerbForm=Inf|Voice=Mid,xcomp,0.0,ἔμελλον,"(ἀπλανεῖς, ἀσύγχυτοι)",False,x̓xxxx͂xxxx́,False,False,False,False,,,,,,Past,Inf,Mid,Perf
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,ἠκριβῶσθαί,(),True,xx,True,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἠκριβῶσθαί,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἀπλανεῖς,ἀπλανεῖς,ἀπλανεῖς,ἀπλανεῖς,ῖς,α,-20.0,ADJ,a-p---ma-,Case=Acc|Gender=Masc|Number=Plur,conj,0.0,ἠκριβῶσθαί,"(ἠκριβῶσθαί, ἀσύγχυτοι)",False,x̓xxxx͂x,False,False,False,False,Acc,Masc,Plur,,,,,,
εἶναι,εἶναι,εἶναι,εἶναι,ναι,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,cop,0.0,ἀπλανεῖς,(),False,xx̓͂xxx,False,False,False,False,,,,,,Pres,Inf,Act,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἠκριβῶσθαί,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἀσύγχυτοι,ἀσύγχυτοι,ἀσύγχυτος,ἀσύγχυτοι,τοι,α,-20.0,ADJ,a-p---mn-,Case=Nom|Gender=Masc|Number=Plur,conj,0.0,ἠκριβῶσθαί,"(ἠκριβῶσθαί, ἀπλανεῖς)",False,x̓xx́xxxx,False,False,False,False,Nom,Masc,Plur,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἔμελλον,(),False,.,False,True,False,False,,,,,,,,,
