orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Degree
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,λεγόμενον,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,εἴσεται,(),False,xx̀,False,False,False,False,,,,,,,,,
μὴ,μὴ,μὴ,μὴ,μὴ,μ,-20.0,ADV,d--------,,advmod,0.0,συνεὶς,(),False,xx̀,False,False,False,False,,,,,,,,,
συνεὶς,συνεὶς,συνεὶς,συνεὶς,ὶς,σ,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,εἴσεται,(),False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,Past,Part,Act,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,λεγόμενον,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,
λεγόμενον,λεγόμενον,λεγόμενον,λεγόμενον,νον,λ,-20.0,VERB,v-sppena-,Case=Acc|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,nsubj,0.0,εἴσεται,(),False,xxxx́xxxx,False,False,False,False,Acc,Neut,Sing,Pres,Part,Mid,,,
ἔκ,ἔκ,ἔκ,ἔκ,̓́κ,ε,-20.0,ADP,r--------,,case,0.0,παιδιᾶς,(),False,x̓́x,False,False,False,False,,,,,,,,,
τινος,τινος,τὶς,τινος,νος,τ,-20.0,ADJ,a-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,παιδιᾶς,(),True,xxxx,True,False,False,False,Gen,Neut,Sing,,,,,,
παιδιᾶς,παιδιᾶς,παιδιᾶ,παιδιᾶς,ᾶς,π,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,εἴσεται,(),False,xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
εἴσεται,εἴσεται,γιεἴσκω,εἴσεται,ται,ε,-20.0,VERB,v3sfim---,Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Mid,ROOT,0.0,εἴσεται,(),False,xx̓́xxxx,False,False,False,False,,,Sing,Fut,Fin,Mid,Ind,3,
πάνυ,πάνυ,πάνυ,πάνυ,́νυ,π,-20.0,ADV,d--------,,advmod,0.0,συνήθους,(),False,xx́xx,False,False,False,False,,,,,,,,,
συνήθους,συνήθους,συνήθους,συνήθους,ους,σ,-20.0,ADJ,A-,Case=Gen|Degree=Pos|Gender=Neut|Number=Sing,xcomp,0.0,εἴσεται,(),False,xxxx́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,,Pos
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,εἴσεται,(),False,.,False,True,False,False,,,,,,,,,
