orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Mood,Person,Tense,VerbForm,Voice,Degree
ταύτης,ταύτης,ταύτης,ταύτης,της,τ,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,πόλεως,(),False,xxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,πόλεως,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
πόλεως,πόλεως,πόλις,πόλεως,εως,π,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,πολίτας,"(πολιτείας,)",False,xx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,πόλεως,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πολιτείας,πολιτείας,πολιτεία,πολιτείας,́ας,π,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,πόλεως,"(πόλεως,)",False,xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἔδει,ἔδει,ἔδει,ἔδει,δει,ε,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἔδει,(),False,x̓́xxx,False,False,False,False,,,Sing,Imp,Ind,3,Past,Fin,Act,
τινὰς,τινὰς,τινὰς,τινὰς,ὰς,τ,-20.0,ADJ,a-p---ma-,Case=Acc|Gender=Masc|Number=Plur,case,0.0,ἀνθρώπου,(),False,xxxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,,,
εἶναι,εἶναι,εἶναι,εἶναι,ναι,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,cop,0.0,ἀνθρώπου,(),False,xx̓͂xxx,False,False,False,False,,,,,,,Pres,Inf,Act,
πρὸ,πρὸ,πρὸ,πρὸ,ρὸ,π,-20.0,ADP,r--------,,case,0.0,ἀνθρώπου,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἀνθρώπου,ἀνθρώπου,ἀνθρώπου,ἀνθρώπου,που,α,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,dep,0.0,ἔδει,(),False,x̓xxxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
πολίτας,πολίτας,πολίτης,πολίτας,τας,π,-20.0,NOUN,n-p---ma-,Case=Acc|Gender=Masc|Number=Plur,ccomp,0.0,ἔδει,(),False,xxxx́xxx,False,False,False,False,Acc,Masc,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,οἳ,(),False,",",False,True,False,False,,,,,,,,,,
οἳ,οἳ,οἳ,οἳ,ἳ,ο,-20.0,PUNCT,V-,,dep,0.0,ἔδει,(),False,xx̔̀,False,False,False,False,,,,,,,,,,
λέγοιντο᾽,λέγοιντο᾽,λέγοιντο᾽,λέγοιντο᾽,το᾽,λ,-20.0,DET,l-p---mn-,Case=Nom|Gender=Masc|Number=Plur,det,0.0,μεγαλοπολῖται,(),False,xx́xxxx᾽,False,False,False,False,Nom,Masc,Plur,,,,,,,
ἄν,ἄν,ἄν,ἄν,̓́ν,α,-20.0,ADV,d--------,,advmod,0.0,λαχόντες,(),False,x̓́x,False,False,False,False,,,,,,,,,,
ἐνδίκως,ἐνδίκως,ἐνδίκως,ἐνδίκως,κως,ε,-20.0,ADV,d--------,,advmod,0.0,οἰκεῖν,(),False,x̓xxx́xxx,False,False,False,False,,,,,,,,,,
μεγαλοπολῖται,μεγαλοπολῖται,μεγαλοπολῖτης,μεγαλοπολῖται,ται,μ,-20.0,NOUN,n-p---mn-,Case=Nom|Gender=Masc|Number=Plur,nsubj,0.0,οἰκεῖν,(),False,xxxx͂xxx,False,False,False,False,Nom,Masc,Plur,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,περίβολον,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
μέγιστον,μέγιστον,μέγας,μέγιστον,τον,μ,-20.0,ADJ,a-s---mas,Case=Acc|Degree=Sup|Gender=Masc|Number=Sing,nmod,0.0,περίβολον,(),False,xx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,Sup
περίβολον,περίβολον,περίβολος,περίβολον,λον,π,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,οἰκεῖν,(),False,xxxx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
οἰκεῖν,οἰκεῖν,οἰκεῖν,οἰκεῖν,ῖν,ο,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,xcomp,0.0,λαχόντες,(),False,xx̓xxx͂x,False,False,False,False,,,,,,,Pres,Inf,Act,
λαχόντες,λαχόντες,λαχόντες,λαχόντες,τες,λ,-20.0,VERB,v-papamn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἔδει,"(ἐγγραφέντες,)",False,xxxx́xxxx,False,False,False,False,Nom,Masc,Plur,,,,Past,Part,Act,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,λαχόντες,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---nd-,Case=Dat|Gender=Neut|Number=Sing,det,0.0,πολιτεύματι,(),False,xx͂ͅ,False,False,False,False,Dat,Neut,Sing,,,,,,,
μεγίστῳ,μεγίστῳ,μεγίστῳ,μεγίστῳ,τῳ,μ,-20.0,ADJ,a-s---nd-,Case=Dat|Gender=Neut|Number=Sing,nmod,0.0,πολιτεύματι,"(τελειοτάτῳ,)",False,xxxx́xxxͅ,False,False,False,False,Dat,Neut,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,μεγίστῳ,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τελειοτάτῳ,τελειοτάτῳ,τελειοτάτῳ,τελειοτάτῳ,τῳ,τ,-20.0,ADJ,a-s---mds,Case=Dat|Degree=Sup|Gender=Neut|Number=Sing,conj,0.0,μεγίστῳ,"(μεγίστῳ,)",False,xxxx́xxͅ,False,False,False,False,Dat,Neut,Sing,,,,,,,Sup
πολιτεύματι,πολιτεύματι,πολιτεύμα,πολιτεύματι,ατι,π,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,obl,0.0,ἐγγραφέντες,(),False,xxxx́xxxx,False,False,False,False,Dat,Neut,Sing,,,,,,,
ἐγγραφέντες,ἐγγραφέντες,ἐγγραφέντες,ἐγγραφέντες,τες,ε,-20.0,VERB,v-pppamn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,conj,0.0,λαχόντες,"(λαχόντες,)",False,x̓xxxx́xxxx,False,False,False,False,Nom,Masc,Plur,,,,Pres,Part,Act,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἔδει,(),False,.,False,True,False,False,,,,,,,,,,
