orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Mood,Person,Tense,VerbForm,Voice,Degree
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,ἡλικίας,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,,
ἡλικίας,ἡλικίας,ἡλικία,ἡλικίας,́ας,η,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἀνέγραψε,(),False,x̔xxxx́xx,False,False,False,False,Acc,Fem,Plur,,,,,,,
ταύτας,ταύτας,ταύτας,ταύτας,τας,τ,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,ἡλικίας,(),False,xxx́xxx,False,False,False,False,Acc,Fem,Plur,,,,,,,
ἀνέγραψε,ἀνέγραψε,ἀνέγραψε,ἀνέγραψε,αψε,α,-20.0,VERB,v3saia---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἀνέγραψε,(),False,x̓xx́xxxx,False,False,False,False,,,Sing,Perf,Ind,3,Past,Fin,Act,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,σόλων,(),False,xxx̀,False,False,False,False,,,,,,,,,,
σόλων,σόλων,σόλων,σόλων,λων,σ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἀνέγραψε,(),False,xx́xxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,σόλων,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ἀθηναίων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
ἀθηναίων,ἀθηναίων,ἀθηναίων,ἀθηναίων,́ων,α,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,νομοθέτης,(),False,x̓xxxx́xx,False,False,False,False,Gen,Masc,Plur,,,,,,,
νομοθέτης,νομοθέτης,νομοθέτης,νομοθέτης,της,ν,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,σόλων,(),False,xxxx́xxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
ἐλεγεῖα,ἐλεγεῖα,ἐλεγεῖον,ἐλεγεῖα,ῖα,ε,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,ποιήσας,(),False,x̓xxxx͂x,False,False,False,False,Acc,Neut,Plur,,,,,,,
ποιήσας,ποιήσας,ποιήσας,ποιήσας,σας,π,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,acl,0.0,σόλων,(),False,xxxx́xxx,False,False,False,False,Nom,Masc,Sing,,,,Past,Part,Act,
τάδε,τάδε,τάδε,τάδε,́δε,τ,-20.0,PRON,p-p---na-,Case=Acc|Gender=Neut|Number=Plur,nmod,0.0,ἐλεγεῖα,(),False,xx́xx,False,False,False,False,Acc,Neut,Plur,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἀνέγραψε,(),False,·,False,True,False,False,,,,,,,,,,
παῖς,παῖς,παῖς,παῖς,ῖς,π,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,xcomp,0.0,ἐκβάλλει,(),False,xxx͂x,False,False,False,False,Nom,Masc,Sing,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,PART,g--------,,advmod,0.0,ἐκβάλλει,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ἄνηβος,ἄνηβος,ἄνηβος,ἄνηβος,βος,α,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,acl,0.0,φύσας,(),False,x̓́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
ἐὼν,ἐὼν,ἐὼν,ἐὼν,ὼν,ε,-20.0,AUX,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,cop,0.0,ἄνηβος,(),False,x̓x̀x,False,False,False,False,Nom,Masc,Sing,,,,Pres,Part,Act,
ἔτι,ἔτι,ἔτι,ἔτι,́τι,ε,-20.0,ADV,d--------,,advmod,0.0,νήπιος,(),False,x̓́xx,False,False,False,False,,,,,,,,,,
νήπιος,νήπιος,νήπιος,νήπιος,ιος,ν,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,xcomp,0.0,ἄνηβος,(),False,xx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
ἕρκος,ἕρκος,ἕρκος,ἕρκος,κος,ε,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,νήπιος,(),False,x̔́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
ὀδόντων,ὀδόντων,ὀδόντων,ὀδόντων,των,ο,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἕρκος,(),False,x̓xx́xxxx,False,False,False,False,Gen,Masc,Plur,,,,,,,
φύσας,φύσας,φύσας,φύσας,σας,φ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἐκβάλλει,(),False,xx́xxx,False,False,False,False,Acc,Fem,Plur,,,,,,,
ἐκβάλλει,ἐκβάλλει,ἐκβάλλω,ἐκβάλλει,λει,ε,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ἐκβάλλει,(),False,x̓xxx́xxxx,False,False,False,False,,,Sing,,Ind,3,Pres,Fin,Act,
πρῶτον,πρῶτον,πρῶτος,πρῶτον,τον,π,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,ἐκβάλλει,(),False,xxx͂xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἔτεσι,(),False,x̓x,False,False,False,False,,,,,,,,,,
ἕπτ,ἕπτ,ἕπτ,ἕπτ,́πτ,ε,-20.0,ADP,R-,,case,0.0,ἔτεσι,(),False,x̔́xx,False,False,False,False,,,,,,,,,,
’,’,ί,',’,’,-20.0,ADP,R-,,det,0.0,ἔτεσι,(),False,’,False,True,False,False,,,,,,,,,,
ἔτεσι,ἔτεσι,ἔτος,ἔτεσι,εσι,ε,-20.0,NOUN,n-p---nd-,Case=Dat|Gender=Neut|Number=Plur,obl,0.0,ἐκβάλλει,(),False,x̓́xxxx,False,False,False,False,Dat,Neut,Plur,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἐκβάλλει,(),False,·,False,True,False,False,,,,,,,,,,
τοὺς,τοὺς,τοὺς,τοὺς,ὺς,τ,-20.0,DET,l-p---ma-,Case=Acc|Gender=Masc|Number=Plur,det,0.0,ἑτέρους,(),False,xxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἐκφαίνει,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,ἐκφαίνει,(),False,’,False,True,False,False,,,,,,,,,,
ἑτέρους,ἑτέρους,ἑτέρους,ἑτέρους,ους,ε,-20.0,ADJ,a-p---ma-,Case=Acc|Gender=Masc|Number=Plur,obj,0.0,ἐκφαίνει,(),False,x̔xx́xxxx,False,False,False,False,Acc,Masc,Plur,,,,,,,
ὅτε,ὅτε,ὅτε,ὅτε,́τε,ο,-20.0,SCONJ,c--------,,mark,0.0,τελέσῃ,(),False,x̔́xx,False,False,False,False,,,,,,,,,,
δὴ,δὴ,δὴ,δὴ,δὴ,δ,-20.0,PART,g--------,,advmod,0.0,τελέσῃ,(),False,xx̀,False,False,False,False,,,,,,,,,,
τελέσῃ,τελέσῃ,τελέσῃ,τελέσῃ,σῃ,τ,-20.0,VERB,v3sasa---,Mood=Sub|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,ἐκφαίνει,(),False,xxxx́xxͅ,False,False,False,False,,,Sing,,Sub,3,Past,Fin,Act,
θεὸς,θεὸς,θεὸς,θεὸς,ὸς,θ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,τελέσῃ,(),False,xxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,
ἕπτ,ἕπτ,ἕπτ,ἕπτ,́πτ,ε,-20.0,ADP,r--------,,case,0.0,ἐνιαυτούς,(),False,x̔́xx,False,False,False,False,,,,,,,,,,
’,’,ε,',’,’,-20.0,ADP,d--------,,case,0.0,ἐνιαυτούς,(),False,’,False,True,False,False,,,,,,,,,,
ἐνιαυτούς,ἐνιαυτούς,ἐνιαυτούς,ἐνιαυτούς,ύς,ε,-20.0,NOUN,n-p---ma-,Case=Acc|Gender=Masc|Number=Plur,obl,0.0,τελέσῃ,(),False,x̓xxxx́x,False,False,False,False,Acc,Masc,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τελέσῃ,(),False,",",False,True,False,False,,,,,,,,,,
ἥβης,ἥβης,ἥβη,ἥβης,βης,η,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,θεὸς,(),False,x̔́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἐκφαίνει,ἐκφαίνει,ἐκφαίνω,ἐκφαίνει,νει,ε,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ἐκφαίνει,(),False,x̓xxxx́xxx,False,False,False,False,,,Sing,,Ind,3,Pres,Fin,Act,
σήματα,σήματα,σήμα,σήματα,ατα,σ,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,ἐκφαίνει,(),False,xx́xxxx,False,False,False,False,Acc,Neut,Plur,,,,,,,
γιγνομένης,γιγνομένης,γιγνομένης,γιγνομένης,νης,γ,-20.0,VERB,v-sppefg-,Case=Gen|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,ἐκφαίνει,(),False,xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,Pres,Part,Mid,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἐκφαίνει,(),False,·,False,True,False,False,,,,,,,,,,
τῇ,τῇ,τῇ,τῇ,ῇ,τ,-20.0,DET,l-s---fd-,Case=Dat|Gender=Fem|Number=Sing,det,0.0,τριτάτῃ,(),False,xx͂ͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
τριτάτῃ,τριτάτῃ,τριτάτῃ,τριτάτῃ,τῃ,τ,-20.0,ADJ,a-s---fd-,Case=Dat|Gender=Fem|Number=Sing,advmod,0.0,λαχνοῦται,(),False,xxxx́xxͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,λαχνοῦται,(),False,xx̀,False,False,False,False,,,,,,,,,,
γένειον,γένειον,γένειον,γένειον,ιον,γ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,λαχνοῦται,(),False,xx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,,
ἀεξομένων,ἀεξομένων,ἀεξομένων,ἀεξομένων,νων,α,-20.0,VERB,v-pppeng-,Case=Gen|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,λαχνοῦται,(),False,x̓xxxx́xxx,False,False,False,False,Gen,Fem,Plur,,,,Pres,Part,Mid,
ἔτι,ἔτι,ἔτι,ἔτι,́τι,ε,-20.0,ADV,d--------,,advmod,0.0,ἀεξομένων,(),False,x̓́xx,False,False,False,False,,,,,,,,,,
γυίων,γυίων,γυίων,γυίων,́ων,γ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nsubj,0.0,ἀεξομένων,(),False,xxx́xx,False,False,False,False,Gen,Neut,Plur,,,,,,,
