orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,PronType,Tense,VerbForm,Voice,Mood,Person,Aspect,Degree
ἀεροπόρων,ἀεροπόρων,ἀεροπόρος,ἀεροπόρων,ρων,α,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,conj,0.0,χερσαίων,"(χερσαίων, ἐνύδρων)",False,x̓xxxx́xxx,False,False,False,False,Gen,Masc,Plur,,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,καθίστη,(),False,·,False,True,False,False,,,,,,,,,,,
ὅσα,ὅσα,ὅσος,ὅσα,́σα,ο,-20.0,ADJ,Pr,Case=Acc|Gender=Neut|Number=Plur,dep,0.0,ὑπέταττεν,(),False,x̔́xx,False,False,False,False,Acc,Neut,Plur,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ὑπέταττεν,(),False,xx̀x,False,False,False,False,,,,,,,,,,,
θνητὰ,θνητὰ,θνητὰ,θνητὰ,τὰ,θ,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,ὑπέταττεν,(),False,xxxx̀,False,False,False,False,Nom,Neut,Plur,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,στοιχείοις,(),False,x̓x,False,False,False,False,,,,,,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---nd-,Case=Dat|Gender=Neut|Number=Plur,det,0.0,στοιχείοις,(),False,xxx͂x,False,False,False,False,Dat,Neut,Plur,,,,,,,,
τρισὶ,τρισὶ,τρισὶ,τρισὶ,σὶ,τ,-20.0,NUM,m-p---md-,Case=Dat|Gender=Masc|Number=Plur,nmod,0.0,στοιχείοις,(),False,xxxx̀,False,False,False,False,Dat,Masc,Plur,,,,,,,,
στοιχείοις,στοιχείοις,στοιχείοις,στοιχείοις,οις,σ,-20.0,NOUN,n-p---nd-,Case=Dat|Gender=Neut|Number=Plur,obl,0.0,ὑπέταττεν,(),False,xxxx́xxx,False,False,False,False,Dat,Neut,Plur,,,,,,,,
γῇ,γῇ,γῇ,γῇ,ῇ,γ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,ὑπέταττεν,(),False,xx͂ͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,,
ὕδατι,ὕδατι,ὕδωρ,ὕδατι,ατι,υ,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,nmod,0.0,γῇ,(),False,x̔́xxxx,False,False,False,False,Dat,Neut,Sing,,,,,,,,
ἀέρι,ἀέρι,ἀέρι,ἀέρι,́ρι,α,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,nmod,0.0,ὕδατι,(),False,x̓x́xx,False,False,False,False,Dat,Masc,Sing,,,,,,,,
πάντα,πάντα,πάντος,πάντα,ντα,π,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,ὑπέταττεν,(),False,xx́xxx,False,False,False,False,Acc,Neut,Plur,,,,,,,,
ὑπέταττεν,ὑπέταττεν,ὑπέταττεν,ὑπέταττεν,τεν,υ,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ὑπέταττεν,(),False,x̔xx́xxxx,False,False,False,False,,,Sing,,Past,Fin,Act,Ind,3,Imp,
αὐτῷ,αὐτῷ,αὐτῷ,αὐτῷ,ῷ,α,-20.0,PRON,p-s---nd-,Case=Dat|Gender=Masc|Number=Sing,iobj,0.0,ὑπέταττεν,(),False,xx̓xx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ὑπεξελόμενος,(),False,",",False,True,False,False,,,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,ὑπεξελόμενος,(),False,xx̀,False,False,False,False,Acc,Neut,Plur,,,,,,,,
κατά,κατά,κατά,κατά,τά,κ,-20.0,ADP,r--------,,case,0.0,οὐρανὸν,(),False,xxxx́,False,False,False,False,,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,r--------,,case,0.0,οὐρανὸν,(),False,’,False,True,False,False,,,,,,,,,,,
οὐρανὸν,οὐρανὸν,οὐρανὸν,οὐρανὸν,ὸν,ο,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,τὰ,(),False,xx̓xxxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,,
ὑπεξελόμενος,ὑπεξελόμενος,ὑπεξελόμενος,ὑπεξελόμενος,νος,υ,-20.0,VERB,v-sppemn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,ὑπέταττεν,(),False,x̔xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,,Pres,Part,Mid,,,,
ἅτε,ἅτε,ἅτε,ἅτε,́τε,α,-20.0,ADV,d--------,,advmod,0.0,ἐπιλαχόντα,(),False,x̔́xx,False,False,False,False,,,,,,,,,,,
θειοτέρας,θειοτέρας,θειοτέρας,θειοτέρας,ρας,θ,-20.0,ADJ,A-,Case=Acc|Degree=Cmp|Gender=Fem|Number=Plur,nmod,0.0,μοίρας,(),False,xxxx́xxx,False,False,False,False,Acc,Fem,Plur,,,,,,,,Cmp
μοίρας,μοίρας,μοίρας,μοίρας,ρας,μ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἐπιλαχόντα,(),False,xxx́xxx,False,False,False,False,Acc,Fem,Plur,,,,,,,,
ἐπιλαχόντα,ἐπιλαχόντα,ἐπιλαχόντα,ἐπιλαχόντα,ντα,ε,-20.0,VERB,v-sfpama-,Case=Acc|Gender=Masc|Number=Sing|Tense=Fut|VerbForm=Part|Voice=Act,xcomp,0.0,ὑπεξελόμενος,(),False,x̓xxxx́xxx,False,False,False,False,Acc,Masc,Sing,,Fut,Part,Act,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ὑπέταττεν,(),False,.,False,True,False,False,,,,,,,,,,,
