orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice
ταῦτα,ταῦτα,ταῦτα,ταῦτα,͂τα,τ,-20.0,PRON,p-p---nn-,Case=Nom|Gender=Neut|Number=Plur,obj,0.0,προειρήσθω,(),False,xxx͂xx,False,False,False,False,Nom,Neut,Plur,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,προειρήσθω,(),False,xx̀x,False,False,False,False,,,,,,,,
ἀναγκαίως,ἀναγκαίως,ἀναγκαίως,ἀναγκαίως,́ως,α,-20.0,ADV,d--------,,advmod,0.0,προειρήσθω,(),False,x̓xxxx́xx,False,False,False,False,,,,,,,,
περὶ,περὶ,περὶ,περὶ,ρὶ,π,-20.0,ADP,r--------,,case,0.0,σεμνότητος,(),False,xxxx̀,False,False,False,False,,,,,,,,
σεμνότητος,σεμνότητος,σεμνότης,σεμνότητος,τος,σ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,προειρήσθω,(),False,xxxx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔχει,(),False,",",False,True,False,False,,,,,,,,
ἣν,ἣν,ἣν,ἣν,̔̀ν,η,-20.0,PRON,p-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἔχει,(),False,x̔̀x,False,False,False,False,Acc,Fem,Sing,,,,,
ἔχει,ἔχει,ἔχω,ἔχει,χει,ε,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,acl,0.0,σεμνότητος,"(χρὴ,)",False,x̓́xxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act
τὸ,τὸ,τὸς,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,διάγραμμα,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,
διάγραμμα,διάγραμμα,διάγραμμα,διάγραμμα,μμα,δ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,ἔχει,"(πλινθίον,)",False,xxx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,ADV,d--------,,advmod,0.0,διάγραμμα,(),False,x̓̀,False,False,False,False,,,,,,,,
πλινθίον,πλινθίον,πλινθίος,πλινθίον,́ον,π,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,διάγραμμα,"(διάγραμμα,)",False,xxxx́xx,False,False,False,False,Acc,Neut,Sing,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,ἔχει,(),False,x̓̀,False,False,False,False,,,,,,,,
ὅ,ὅ,ὅς,ὅ,ὅ,ο,-20.0,PRON,p-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,καλεῖν,(),False,x̔́,False,False,False,False,Acc,Neut,Sing,,,,,
τι,τι,τὶς,τι,τι,τ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,ὅ,(),True,xx,True,False,False,False,Acc,Neut,Sing,,,,,
χρὴ,χρὴ,χρὴ,χρὴ,ρὴ,χ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,conj,0.0,ἔχει,"(ἔχει,)",False,xxx̀,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act
καλεῖν,καλεῖν,καλεῖν,καλεῖν,ῖν,κ,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,csubj,0.0,χρὴ,(),False,xxxx͂x,False,False,False,False,,,,,,Pres,Inf,Act
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,σεμνότητος,(),False,",",False,True,False,False,,,,,,,,
προειρήσθω,προειρήσθω,προειρήσθω,προειρήσθω,σθω,π,-20.0,VERB,v3spme---,Mood=Imp|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,προειρήσθω,(),False,xxxx́xxx,False,False,False,False,,,Sing,Imp,3,Pres,Fin,Mid
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,προειρήσθω,(),False,·,False,True,False,False,,,,,,,,
τοσαύτας,τοσαύτας,τοσαύτας,τοσαύτας,τας,τ,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,ἰδέας,(),False,xxxx́xxx,False,False,False,False,Acc,Fem,Plur,,,,,
ἰδέας,ἰδέας,ἰδέα,ἰδέας,́ας,ι,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἑπιδείκνυται,(),False,x̓xx́xx,False,False,False,False,Acc,Fem,Plur,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἑπιδείκνυται,(),False,xxx̀,False,False,False,False,,,,,,,,
ἔτι,ἔτι,ἔτι,ἔτι,́τι,ε,-20.0,ADV,d--------,,advmod,0.0,πλείους,(),False,x̓́xx,False,False,False,False,,,,,,,,
πλείους,πλείους,πλείων,πλείους,ους,π,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,amod,0.0,ἑβδομὰς,(),False,xxxx́xxx,False,False,False,False,Acc,Fem,Plur,,,,,
ἑβδομὰς,ἑβδομὰς,ἑβδομὰς,ἑβδομὰς,ὰς,ε,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἑπιδείκνυται,(),False,x̔xxxx̀x,False,False,False,False,Acc,Fem,Plur,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἀσωμάτοις,(),False,x̓x,False,False,False,False,,,,,,,,
