orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person,Degree
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,σπέρμα,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,,
σπέρμα,σπέρμα,σπέρμα,σπέρμα,ρμα,σ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,συμβέβηκε,(),False,xxx́xxx,False,False,False,False,Nom,Neut,Sing,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,ζῴων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
ζῴων,ζῴων,ζῴον,ζῴων,ͅων,ζ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,σπέρμα,(),False,xx́ͅxx,False,False,False,False,Gen,Neut,Plur,,,,,,,
γενέσεως,γενέσεως,γενέσεως,γενέσεως,εως,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἀρχὴν,(),False,xxxx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἀρχὴν,ἀρχὴν,ἀρχὴν,ἀρχὴν,ὴν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,συμβέβηκε,(),False,x̓xxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
εἶναι,εἶναι,εἶναι,εἶναι,ναι,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,dep,0.0,ἀρχὴν,(),False,xx̓͂xxx,False,False,False,False,,,,Pres,Inf,Act,,,,
συμβέβηκε,συμβέβηκε,συμβέβηκε,συμβέβηκε,ηκε,σ,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,συμβέβηκε,(),False,xxxx́xxxx,False,False,False,False,,,Sing,Past,Fin,Act,Perf,Ind,3,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,συμβέβηκε,(),False,·,False,True,False,False,,,,,,,,,,
τοῦτο᾽,τοῦτο᾽,τοῦτο᾽,τοῦτο᾽,το᾽,τ,-20.0,PUNCT,V-,,ROOT,0.0,τοῦτο᾽,(),False,xxx͂xx᾽,False,False,False,False,,,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,advmod,0.0,φαυλότατον,(),False,x̔x,False,False,False,False,,,,,,,,,,
ἔστι,ἔστι,ἔστι,ἔστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,φαυλότατον,(),False,x̓́xxx,False,False,False,False,,,Sing,Pres,Fin,Act,,Ind,3,
φαυλότατον,φαυλότατον,φαυλός,φαυλότατον,τον,φ,-20.0,ADJ,a-s---nns,Case=Nom|Degree=Sup|Gender=Neut|Number=Sing,xcomp,0.0,ἐοικὸς,(),False,xxxx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,,Sup
ἐοικὸς,ἐοικὸς,ἐοικὸς,ἐοικὸς,ὸς,ε,-20.0,VERB,v-srpann-,Aspect=Perf|Case=Nom|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,θεωρεῖται,(),False,x̓xxxx̀x,False,False,False,False,Nom,Neut,Sing,Past,Part,Act,Perf,,,
ἀφρῷ,ἀφρῷ,ἀφρῷ,ἀφρῷ,ῷ,α,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obj,0.0,ἐοικὸς,(),False,x̓xxx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐοικὸς,(),False,",",False,True,False,False,,,,,,,,,,
θεωρεῖται,θεωρεῖται,θεωρεῖται,θεωρεῖται,ται,θ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,θεωρεῖται,(),False,xxxx͂xxx,False,False,False,False,,,Sing,Pres,Fin,Mid,,Ind,3,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,θεωρεῖται,(),False,·,False,True,False,False,,,,,,,,,,
ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ὰ᾽,α,-20.0,PUNCT,V-,,ROOT,0.0,ἀλλὰ᾽,(),False,x̓xxx̀᾽,False,False,False,False,,,,,,,,,,
ὅταν,ὅταν,ὅταν,ὅταν,ταν,ο,-20.0,SCONJ,c--------,,mark,0.0,στηρίσῃ,(),False,x̔́xxx,False,False,False,False,,,,,,,,,,
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,μήτραν,(),False,xx̓x,False,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,μήτραν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
μήτραν,μήτραν,μήτρα,μήτραν,ραν,μ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,καταβληθὲν,(),False,xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
καταβληθὲν,καταβληθὲν,καταβληθὲν,καταβληθὲν,ὲν,κ,-20.0,VERB,v-sappna-,Case=Acc|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,advcl,0.0,στηρίσῃ,(),False,xxxx̀x,False,False,False,False,Acc,Neut,Sing,Past,Part,Pass,,,,
στηρίσῃ,στηρίσῃ,στηρίσῃ,στηρίσῃ,σῃ,σ,-20.0,VERB,v3sasa---,Mood=Sub|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,τρέπεται,(),False,xxxx́xxͅ,False,False,False,False,,,Sing,Past,Fin,Act,,Sub,3,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,στηρίσῃ,(),False,",",False,True,False,False,,,,,,,,,,
κίνησιν,κίνησιν,κίνησις,κίνησιν,σιν,κ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,λαβὸν,(),False,xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
εὐθὺς,εὐθὺς,εὐθὺς,εὐθὺς,ὺς,ε,-20.0,ADV,d--------,,advmod,0.0,λαβὸν,(),False,xx̓xx̀x,False,False,False,False,,,,,,,,,,
λαβὸν,λαβὸν,λαβὸν,λαβὸν,ὸν,λ,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,τρέπεται,(),False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,Past,Part,Act,,,,
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,φύσιν,(),False,xx̓x,False,False,False,False,,,,,,,,,,
φύσιν,φύσιν,φύσις,φύσιν,σιν,φ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,τρέπεται,(),False,xx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
