orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Mood,Person,Tense,VerbForm,Voice,Degree
πολλαῖς,πολλαῖς,πολλαῖς,πολλαῖς,ῖς,π,-20.0,ADJ,a-p---fd-,Case=Dat|Gender=Fem|Number=Plur,nmod,0.0,δυνάμεσι,(),False,xxxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,κέχρηται,(),False,xx̀,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,δυνάμεσι,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἄλλαις,ἄλλαις,ἄλλος,ἄλλαις,αις,α,-20.0,ADJ,a-p---fd-,Case=Dat|Gender=Fem|Number=Plur,nmod,0.0,κέχρηται,(),False,x̓́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,,,
κέχρηται,κέχρηται,κέχρηται,κέχρηται,ται,κ,-20.0,VERB,v3srie---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,ROOT,0.0,κέχρηται,(),False,xx́xxxx,False,False,False,False,,,Sing,Perf,Ind,3,Past,Fin,Mid,
δυνάμεσι,δυνάμεσι,δυνάμις,δυνάμεσι,εσι,δ,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,obj,0.0,κέχρηται,(),False,xxxx́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,,,
τετράς,τετράς,τετράς,τετράς,άς,τ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,κέχρηται,(),False,xxxx́x,False,False,False,False,Nom,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,προσυποδεικτέον,(),False,",",False,True,False,False,,,,,,,,,,
ἃ,ἃ,ἃ,ἃ,ἃ,α,-20.0,PRON,p-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,προσυποδεικτέον,(),False,x̔̀,False,False,False,False,Acc,Neut,Plur,,,,,,,
ἀκριβέστερον,ἀκριβέστερον,ἀκριβέσς,ἀκριβέστερον,ρον,α,-20.0,ADJ,a-s---nac,Case=Acc|Degree=Cmp|Gender=Neut|Number=Sing,advmod,0.0,προσυποδεικτέον,(),False,x̓xxxx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,Cmp
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,dep,0.0,λόγῳ,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,λόγῳ,(),False,x̓x,False,False,False,False,,,,,,,,,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Gender=Masc|Number=Sing,det,0.0,λόγῳ,(),False,xx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
περὶ,περὶ,περὶ,περὶ,ρὶ,π,-20.0,ADP,r--------,,case,0.0,αὐτῆς,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
αὐτῆς,αὐτῆς,αὐτῆς,αὐτῆς,ῆς,α,-20.0,PRON,p-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,λόγῳ,(),False,xx̓xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἰδίῳ,ἰδίῳ,ἰδίῳ,ἰδίῳ,́ῳ,ι,-20.0,ADJ,a-s---md-,Case=Dat|Gender=Masc|Number=Sing,nmod,0.0,λόγῳ,(),False,x̓xx́xͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
λόγῳ,λόγῳ,λόγῳ,λόγῳ,γῳ,λ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,ἀκριβέστερον,(),False,xx́xxͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
προσυποδεικτέον,προσυποδεικτέον,προσυποδεικτέος,προσυποδεικτέον,́ον,π,-20.0,VERB,v2sama---,Mood=Imp|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act,acl,0.0,τετράς,(),False,xxxx́xx,False,False,False,False,,,Plur,,Imp,2,Pres,Fin,Act,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,κέχρηται,(),False,.,False,True,False,False,,,,,,,,,,
