orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Degree
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,προσταχθέντα,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἀνίησι,(),False,xx̀,False,False,False,False,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,προσταχθέντα,(),False,xx̀,False,False,False,False,Acc,Neut,Plur,,,,,,
προσταχθέντα,προσταχθέντα,προσταχθέντα,προσταχθέντα,ντα,π,-20.0,VERB,v-pappna-,Case=Acc|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,obj,0.0,ἀνίησι,(),False,xxxx́xxx,False,False,False,False,Acc,Neut,Plur,Past,Part,Pass,,,
αὐτίκα,αὐτίκα,αὐτίκα,αὐτίκα,́κα,α,-20.0,ADV,d--------,,advmod,0.0,ἀνίησι,(),False,xx̓xx́xx,False,False,False,False,,,,,,,,,
ἀνίησι,ἀνίησι,ἀνίημι,ἀνίησι,ησι,α,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ἀνίησι,(),False,x̓xx́xxx,False,False,False,False,,,Sing,Pres,Fin,Act,Ind,3,
τῇ,τῇ,τῇ,τῇ,ῇ,τ,-20.0,DET,l-s---fd-,Case=Dat|Gender=Fem|Number=Sing,det,0.0,κατασκευῇ,(),False,xx͂ͅ,False,False,False,False,Dat,Fem,Sing,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,κατασκευῇ,(),True,xx,True,False,False,False,,,,,,,,,
κατασκευῇ,κατασκευῇ,κατασκευῇ,κατασκευῇ,ῇ,κ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,διαφέροντα,(),False,xxxx͂ͅ,False,False,False,False,Dat,Fem,Sing,,,,,,
διαφέροντα,διαφέροντα,διαφέρω,διαφέροντα,ντα,δ,-20.0,VERB,V-,Case=Acc|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,amod,0.0,προσταχθέντα,"(ἐνυπαρχούσαις, δυνάμεσι)",False,xxxx́xxxx,False,False,False,False,Acc,Neut,Plur,Pres,Part,Act,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,διαφέροντα,(),False,xxx̀,False,False,False,False,,,,,,,,,
ταῖς,ταῖς,ταῖς,ταῖς,ῖς,τ,-20.0,DET,l-p---fd-,Case=Dat|Gender=Fem|Number=Plur,det,0.0,ῥώμαις,(),False,xxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,,
ῥώμαις,ῥώμαις,ῥώμη,ῥώμαις,αις,ρ,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,iobj,0.0,διαφέροντα,(),False,x̔x́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,διαφέροντα,(),False,xxx̀,False,False,False,False,,,,,,,,,
ταῖς,ταῖς,ταῖς,ταῖς,ῖς,τ,-20.0,DET,l-p---fd-,Case=Dat|Gender=Fem|Number=Plur,det,0.0,ἐνυπαρχούσαις,(),False,xxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,,
ἐνυπαρχούσαις,ἐνυπαρχούσαις,ἐνυπαρχούσαις,ἐνυπαρχούσαις,αις,ε,-20.0,VERB,V-,Case=Dat|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,conj,0.0,διαφέροντα,"(διαφέροντα, δυνάμεσι)",False,x̓xxxx́xxxx,False,False,False,False,Dat,Fem,Plur,Pres,Part,Act,,,
βλαπτικαῖς,βλαπτικαῖς,βλαπτικαῖς,βλαπτικαῖς,ῖς,β,-20.0,ADJ,a-p---fd-,Case=Dat|Gender=Fem|Number=Plur,advmod,0.0,ἐνυπαρχούσαις,(),False,xxxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,ἐνυπαρχούσαις,(),False,x̓̀,False,False,False,False,,,,,,,,,
ὠφελητικαῖς,ὠφελητικαῖς,ὠφελητικαῖς,ὠφελητικαῖς,ῖς,ω,-20.0,ADJ,a-p---fd-,Case=Dat|Degree=Pos|Gender=Fem|Number=Plur,amod,0.0,δυνάμεσι,(),False,x̓xxxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,,Pos
δυνάμεσι,δυνάμεσι,δυνάμις,δυνάμεσι,εσι,δ,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,conj,0.0,ἐνυπαρχούσαις,"(διαφέροντα, ἐνυπαρχούσαις)",False,xxxx́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἀνίησι,(),False,.,False,True,False,False,,,,,,,,,
