orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Aspect
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,λόγος,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,αἱρεῖ,(),False,xx̀x,False,False,False,False,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,αἱρεῖ,(),False,xx̀x,False,False,False,False,,,,,,,,,
γεγονότος,γεγονότος,γεγονότος,γεγονότος,τος,γ,-20.0,VERB,v-sappng-,Case=Gen|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,nmod,0.0,ἐπιμελεῖσθαι,(),False,xxxx́xxx,False,False,False,False,Gen,Neut,Sing,Past,Part,Pass,,,
ἐπιμελεῖσθαι,ἐπιμελεῖσθαι,ἐπιμελεῖμαι,ἐπιμελεῖσθαι,θαι,ε,-20.0,VERB,v--pne---,Tense=Pres|VerbForm=Inf|Voice=Mid,xcomp,0.0,αἱρεῖ,(),False,x̓xxxx͂xxxx,False,False,False,False,,,,Pres,Inf,Mid,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,πατέρα,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,
πατέρα,πατέρα,πατέρα,πατέρα,́ρα,π,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,αἱρεῖ,"(ποιητὴν,)",False,xxxx́xx,False,False,False,False,Acc,Masc,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,πατέρα,(),False,xxx̀,False,False,False,False,,,,,,,,,
ποιητὴν,ποιητὴν,ποιητὴν,ποιητὴν,ὴν,π,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,πατέρα,"(πατέρα,)",False,xxxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,
αἱρεῖ,αἱρεῖ,αἱρεῖ,αἱρεῖ,εῖ,α,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,αἱρεῖ,(),False,xx̔xxx͂,False,False,False,False,,,Sing,Pres,Fin,Act,Ind,3,
λόγος,λόγος,λόγος,λόγος,γος,λ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,αἱρεῖ,(),False,xx́xxx,False,False,False,False,Nom,Masc,Sing,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,αἱρεῖ,(),False,·,False,True,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,στοχάζεται,(),False,xxx̀,False,False,False,False,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,στοχάζεται,(),False,xx̀x,False,False,False,False,,,,,,,,,
πατὴρ,πατὴρ,πατὴρ,πατὴρ,ὴρ,π,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,στοχάζεται,"(δημιουργὸς,)",False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,
ἐκγόνων,ἐκγόνων,ἐκγόνων,ἐκγόνων,νων,ε,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,πατὴρ,(),False,x̓xxx́xxx,False,False,False,False,Gen,Masc,Plur,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,πατὴρ,(),False,xxx̀,False,False,False,False,,,,,,,,,
