orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect
τρόπον,τρόπον,τρόπος,τρόπον,πον,τ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,ROOT,0.0,τρόπον,"(ἀὴρ,)",False,xxx́xxx,False,False,False,False,Acc,Masc,Sing,,,,,,
γάρ,γάρ,γάρ,γάρ,άρ,γ,-20.0,ADV,d--------,,advmod,0.0,τρόπον,(),False,xx́x,False,False,False,False,,,,,,,,,
τινα,τινα,τὶς,τινα,ινα,τ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,dep,0.0,τρόπον,(),True,xxxx,True,False,False,False,Acc,Masc,Sing,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,ἀὴρ,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,
ἀὴρ,ἀὴρ,ἀὴρ,ἀὴρ,ὴρ,α,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,τρόπον,"(τρόπον,)",False,x̓x̀x,False,False,False,False,Nom,Masc,Sing,,,,,,
ὑπὲρ,ὑπὲρ,ὑπὲρ,ὑπὲρ,ὲρ,υ,-20.0,ADP,r--------,,case,0.0,κενόν,(),False,x̔xx̀x,False,False,False,False,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,κενόν,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,
κενόν,κενόν,κενός,κενόν,όν,κ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,dep,0.0,τρόπον,(),False,xxxx́x,False,False,False,False,Acc,Neut,Sing,,,,,,
ἐστι,ἐστι,ἐστι,ἐστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,τρόπον,(),False,x̓xxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐπειδὴ,(),False,",",False,True,False,False,,,,,,,,,
ἐπειδὴ,ἐπειδὴ,ἐπειδὴ,ἐπειδὴ,δὴ,ε,-20.0,CCONJ,c--------,,mark,0.0,ἐκπεπλήρωκε,(),False,x̓xxxx̀,False,False,False,False,,,,,,,,,
