orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Degree,Mood,Person
κόσμος,κόσμος,κόσμος,κόσμος,μος,κ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,δῆλον,(),False,xx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,κόσμος,(),False,",",False,True,False,False,,,,,,,,,
εἰ,εἰ,εἰ,εἰ,εἰ,ε,-20.0,SCONJ,c--------,,mark,0.0,μείζων,(),False,xx̓,False,False,False,False,,,,,,,,,
μείζων,μείζων,μείζων,μείζων,ζων,μ,-20.0,ADJ,a-s---mnc,Case=Nom|Degree=Cmp|Gender=Masc|Number=Sing,advcl,0.0,δῆλον,"(μίμημα,)",False,xxx́xxx,False,False,False,False,Nom,Masc,Sing,,,,Cmp,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ἀνθρωπίνης,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
ἀνθρωπίνης,ἀνθρωπίνης,ἀνθρωπίνης,ἀνθρωπίνης,νης,α,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,advmod,0.0,μείζων,(),False,x̓xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,
ἐστί,ἐστί,ἐστί,ἐστί,τί,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,μείζων,(),False,x̓xxx́,False,False,False,False,,,Sing,Pres,Fin,Act,,Ind,3
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,μίμημα,(),False,",",False,True,False,False,,,,,,,,,
μίμημα,μίμημα,μίμημα,μίμημα,ημα,μ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,conj,0.0,μείζων,"(μείζων,)",False,xx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,
θείας,θείας,θείας,θείας,́ας,θ,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,εἰκόνος,(),False,xxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,
εἰκόνος,εἰκόνος,εἰκόνος,εἰκόνος,νος,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,μίμημα,(),False,xx̓xx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,μίμημα,(),False,",",False,True,False,False,,,,,,,,,
δῆλον,δῆλον,δῆλος,δῆλον,λον,δ,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,ROOT,0.0,δῆλον,(),False,xx͂xxx,False,False,False,False,Nom,Neut,Sing,,,,,,
ὅτι,ὅτι,ὅτι,ὅτι,́τι,ο,-20.0,SCONJ,c--------,,mark,0.0,λόγος,(),False,x̔́xx,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,σφραγίς,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,σφραγίς,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,
ἀρχέτυπος,ἀρχέτυπος,ἀρχέτυπος,ἀρχέτυπος,πος,α,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nmod,0.0,σφραγίς,(),False,x̓xxx́xxxx,False,False,False,False,Nom,Fem,Sing,,,,,,
σφραγίς,σφραγίς,σφραγίς,σφραγίς,ίς,σ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,λόγος,(),False,xxxx́x,False,False,False,False,Nom,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,φαμένα,(),False,",",False,True,False,False,,,,,,,,,
ὅν,ὅν,ὅν,ὅν,̔́ν,ο,-20.0,PRON,p-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nsubj,0.0,φαμένα,(),False,x̔́x,False,False,False,False,Acc,Masc,Sing,,,,,,
φαμένα,φαμένα,φαμένα,φαμένα,́να,φ,-20.0,VERB,v-sppema-,Case=Acc|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,nmod,0.0,ἰδέα,(),False,xxxx́xx,False,False,False,False,Acc,Masc,Sing,Pres,Part,Mid,,,
νοητὸν,νοητὸν,νοητὸς,νοητὸν,ὸν,ν,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,amod,0.0,ἰδέα,(),False,xxxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,
εἶναι,εἶναι,εἶναι,εἶναι,ναι,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,cop,0.0,κόσμον,(),False,xx̓͂xxx,False,False,False,False,,,,Pres,Inf,Act,,,
κόσμον,κόσμον,κόσμος,κόσμον,μον,κ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nsubj,0.0,νοητὸν,(),False,xx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,νοητὸν,(),False,",",False,True,False,False,,,,,,,,,
αὐτὸς,αὐτὸς,αὐτὸς,αὐτὸς,ὸς,α,-20.0,PRON,p-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,ἰδέα,(),False,xx̓xx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,
ἄν,ἄν,ἄν,ἄν,̓́ν,α,-20.0,ADV,d--------,,advmod,0.0,παράδειγμα,(),False,x̓́x,False,False,False,False,,,,,,,,,
εἴη,εἴη,εἴη,εἴη,̓́η,ε,-20.0,AUX,v3spoa---,Mood=Opt|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,παράδειγμα,(),False,xx̓́x,False,False,False,False,,,Sing,Pres,Fin,Act,,Opt,3
[,[,[,[,[,[,-20.0,ADP,u--------,,advmod,0.0,παράδειγμα,(),False,[,False,True,False,False,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,παράδειγμα,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,
παράδειγμα,παράδειγμα,παράδειγμα,παράδειγμα,γμα,π,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,xcomp,0.0,αὐτὸς,(),False,xxxx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,παράδειγμα,(),False,",",False,True,False,False,,,,,,,,,
ἀρχέτυπος,ἀρχέτυπος,ἀρχέτυπος,ἀρχέτυπος,πος,α,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nmod,0.0,ἰδέα,(),False,x̓xxx́xxxx,False,False,False,False,Nom,Fem,Sing,,,,,,
ἰδέα,ἰδέα,ἰδέα,ἰδέα,έα,ι,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,appos,0.0,σφραγίς,(),False,x̓xx́x,False,False,False,False,Nom,Fem,Sing,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---fg-,Case=Gen|Gender=Fem|Number=Plur,det,0.0,ἰδεῶν,(),False,xx͂x,False,False,False,False,Gen,Fem,Plur,,,,,,
ἰδεῶν,ἰδεῶν,ἰδεῶν,ἰδεῶν,ῶν,ι,-20.0,NOUN,n-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,ἰδέα,(),False,x̓xxx͂x,False,False,False,False,Gen,Fem,Plur,,,,,,
],],],],],],-20.0,PUNCT,u--------,,punct,0.0,ἰδέα,(),False,],False,True,False,False,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,λόγος,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,
θεοῦ,θεοῦ,θεοῦ,θεοῦ,οῦ,θ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,λόγος,(),False,xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,
λόγος,λόγος,λόγος,λόγος,γος,λ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ccomp,0.0,δῆλον,(),False,xx́xxx,False,False,False,False,Nom,Masc,Sing,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,δῆλον,(),False,.,False,True,False,False,,,,,,,,,
