orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person,Degree
πάνυ,πάνυ,πάνυ,πάνυ,́νυ,π,-20.0,ADV,Df,,advmod,0.0,διέκρινε,(),False,xx́xx,False,False,False,False,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,διέκρινε,(),False,xx̀,False,False,False,False,,,,,,,,,,
καλῶς,καλῶς,καλῶς,καλῶς,ῶς,κ,-20.0,ADV,d--------,,advmod,0.0,διέκρινε,(),False,xxxx͂x,False,False,False,False,,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,γένος,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,
γένος,γένος,γένος,γένος,νος,γ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,εἰπὼν,(),False,xx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
ἄνθρωπον,ἄνθρωπον,ἄνθρωπος,ἄνθρωπον,πον,α,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,xcomp,0.0,εἰπὼν,(),False,x̓́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
εἰπὼν,εἰπὼν,εἰπὼν,εἰπὼν,ὼν,ε,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,διέκρινε,(),False,xx̓xx̀x,False,False,False,False,Nom,Masc,Sing,Past,Part,Act,,,,
διέκρινε,διέκρινε,διέκρινε,διέκρινε,ινε,δ,-20.0,VERB,V-,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,διέκρινε,(),False,xxx́xxxx,False,False,False,False,,,Sing,Past,Fin,Act,Imp,Ind,3,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,εἴδη,(),False,xx̀,False,False,False,False,Acc,Neut,Plur,,,,,,,
εἴδη,εἴδη,εἴδος,εἴδη,́δη,ε,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,διέκρινε,(),False,xx̓́xx,False,False,False,False,Acc,Neut,Plur,,,,,,,
φήσας,φήσας,φήσας,φήσας,σας,φ,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,διέκρινε,(),False,xx́xxx,False,False,False,False,Nom,Masc,Sing,Past,Part,Act,,,,
ἄρρεν,ἄρρεν,ἄρρες,ἄρρεν,ρεν,α,-20.0,ADJ,A-,Case=Acc|Gender=Neut|Number=Sing,xcomp,0.0,δεδημιουργῆσθαι,"(θῆλυ,)",False,x̓́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,CCONJ,d--------,,advmod,0.0,ἄρρεν,(),True,xx,True,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἄρρεν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
θῆλυ,θῆλυ,θῆλυς,θῆλυ,͂λυ,θ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,ἄρρεν,"(ἄρρεν,)",False,xx͂xx,False,False,False,False,Acc,Neut,Sing,,,,,,,
δεδημιουργῆσθαι,δεδημιουργῆσθαι,δεδημιουργῆσθαι,δεδημιουργῆσθαι,θαι,δ,-20.0,VERB,v--rne---,Aspect=Perf|Tense=Past|VerbForm=Inf|Voice=Mid,ccomp,0.0,φήσας,(),False,xxxx͂xxxx,False,False,False,False,,,,Past,Inf,Mid,Perf,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,λαβόντων,(),False,",",False,True,False,False,,,,,,,,,,
μήπω,μήπω,μήπω,μήπω,́πω,μ,-20.0,ADV,d--------,,advmod,0.0,λαβόντων,(),False,xx́xx,False,False,False,False,,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,λαβόντων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,μέρει,(),False,x̓x,False,False,False,False,,,,,,,,,,
μέρει,μέρει,μέρος,μέρει,ρει,μ,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,obl,0.0,λαβόντων,(),False,xx́xxx,False,False,False,False,Dat,Neut,Sing,,,,,,,
μορφὴν,μορφὴν,μορφὴ,μορφὴν,ὴν,μ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,λαβόντων,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
λαβόντων,λαβόντων,λαβόντων,λαβόντων,των,λ,-20.0,VERB,v-papamg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,δεδημιουργῆσθαι,(),False,xxxx́xxxx,False,False,False,False,Gen,Masc,Plur,Past,Part,Act,,,,
ἐπειδὴ,ἐπειδὴ,ἐπειδὴ,ἐπειδὴ,δὴ,ε,-20.0,CCONJ,c--------,,mark,0.0,ἐνυπάρχει,(),False,x̓xxxx̀,False,False,False,False,,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,προσεχέστατα,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,,
προσεχέστατα,προσεχέστατα,προσεχέστατα,προσεχέστατα,ατα,π,-20.0,ADJ,a-p---nns,Case=Nom|Degree=Sup|Gender=Neut|Number=Plur,nsubj,0.0,ἐνυπάρχει,(),False,xxxx́xxxx,False,False,False,False,Nom,Neut,Plur,,,,,,,Sup
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,εἰδῶν,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
εἰδῶν,εἰδῶν,εἰδῶν,εἰδῶν,ῶν,ε,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,προσεχέστατα,(),False,xx̓xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
ἐνυπάρχει,ἐνυπάρχει,ἐνυπάρχω,ἐνυπάρχει,χει,ε,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,advcl,0.0,δεδημιουργῆσθαι,"(διαφαίνεται,)",False,x̓xxxx́xxxx,False,False,False,False,,,Sing,Pres,Fin,Act,,Ind,3,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---nd-,Case=Dat|Gender=Neut|Number=Sing,det,0.0,γένει,(),False,xx͂ͅ,False,False,False,False,Dat,Neut,Sing,,,,,,,
γένει,γένει,γένος,γένει,νει,γ,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,obj,0.0,ἐνυπάρχει,(),False,xx́xxx,False,False,False,False,Dat,Neut,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἐνυπάρχει,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ὥσπερ,ὥσπερ,ὥσπερ,ὥσπερ,περ,ω,-20.0,ADV,d--------,,advmod,0.0,διαφαίνεται,(),False,x̔́xxxx,False,False,False,False,,,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,κατόπτρῳ,(),False,x̓x,False,False,False,False,,,,,,,,,,
κατόπτρῳ,κατόπτρῳ,κατόπτρῳ,κατόπτρῳ,ρῳ,κ,-20.0,NOUN,Nb,Case=Dat|Gender=Neut|Number=Sing,obl,0.0,διαφαίνεται,(),False,xxxx́xxxxͅ,False,False,False,False,Dat,Neut,Sing,,,,,,,
διαφαίνεται,διαφαίνεται,διαφαίνω,διαφαίνεται,ται,δ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,conj,0.0,ἐνυπάρχει,"(ἐνυπάρχει,)",False,xxxx́xxxx,False,False,False,False,,,Sing,Pres,Fin,Mid,,Ind,3,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---md-,Case=Dat|Gender=Masc|Number=Plur,det,0.0,δυναμένοις,(),False,xxx͂x,False,False,False,False,Dat,Masc,Plur,,,,,,,
ὀξὺ,ὀξὺ,ὀξὺ,ὀξὺ,ξὺ,ο,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,καθορᾶν,(),False,x̓xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,
καθορᾶν,καθορᾶν,καθορᾶν,καθορᾶν,ᾶν,κ,-20.0,VERB,V-,Tense=Pres|VerbForm=Inf|Voice=Act,xcomp,0.0,δυναμένοις,(),False,xxxx͂x,False,False,False,False,,,,Pres,Inf,Act,,,,
δυναμένοις,δυναμένοις,δυναμένοις,δυναμένοις,οις,δ,-20.0,VERB,v-pppemd-,Case=Dat|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,xcomp,0.0,διαφαίνεται,(),False,xxxx́xxxx,False,False,False,False,Dat,Masc,Plur,Pres,Part,Mid,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,διέκρινε,(),False,.,False,True,False,False,,,,,,,,,,
