orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Aspect
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,SCONJ,G-,,mark,0.0,εἶδε,(),False,x̔x,False,False,False,False,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,προὐβάλετο,(),False,xx̀,False,False,False,False,,,,,,,,,
εἶδε,εἶδε,εἶδον,εἶδε,͂δε,ε,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,προὐβάλετο,(),False,xx̓͂xx,False,False,False,False,Ind,Sing,3,Past,Fin,Act,,,
ῥέπουσαν,ῥέπουσαν,ῥέπω,ῥέπουσαν,σαν,ρ,-20.0,VERB,v-sppafa-,Case=Acc|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,xcomp,0.0,εἶδε,"(ὁσιότητος,)",False,x̔x́xxxx,False,False,False,False,,Sing,,Pres,Part,Act,Acc,Fem,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ῥέπουσαν,(),False,xx̀x,False,False,False,False,,,,,,,,,
ἐπὶ,ἐπὶ,ἐπὶ,ἐπὶ,πὶ,ε,-20.0,ADP,r--------,,case,0.0,πανουργίαν,(),False,x̓xx̀,False,False,False,False,,,,,,,,,
πανουργίαν,πανουργίαν,πανουργία,πανουργίαν,́αν,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ῥέπουσαν,(),False,xxxx́xx,False,False,False,False,,Sing,,,,,Acc,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,εὐσεβείας,(),False,",",False,True,False,False,,,,,,,,,
εὐσεβείας,εὐσεβείας,εὐσεβείας,εὐσεβείας,́ας,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,ὁσιότητος,(),False,xx̓xxxx́xx,False,False,False,False,,Sing,,,,,Gen,Fem,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ῥέπουσαν,(),False,xx̀,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ῥέπουσαν,(),False,xxx̀,False,False,False,False,,,,,,,,,
ὁσιότητος,ὁσιότητος,ὁσιότης,ὁσιότητος,τος,ο,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,ῥέπουσαν,"(ῥέπουσαν,)",False,x̔xxx́xxxx,False,False,False,False,,Sing,,,,,Gen,Fem,
ὀλιγωροῦσαν,ὀλιγωροῦσαν,ὀλιγωροῦσαν,ὀλιγωροῦσαν,σαν,ο,-20.0,VERB,v-sppafa-,Case=Acc|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,ccomp,0.0,εἶδε,(),False,x̓xxxx͂xxx,False,False,False,False,,Sing,,Pres,Part,Act,Acc,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,περιγίνεται,(),False,",",False,True,False,False,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,ὧν,(),False,x̓x,False,False,False,False,,,,,,,,,
