orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Mood,Person,Tense,VerbForm,Voice
δευτέρα,δευτέρα,δευτέρα,δευτέρα,́ρα,δ,-20.0,ADJ,Mo,Case=Acc|Gender=Neut|Number=Plur,advmod,0.0,λελέχθω,(),False,xxxx́xx,False,False,False,False,Acc,Neut,Plur,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,λελέχθω,(),False,xx̀x,False,False,False,False,,,,,,,,,
αἰτία,αἰτία,αἰτία,αἰτία,ία,α,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,λελέχθω,(),False,xx̓xx́x,False,False,False,False,Nom,Fem,Sing,,,,,,
ἥδε,ἥδε,ἥδε,ἥδε,́δε,η,-20.0,PRON,p-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nmod,0.0,αἰτία,(),False,x̔́xx,False,False,False,False,Nom,Fem,Sing,,,,,,
λελέχθω,λελέχθω,λελέχθω,λελέχθω,χθω,λ,-20.0,VERB,v3samm---,Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin|Voice=Pass,ROOT,0.0,λελέχθω,"(τοιάδε,)",False,xxxx́xxx,False,False,False,False,,,Sing,Perf,Ind,1,Past,Fin,Pass
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τρίτη,(),False,",",False,True,False,False,,,,,,,,,
τρίτη,τρίτη,τρίτος,τρίτη,́τη,τ,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nmod,0.0,αἰτία,(),False,xxx́xx,False,False,False,False,Nom,Fem,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,cc,0.0,λελέχθω,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,ά,',’,’,-20.0,CCONJ,c--------,,dep,0.0,λελέχθω,(),False,’,False,True,False,False,,,,,,,,,
ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,τὶ,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,τοιάδε,(),False,x̓xxx̀,False,False,False,False,,,Sing,,Ind,3,Pres,Fin,Act
τοιάδε,τοιάδε,τοιάδε,τοιάδε,́δε,τ,-20.0,PRON,p-p---nn-,Case=Nom|Gender=Neut|Number=Plur,conj,0.0,λελέχθω,"(λελέχθω,)",False,xxxx́xx,False,False,False,False,Nom,Neut,Plur,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,λελέχθω,(),False,.,False,True,False,False,,,,,,,,,
