orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Mood,Person,Tense,VerbForm,Voice,Degree
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,ἀρχή,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,περιέχουσα,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,cc,0.0,ἀρχή,(),False,’,False,True,False,False,,,,,,,,,,
ἀρχή,ἀρχή,ἀρχή,ἀρχή,χή,α,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,περιέχουσα,(),False,x̓xxx́,False,False,False,False,Nom,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀρχή,(),False,",",False,True,False,False,,,,,,,,,,
καθάπερ,καθάπερ,καθά,καθάπερ,περ,κ,-20.0,SCONJ,c--------,,mark,0.0,ἔφην,(),False,xxxx́xxx,False,False,False,False,,,,,,,,,,
ἔφην,ἔφην,ἔφην,ἔφην,φην,ε,-20.0,VERB,v1siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,περιέχουσα,(),False,x̓́xxx,False,False,False,False,,,Sing,Imp,Ind,1,Past,Fin,Act,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔφην,(),False,",",False,True,False,False,,,,,,,,,,
ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,τὶ,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,περιέχουσα,(),False,x̓xxx̀,False,False,False,False,,,Sing,,Ind,3,Pres,Fin,Act,
θαυμασιωτάτη,θαυμασιωτάτη,θαυμασιωτάτη,θαυμασιωτάτη,́τη,θ,-20.0,ADJ,a-s---fns,Case=Nom|Degree=Sup|Gender=Fem|Number=Sing,xcomp,0.0,περιέχουσα,(),False,xxxx́xx,False,False,False,False,Nom,Fem,Sing,,,,,,,Sup
