orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Tense,VerbForm,Voice,Mood,Person
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,κρινόμενα,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,μετέχει,(),False,xx̀,False,False,False,False,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,ὄψεως,(),False,xxx̀,False,False,False,False,,,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ὄψεως,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
ἀρίστης,ἀρίστης,ἀρίστης,ἀρίστης,της,α,-20.0,ADJ,a-s---fgs,Case=Gen|Degree=Sup|Gender=Fem|Number=Sing,nmod,0.0,αἰσθήσεων,(),False,x̓xx́xxxx,False,False,False,False,Gen,Fem,Sing,Sup,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---fg-,Case=Gen|Gender=Fem|Number=Plur,det,0.0,αἰσθήσεων,(),False,xx͂x,False,False,False,False,Gen,Fem,Plur,,,,,,
αἰσθήσεων,αἰσθήσεων,αἰσθήσεων,αἰσθήσεων,εων,α,-20.0,NOUN,n-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,ὄψεως,(),False,xx̓xxx́xxxx,False,False,False,False,Gen,Fem,Plur,,,,,,
ὄψεως,ὄψεως,ὄψεως,ὄψεως,εως,ο,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,κρινόμενα,(),False,x̓́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,
κρινόμενα,κρινόμενα,κρινόμενα,κρινόμενα,ενα,κ,-20.0,VERB,v-pppenn-,Case=Nom|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,nsubj,0.0,μετέχει,(),False,xxxx́xxxx,False,False,False,False,Nom,Neut,Plur,,Pres,Part,Mid,,
μετέχει,μετέχει,μετέχω,μετέχει,χει,μ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,μετέχει,(),False,xxxx́xxx,False,False,False,False,,,Sing,,Pres,Fin,Act,Ind,3
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,ἀριθμοῦ,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,
ἀριθμοῦ,ἀριθμοῦ,ἀριθμοῦ,ἀριθμοῦ,οῦ,α,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,obj,0.0,μετέχει,(),False,x̓xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,γένος,(),False,xxxx̀,False,False,False,False,,,,,,,,,
γένος,γένος,γένος,γένος,νος,γ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,μετέχει,(),False,xx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,μετέχει,(),False,·,False,True,False,False,,,,,,,,,
ἑπτὰ,ἑπτὰ,ἑπτὰ,ἑπτὰ,τὰ,ε,-20.0,NUM,m--------,,ROOT,0.0,ἑπτὰ,(),False,x̔xxx̀,False,False,False,False,,,,,,,,,
γάρ,γάρ,γάρ,γάρ,άρ,γ,-20.0,ADV,d--------,,advmod,0.0,ὁρώμενα,(),False,xx́x,False,False,False,False,,,,,,,,,
ἐστι,ἐστι,ἐστι,ἐστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,ὁρώμενα,(),False,x̓xxx,False,False,False,False,,,Sing,,Pres,Fin,Act,Ind,3
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,ὁρώμενα,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,
ὁρώμενα,ὁρώμενα,ὁρώμενα,ὁρώμενα,ενα,ο,-20.0,VERB,v-pppenn-,Case=Nom|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,nsubj,0.0,ἑπτὰ,(),False,x̔xx́xxxx,False,False,False,False,Nom,Neut,Plur,,Pres,Part,Mid,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,σῶμα,(),False,",",False,True,False,False,,,,,,,,,
