orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Aspect,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Degree,Definite,PronType,Reflex
γενέσεις,γενέσεις,γενέσις,γενέσεις,εις,γ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,μέλλοντα,(),False,xxxx́xxxx,False,False,False,False,,,Plur,,,,,Acc,Fem,,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,ἀριθμὸν,(),False,xxx̀x,False,False,False,False,,,,,,,,,,,,,
μικτὸν,μικτὸν,μικτὸς,μικτὸν,ὸν,μ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,ἀριθμὸν,(),False,xxxx̀x,False,False,False,False,,,Sing,,,,,Acc,Masc,,,,
ἀριθμὸν,ἀριθμὸν,ἀριθμὸς,ἀριθμὸν,ὸν,α,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obl,0.0,τυπωθῆναι,(),False,x̓xxxx̀x,False,False,False,False,,,Sing,,,,,Acc,Masc,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,πρῶιον,(),False,xx̀x,False,False,False,False,,,Sing,,,,,Acc,Masc,,,,
πρῶιον,πρῶιον,πρῶιος,πρῶιον,ιον,π,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,ἀριθμὸν,(),False,xxx͂xxx,False,False,False,False,,,Sing,,,,,Acc,Masc,,,,
ἀρτιοπέριττον,ἀρτιοπέριττον,ἀρτιοπέριττος,ἀρτιοπέριττον,τον,α,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,xcomp,0.0,τυπωθῆναι,(),False,x̓xxxx́xxxx,False,False,False,False,,,Sing,,,,,Acc,Masc,,,,
τυπωθῆναι,τυπωθῆναι,τυπωθῆναι,τυπωθῆναι,ναι,τ,-20.0,VERB,v--anp---,Tense=Past|VerbForm=Inf|Voice=Pass,xcomp,0.0,μέλλοντα,(),False,xxxx͂xxx,False,False,False,False,,,,,Past,Inf,Pass,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,περιέξοντα,(),False,",",False,True,False,False,,,,,,,,,,,,,
περιέξοντα,περιέξοντα,περιέγω,περιέξοντα,ντα,π,-20.0,VERB,v-sfpama-,Case=Acc|Gender=Masc|Number=Sing|Tense=Fut|VerbForm=Part|Voice=Act,advcl,0.0,ἔχειν,(),False,xxxx́xxxx,False,False,False,False,,,Sing,,Fut,Part,Act,Acc,Masc,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,περιέξοντα,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἄρρενος,(),False,xx̀x,False,False,False,False,,,Sing,,,,,Acc,Fem,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,σπείροντος,(),False,xxx͂,False,False,False,False,,,Sing,,,,,Gen,Masc,,,,
σπείροντος,σπείροντος,σπείρω,σπείροντος,τος,σ,-20.0,VERB,V-,Case=Gen|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,nmod,0.0,ἄρρενος,(),False,xxxx́xxxx,False,False,False,False,,,Sing,,Pres,Part,Act,Gen,Masc,,,,
ἄρρενος,ἄρρενος,ἄρρενος,ἄρρενος,νος,α,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,obj,0.0,περιέξοντα,"(ἰδέαν,)",False,x̓́xxxx,False,False,False,False,,,Sing,,,,,Gen,Masc,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἄρρενος,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἰδέαν,(),False,xx̀x,False,False,False,False,,,Sing,,,,,Acc,Fem,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,ὑποδεχομένου,(),False,xxx͂,False,False,False,False,,,Sing,,,,,Gen,Masc,,,,
ὑποδεχομένου,ὑποδεχομένου,ὑποδεχομένου,ὑποδεχομένου,νου,υ,-20.0,VERB,v-sppemg-,Case=Gen|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,nmod,0.0,ἰδέαν,(),False,x̔xxxx́xxx,False,False,False,False,,,Sing,,Pres,Part,Mid,Gen,Masc,,,,
τἀς,τἀς,τἀς,τἀς,ἀς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,γονὰς,(),False,xx̓x,False,False,False,False,,,Plur,,,,,Acc,Fem,,,,
γονὰς,γονὰς,γονὰς,γονὰς,ὰς,γ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ὑποδεχομένου,(),False,xxxx̀x,False,False,False,False,,,Plur,,,,,Acc,Fem,,,,
θήλεος,θήλεος,θήλεος,θήλεος,εος,θ,-20.0,NOUN,A-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,ἰδέαν,(),False,xx́xxxx,False,False,False,False,,,Sing,,,,,Gen,Masc,,,,
ἰδέαν,ἰδέαν,ἰδέα,ἰδέαν,́αν,ι,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,ἄρρενος,"(ἄρρενος,)",False,x̓xx́xx,False,False,False,False,,,Sing,,,,,Acc,Fem,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἔδει,(),False,.,False,True,False,False,,,,,,,,,,,,,
