orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Aspect,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,συμβέβηκε,(),False,xxx̀,False,False,False,False,,,,,,,,,
τέταρτον,τέταρτον,τέταρτος,τέταρτον,τον,τ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,vocative,0.0,συμβέβηκε,(),False,xx́xxxx,False,False,False,False,,,Sing,,,,,Acc,Masc
δασὺν,δασὺν,δασὺνν,δασὺν,ὺν,δ,-20.0,ADP,d--------,,amod,0.0,ἕβδομον,"(ψιλὸν, πέμπτον, μακρὸν)",False,xxxx̀x,False,False,False,False,,,,,,,,,
φθόγγον,φθόγγον,φθόγγος,φθόγγον,γον,φ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,δασὺν,(),False,xxx́xxxx,False,False,False,False,,,Sing,,,,,Acc,Masc
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,δασὺν,(),False,xxx̀,False,False,False,False,,,,,,,,,
ψιλὸν,ψιλὸν,ψιλὸν,ψιλὸν,ὸν,ψ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,δασὺν,"(δασὺν, πέμπτον, μακρὸν)",False,xxxx̀x,False,False,False,False,,,Sing,,,,,Acc,Masc
πέμπτον,πέμπτον,πέμπτος,πέμπτον,τον,π,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,δασὺν,"(δασὺν, ψιλὸν, μακρὸν)",False,xx́xxxx,False,False,False,False,,,Sing,,,,,Acc,Masc
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,πέμπτον,(),False,xxx̀,False,False,False,False,,,,,,,,,
μακρὸν,μακρὸν,μακρὸν,μακρὸν,ὸν,μ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,πέμπτον,"(δασὺν, ψιλὸν, πέμπτον)",False,xxxx̀x,False,False,False,False,,,Sing,,,,,Acc,Masc
ἕκτον,ἕκτον,ἕκτος,ἕκτον,τον,ε,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,δασὺν,"(βραχὺν,)",False,x̔́xxxx,False,False,False,False,,,Sing,,,,,Acc,Masc
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἕκτον,(),False,xxx̀,False,False,False,False,,,,,,,,,
βραχὺν,βραχὺν,βραχὺν,βραχὺν,ὺν,β,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,ἕκτον,"(ἕκτον,)",False,xxxx̀x,False,False,False,False,,,Sing,,,,,Acc,Masc
ἕβδομον,ἕβδομον,ἕβδομος,ἕβδομον,μον,ε,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,xcomp,0.0,συμβέβηκε,(),False,x̔́xxxx,False,False,False,False,,,Sing,,,,,Acc,Masc
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,συμβέβηκε,(),False,.,False,True,False,False,,,,,,,,,
