orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Tense,VerbForm,Voice,Mood,Person
ἥδε,ἥδε,ἥδε,ἥδε,́δε,η,-20.0,PRON,p-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nmod,0.0,αἰτία,(),False,x̔́xx,False,False,False,False,Nom,Fem,Sing,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἥδε,(),False,xx̀x,False,False,False,False,,,,,,,,,
αἰτία,αἰτία,αἰτία,αἰτία,ία,α,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,αἰτία,(),False,xx̓xx́x,False,False,False,False,Nom,Fem,Sing,,,,,,
πρώτη,πρώτη,πρώτη,πρώτη,́τη,π,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,xcomp,0.0,αἰτία,(),False,xxx́xx,False,False,False,False,Nom,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐπὶ᾽,(),False,",",False,True,False,False,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,ἐπὶ᾽,(),False,xxx̀,False,False,False,False,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,c--------,,case,0.0,ἐπὶ᾽,(),False,’,False,True,False,False,,,,,,,,,
ἣν,ἣν,ἣν,ἣν,̔̀ν,η,-20.0,PRON,p-s---fa-,Case=Acc|Gender=Fem|Number=Sing,fixed,0.0,’,(),False,x̔̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
ἄνθρωπος,ἄνθρωπος,ἄνθρωπος,ἄνθρωπος,πος,α,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἐπὶ᾽,(),False,x̓́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,
ἐπὶ᾽,ἐπὶ᾽,ἐπὶ᾽,ἐπὶ᾽,ὶ᾽,ε,-20.0,PUNCT,V-,,dep,0.0,αἰτία,(),False,x̓xx̀᾽,False,False,False,False,,,,,,,,,
ἅπασι,ἅπασι,ἅπας,ἅπασι,ασι,α,-20.0,ADJ,a-p---md-,Case=Dat|Gender=Masc|Number=Plur,obj,0.0,γεγενῆσθαι,(),False,x̔́xxxx,False,False,False,False,Dat,Masc,Plur,,,,,,
γεγενῆσθαι,γεγενῆσθαι,γεγενῆσθαι,γεγενῆσθαι,θαι,γ,-20.0,VERB,v--rne---,Aspect=Perf|Tense=Past|VerbForm=Inf|Voice=Mid,xcomp,0.0,δοκεῖ,(),False,xxxx͂xxxx,False,False,False,False,,,,Perf,Past,Inf,Mid,,
δοκεῖ,δοκεῖ,δοκεῖ,δοκεῖ,εῖ,δ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,acl,0.0,αἰτία,(),False,xxxx͂,False,False,False,False,,,Sing,,Pres,Fin,Act,Ind,3
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,αἰτία,(),False,·,False,True,False,False,,,,,,,,,
δευτέραν,δευτέραν,δευτέραν,δευτέραν,ραν,δ,-20.0,ADJ,Mo,Case=Acc|Gender=Fem|Number=Sing,dep,0.0,λεκτέον,(),False,xxxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,λεκτέον,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,λεκτέον,(),False,’,False,True,False,False,,,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,σκοποῦ,(),False,xx̓,False,False,False,False,,,,,,,,,
ἀπὸ,ἀπὸ,ἀπὸ,ἀπὸ,πὸ,α,-20.0,ADP,r--------,,case,0.0,σκοποῦ,(),False,x̓xx̀,False,False,False,False,,,,,,,,,
σκοποῦ,σκοποῦ,σκοποῦ,σκοποῦ,οῦ,σ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,obl,0.0,λεκτέον,(),False,xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,
λεκτέον,λεκτέον,λεκτέος,λεκτέον,́ον,λ,-20.0,VERB,v2spma---,Mood=Imp|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,λεκτέον,(),False,xxxx́xx,False,False,False,False,,,Plur,,Pres,Fin,Act,Imp,2
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,λεκτέον,(),False,.,False,True,False,False,,,,,,,,,
