orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Degree,Aspect,Mood,Person
ἀκράτου,ἀκράτου,ἀκράτου,ἀκράτου,του,α,-20.0,ADJ,a-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,φύσεως,(),False,x̓xxx́xxx,False,False,False,False,Gen,Neut,Sing,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ἐποιεῖτο,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ἔτι,ἔτι,ἔτι,ἔτι,́τι,ε,-20.0,ADV,d--------,,advmod,0.0,ὑπαρχούσης,(),False,x̓́xx,False,False,False,False,,,,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,φύσεως,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
λογικῆς,λογικῆς,λογικῆς,λογικῆς,ῆς,λ,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,φύσεως,(),False,xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
φύσεως,φύσεως,φύσις,φύσεως,εως,φ,-20.0,NOUN,Nb,Case=Gen|Gender=Fem|Number=Sing,nsubj,0.0,ὑπαρχούσης,(),False,xx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
ὑπαρχούσης,ὑπαρχούσης,ὑπαρχούσης,ὑπαρχούσης,σης,υ,-20.0,VERB,v-sppafg-,Case=Gen|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,ἐποιεῖτο,(),False,x̔xxxx́xxx,False,False,False,False,Gen,Fem,Sing,Pres,Part,Act,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ψυχῇ,(),False,x̓x,False,False,False,False,,,,,,,,,,
ψυχῇ,ψυχῇ,ψυχῇ,ψυχῇ,ῇ,ψ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,ὑπαρχούσης,(),False,xxxx͂ͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,dep,0.0,ὑπαρχούσης,(),False,xxx̀,False,False,False,False,,,,,,,,,,
μηδενὸς,μηδενὸς,μηδενὸς,μηδενὸς,ὸς,μ,-20.0,ADJ,Px,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,ἀρρωστήματος,(),False,xxxx̀x,False,False,False,False,Gen,Neut,Sing,,,,,,,
