orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Aspect,Tense,VerbForm,Voice,Mood,Person
ψυχῆς,ψυχῆς,ψυχῆς,ψυχῆς,ῆς,ψ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,γένει,(),False,xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,προσκεκλήρωται,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,ἀργοτάτη,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,προσκεκλήρωται,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ἀργοτάτη,ἀργοτάτη,ἀργοτάτη,ἀργοτάτη,́τη,α,-20.0,ADJ,a-s---fns,Case=Nom|Degree=Sup|Gender=Fem|Number=Sing,nsubj,0.0,προσκεκλήρωται,"(τετυπωμένη,)",False,x̓xxxx́xx,False,False,False,False,Nom,Fem,Sing,Sup,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀργοτάτη,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἥκιστα,ἥκιστα,ἥκιστος,ἥκιστα,στα,η,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,advmod,0.0,τετυπωμένη,(),False,x̔́xxxx,False,False,False,False,Acc,Neut,Plur,,,,,,,
τετυπωμένη,τετυπωμένη,τετυπωμένη,τετυπωμένη,́νη,τ,-20.0,VERB,v-srpefn-,Aspect=Perf|Case=Nom|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid,conj,0.0,ἀργοτάτη,"(ἀργοτάτη,)",False,xxxx́xx,False,False,False,False,Nom,Fem,Sing,,Perf,Past,Part,Mid,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---nd-,Case=Dat|Gender=Neut|Number=Sing,det,0.0,γένει,(),False,xx͂ͅ,False,False,False,False,Dat,Neut,Sing,,,,,,,
γένει,γένει,γένος,γένει,νει,γ,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,obj,0.0,τετυπωμένη,(),False,xx́xxx,False,False,False,False,Dat,Neut,Sing,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ἰχθύων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
ἰχθύων,ἰχθύων,ἰχθύς,ἰχθύων,́ων,ι,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,γένει,(),False,x̓xxx́xx,False,False,False,False,Gen,Masc,Plur,,,,,,,
προσκεκλήρωται,προσκεκλήρωται,προσκεκλήρωται,προσκεκλήρωται,ται,π,-20.0,VERB,v3srie---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,ROOT,0.0,προσκεκλήρωται,"(ἀκριβεστάτη, ἀρίστη, μεθόριος)",False,xxxx́xxxx,False,False,False,False,,,Sing,,Perf,Past,Fin,Mid,Ind,3
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἡ,(),False,",",False,True,False,False,,,,,,,,,,
