orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Mood,Person,Tense,VerbForm,Voice,Degree
ἀναρμοστίας,ἀναρμοστίας,ἀναρμοστία,ἀναρμοστίας,́ας,α,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἀσυμφωνίας,(),False,x̓xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἀσυμφωνίας,ἀσυμφωνίας,ἀσυμφωνία,ἀσυμφωνίας,́ας,α,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obj,0.0,μεστή,(),False,x̓xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,,
μεστή,μεστή,μεστή,μεστή,τή,μ,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,μεστή,(),False,xxxx́,False,False,False,False,Nom,Fem,Sing,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,ROOT,0.0,·,(),False,·,False,True,False,False,,,,,,,,,,
τροπὴν,τροπὴν,τροπὴν,τροπὴν,ὴν,τ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐδέχετο,"(μεταβολὴν,)",False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἐδέχετο,(),False,xx̀,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,dep,0.0,ἐδέχετο,(),False,xxx̀,False,False,False,False,,,,,,,,,,
μεταβολὴν,μεταβολὴν,μεταβολὴ,μεταβολὴν,ὴν,μ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,τροπὴν,"(τροπὴν,)",False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἐδέχετο,ἐδέχετο,ἐδέχετο,ἐδέχετο,ετο,ε,-20.0,VERB,v3siie---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,ROOT,0.0,ἐδέχετο,(),False,x̓xx́xxxx,False,False,False,False,,,Sing,Imp,Ind,3,Past,Fin,Mid,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,τάξιν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,τἀναντία,(),False,xx̓x,False,False,False,False,,,,,,,,,,
τἀναντία,τἀναντία,τἀναντίος,τἀναντία,ία,τ,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,fixed,0.0,τὴν,"(βέλτιστα,)",False,xx̓xxxx́x,False,False,False,False,Acc,Neut,Plur,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,τἀναντία,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,βέλτιστα,(),False,xx̀,False,False,False,False,Acc,Neut,Plur,,,,,,,
βέλτιστα,βέλτιστα,βέλτιστος,βέλτιστα,στα,β,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,conj,0.0,τἀναντία,"(τἀναντία,)",False,xx́xxxx,False,False,False,False,Acc,Neut,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τάξιν,(),False,",",False,True,False,False,,,,,,,,,,
τάξιν,τάξιν,τάξις,τάξιν,ξιν,τ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐδέχετο,"(ποιότητα, ἐμψυχίαν, ὁμοιότητα, ταυτότητα, σύμφωνον, πᾶν)",False,xx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ποιότητα,ποιότητα,ποιότης,ποιότητα,ητα,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,τάξιν,"(τάξιν, ἐμψυχίαν, ὁμοιότητα, ταυτότητα, σύμφωνον, πᾶν)",False,xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἐμψυχίαν,ἐμψυχίαν,ἐμψυχία,ἐμψυχίαν,́αν,ε,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,τάξιν,"(τάξιν, ποιότητα, ὁμοιότητα, ταυτότητα, σύμφωνον, πᾶν)",False,x̓xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ὁμοιότητα,ὁμοιότητα,ὁμοιότης,ὁμοιότητα,ητα,ο,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,τάξιν,"(τάξιν, ποιότητα, ἐμψυχίαν, ταυτότητα, σύμφωνον, πᾶν)",False,x̔xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
