orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice
ἐπὶ,ἐπὶ,ἐπὶ,ἐπὶ,πὶ,ε,-20.0,ADP,r--------,,case,0.0,πᾶσι,(),False,x̓xx̀,False,False,False,False,,,,,,,,
πᾶσι,πᾶσι,πᾶς,πᾶσι,͂σι,π,-20.0,ADJ,a-p---md-,Case=Dat|Gender=Masc|Number=Plur,obl,0.0,λέγεται,(),False,xx͂xx,False,False,False,False,Dat,Masc,Plur,,,,,
μέντοι,μέντοι,μέντοι,μέντοι,τοι,μ,-20.0,ADV,d--------,,advmod,0.0,λέγεται,(),False,xx́xxxx,False,False,False,False,,,,,,,,
κἀκεῖνο,κἀκεῖνο,κἀκεῖνος,κἀκεῖνο,͂νο,κ,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,λέγεται,(),False,xx̓xxx͂xx,False,False,False,False,Nom,Neut,Sing,,,,,
λέγεται,λέγεται,λέγω,λέγεται,ται,λ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,λέγεται,(),False,xx́xxxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Mid
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,ἀπόδοσιν,(),False,xxx̀x,False,False,False,False,,,,,,,,
ἀπόδοσιν,ἀπόδοσιν,ἀπόδοσις,ἀπόδοσιν,σιν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,λέγεται,(),False,x̓xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,
αἰτίας,αἰτίας,αἰτία,αἰτίας,́ας,α,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἀπόδοσιν,(),False,xx̓xx́xx,False,False,False,False,Gen,Fem,Sing,,,,,
ἀναγκαίας,ἀναγκαίας,ἀναγκαίας,ἀναγκαίας,́ας,α,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,αἰτίας,(),False,x̓xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,λέγεται,(),False,.,False,True,False,False,,,,,,,,
