orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice
δύναμις,δύναμις,δύναμις,δύναμις,μις,δ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,δύναμις,"(ἔχουσα,)",False,xx́xxxx,False,False,False,False,Nom,Fem,Sing,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,δύναμις,(),False,xx̀,False,False,False,False,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,δύναμις,(),False,xxx̀,False,False,False,False,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,ἔχουσα,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,
κοσμοποιητικὴ,κοσμοποιητικὴ,κοσμοποιητικὴ,κοσμοποιητικὴ,κὴ,κ,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nmod,0.0,ἔχουσα,(),False,xxxx̀,False,False,False,False,Nom,Fem,Sing,,,
πηγὴν,πηγὴν,πηγὴν,πηγὴν,ὴν,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἔχουσα,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,
ἔχουσα,ἔχουσα,ἔχω,ἔχουσα,υσα,ε,-20.0,VERB,v-sppafn-,Case=Nom|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,conj,0.0,δύναμις,"(δύναμις,)",False,x̓́xxxx,False,False,False,False,Nom,Fem,Sing,Pres,Part,Act
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,ἀγαθόν,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,ἀλήθειαν,(),False,xxx̀x,False,False,False,False,,,,,,
ἀλήθειαν,ἀλήθειαν,ἀλήθεια,ἀλήθειαν,ιαν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἀγαθόν,(),False,x̓xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,
ἀγαθόν,ἀγαθόν,ἀγαθός,ἀγαθόν,όν,α,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,ἔχουσα,(),False,x̓xxxx́x,False,False,False,False,Acc,Neut,Sing,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,δύναμις,(),False,.,False,True,False,False,,,,,,
