orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice
ἐπεὶ,ἐπεὶ,ἐπεὶ,ἐπεὶ,εὶ,ε,-20.0,CCONJ,c--------,,mark,0.0,ὁρατός,(),False,x̓xxx̀,False,False,False,False,,,,,,,,
οὖν,οὖν,οὖν,οὖν,̓͂ν,ο,-20.0,ADV,d--------,,advmod,0.0,γενητός,(),False,xx̓͂x,False,False,False,False,,,,,,,,
ὁρατός,ὁρατός,ὁρατός,ὁρατός,ός,ο,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,advcl,0.0,γενητός,"(αἰσθητὸς,)",False,x̔xxxx́x,False,False,False,False,Nom,Masc,Sing,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,ὁρατός,(),True,xx,True,False,False,False,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ὁρατός,(),False,xxx̀,False,False,False,False,,,,,,,,
αἰσθητὸς,αἰσθητὸς,αἰσθητὸς,αἰσθητὸς,ὸς,α,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,ὁρατός,"(ὁρατός,)",False,xx̓xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,
ὅδε,ὅδε,ὅδε,ὅδε,́δε,ο,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,κόσμος,(),False,x̔́xx,False,False,False,False,Nom,Masc,Sing,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,κόσμος,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,
κόσμος,κόσμος,κόσμος,κόσμος,μος,κ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ὁρατός,(),False,xx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ὁρατός,(),False,",",False,True,False,False,,,,,,,,
ἀναγκαίως,ἀναγκαίως,ἀναγκαίως,ἀναγκαίως,́ως,α,-20.0,ADV,d--------,,xcomp,0.0,γενητός,(),False,x̓xxxx́xx,False,False,False,False,,,,,,,,
ἂν,ἂν,ἂν,ἂν,̓̀ν,α,-20.0,ADV,d--------,,advmod,0.0,γενητός,(),False,x̓̀x,False,False,False,False,,,,,,,,
