orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Aspect
ἐβουλήθη,ἐβουλήθη,ἐβουλήθη,ἐβουλήθη,́θη,ε,-20.0,VERB,v3saip---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Pass,ROOT,0.0,ἐβουλήθη,(),False,x̓xxxx́xx,False,False,False,False,Ind,Sing,3,Past,Fin,Pass,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ἐβουλήθη,(),False,xx̀x,False,False,False,False,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,θεὸς,(),False,x̔,False,False,False,False,,Sing,,,,,Nom,Masc,
θεὸς,θεὸς,θεὸς,θεὸς,ὸς,θ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἐβουλήθη,(),False,xxx̀x,False,False,False,False,,Sing,,,,,Nom,Masc,
δολιχεύειν,δολιχεύειν,δολιχεύω,δολιχεύειν,ειν,δ,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,xcomp,0.0,ἐβουλήθη,(),False,xxxx́xxx,False,False,False,False,,,,Pres,Inf,Act,,,
τὴν,τὴν,τὴ,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,φύσιν,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Fem,
φύσιν,φύσιν,φύσις,φύσιν,σιν,φ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,δολιχεύειν,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Acc,Fem,
ἀπαθανατίζων,ἀπαθανατίζων,ἀπαθανατίζω,ἀπαθανατίζων,ζων,α,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,δολιχεύειν,"(μεταδιδοὺς,)",False,x̓xxxx́xxx,False,False,False,False,,Sing,,Pres,Part,Act,Nom,Masc,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,γένη,(),False,xx̀,False,False,False,False,,Plur,,,,,Acc,Neut,
γένη,γένη,γένος,γένη,́νη,γ,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,ἀπαθανατίζων,(),False,xx́xx,False,False,False,False,,Plur,,,,,Acc,Neut,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀπαθανατίζων,(),False,xxx̀,False,False,False,False,,,,,,,,,
μεταδιδοὺς,μεταδιδοὺς,μεταδιδοὺς,μεταδιδοὺς,ὺς,μ,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,conj,0.0,ἀπαθανατίζων,"(ἀπαθανατίζων,)",False,xxxx̀x,False,False,False,False,,Sing,,Pres,Part,Act,Nom,Masc,
αὐτοῖς,αὐτοῖς,αὐτοῖς,αὐτοῖς,ῖς,α,-20.0,PRON,p-p---md-,Case=Dat|Gender=Masc|Number=Plur,iobj,0.0,μεταδιδοὺς,(),False,xx̓xxx͂x,False,False,False,False,,Plur,,,,,Dat,Masc,
ἀιδιότητος,ἀιδιότητος,ἀιδιότης,ἀιδιότητος,τος,α,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obj,0.0,μεταδιδοὺς,(),False,x̓xxxx́xxxx,False,False,False,False,,Sing,,,,,Gen,Fem,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἐβουλήθη,(),False,·,False,True,False,False,,,,,,,,,
οὗ,οὗ,οὗ,οὗ,ὗ,ο,-20.0,ADV,d--------,,obl,0.0,ἦγε,(),False,xx̔͂,False,False,False,False,,,,,,,,,
