orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice
λεωφόρους,λεωφόρους,λεωφόρους,λεωφόρους,ους,λ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἀνατέμνουσιν,(),False,xxxx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,
ἀνατέμνουσιν,ἀνατέμνουσιν,ἀνατέμνω,ἀνατέμνουσιν,σιν,α,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ἀνατέμνουσιν,(),False,x̓xxxx́xxxx,False,False,False,False,,,Plur,Ind,3,Pres,Fin,Act
ἀρεταί,ἀρεταί,ἀρεταί,ἀρεταί,αί,α,-20.0,NOUN,n-p---fn-,Case=Nom|Gender=Fem|Number=Plur,nsubj,0.0,ἀνατέμνουσιν,(),False,x̓xxxx́,False,False,False,False,Nom,Fem,Plur,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,διότι,(),False,",",False,True,False,False,,,,,,,,
διότι,διότι,διότι,διότι,́τι,δ,-20.0,SCONJ,c--------,,mark,0.0,προσέρχεσθαι,(),False,xxx́xx,False,False,False,False,,,,,,,,
μόναις,μόναις,μόνος,μόναις,αις,μ,-20.0,ADJ,a-p---fd-,Case=Dat|Gender=Fem|Number=Plur,nmod,0.0,θέμις,(),False,xx́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,
ψυχαῖς,ψυχαῖς,ψυχαῖς,ψυχαῖς,ῖς,ψ,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,obl,0.0,θέμις,(),False,xxxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,
θέμις,θέμις,θέμις,θέμις,μις,θ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,προσέρχεσθαι,(),False,xx́xxx,False,False,False,False,Nom,Fem,Sing,,,,,
προσέρχεσθαι,προσέρχεσθαι,προσέρχομαι,προσέρχεσθαι,θαι,π,-20.0,VERB,v--pne---,Tense=Pres|VerbForm=Inf|Voice=Mid,advcl,0.0,ἀνατέμνουσιν,(),False,xxxx́xxxx,False,False,False,False,,,,,,Pres,Inf,Mid
τέλος,τέλος,τέλος,τέλος,λος,τ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,προσέρχεσθαι,(),False,xx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,
ἡγουμέναις,ἡγουμέναις,ἡγουμέναις,ἡγουμέναις,αις,η,-20.0,ADJ,a-p---fd-,Case=Dat|Gender=Fem|Number=Plur,nmod,0.0,ἐξομοίωσιν,(),False,x̔xxxx́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἐξομοίωσιν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,θεὸν,(),False,xxx̀x,False,False,False,False,,,,,,,,
τὸν,τὸν,τὸς,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,θεὸν,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,
γεννήσαντα,γεννήσαντα,γεννήσω,γεννήσαντα,ντα,γ,-20.0,VERB,v-sapama-,Case=Acc|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,nmod,0.0,θεὸν,(),False,xxxx́xxxx,False,False,False,False,Acc,Masc,Sing,,,Past,Part,Act
θεὸν,θεὸν,θεὸς,θεὸν,ὸν,θ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,ἐξομοίωσιν,(),False,xxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,
ἐξομοίωσιν,ἐξομοίωσιν,ἐξομοίωσις,ἐξομοίωσιν,σιν,ε,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,προσέρχεσθαι,(),False,x̓xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἀνατέμνουσιν,(),False,.,False,True,False,False,,,,,,,,
