orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Degree,Aspect
χρὴ,χρὴ,χρὴ,χρὴ,ρὴ,χ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,χρὴ,(),False,xxx̀,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,,,
μέντοι,μέντοι,μέντοι,μέντοι,τοι,μ,-20.0,ADV,Df,,advmod,0.0,χρὴ,(),False,xx́xxxx,False,False,False,False,,,,,,,,,,
μηδὲ,μηδὲ,μηδὲ,μηδὲ,δὲ,μ,-20.0,CCONJ,Px,,cc,0.0,ἀγνοεῖν,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
’,’,ε,',’,’,-20.0,CCONJ,Px,,advmod,0.0,ἐκεῖνο,(),False,’,False,True,False,False,,,,,,,,,,
ἐκεῖνο,ἐκεῖνο,ἐκεῖνος,ἐκεῖνο,͂νο,ε,-20.0,ADJ,Pd,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,ἀγνοεῖν,(),False,x̓xxx͂xx,False,False,False,False,,Sing,,,,,Acc,Neut,,
ἀγνοεῖν,ἀγνοεῖν,ἀγνοεῖν,ἀγνοεῖν,ῖν,α,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,ccomp,0.0,χρὴ,(),False,x̓xxxx͂x,False,False,False,False,,,,Pres,Inf,Act,,,,
ὅτι,ὅτι,ὅτι,ὅτι,́τι,ο,-20.0,SCONJ,G-,,mark,0.0,ἠλάττωται,(),False,x̔́xx,False,False,False,False,,,,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,Df,,advmod,0.0,γέγονε,(),False,xx̓,False,False,False,False,,,,,,,,,,
παρὰ,παρὰ,παρὰ,παρὰ,ρὰ,π,-20.0,ADP,R-,,case,0.0,γέγονε,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,R-,,case,0.0,ὅσον,(),False,’,False,True,False,False,,,,,,,,,,
ὅσον,ὅσον,ὅσος,ὅσον,σον,ο,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,γέγονε,(),False,x̔́xxx,False,False,False,False,,Sing,,,,,Acc,Neut,,
ὕστατον,ὕστατον,ὕστερος,ὕστατον,τον,υ,-20.0,ADJ,a-s---nas,Case=Acc|Degree=Sup|Gender=Neut|Number=Sing,advmod,0.0,γέγονε,(),False,x̔́xxxx,False,False,False,False,,Sing,,,,,Acc,Neut,Sup,
γέγονε,γέγονε,γέγονε,γέγονε,ονε,γ,-20.0,VERB,V-,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,ἠλάττωται,(),False,xx́xxxx,False,False,False,False,Ind,Sing,3,Past,Fin,Act,,,,Perf
ἄνθρωπος,ἄνθρωπος,ἄνθρωπος,ἄνθρωπος,πος,α,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,xcomp,0.0,γέγονε,(),False,x̓́xxxx,False,False,False,False,,Sing,,,,,Nom,Masc,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,τάξιν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,τάξιν,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Fem,,
τάξιν,τάξιν,τάξις,τάξιν,ξιν,τ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἠλάττωται,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Acc,Fem,,
ἠλάττωται,ἠλάττωται,ἠλάττωται,ἠλάττωται,ται,η,-20.0,VERB,v3srie---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,ccomp,0.0,ἀγνοεῖν,(),False,x̓xx́xxxx,False,False,False,False,Ind,Sing,3,Past,Fin,Mid,,,,Perf
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,χρὴ,(),False,.,False,True,False,False,,,,,,,,,,
