orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Aspect
φασὶ,φασὶ,φασὶ,φασὶ,σὶ,φ,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,φασὶ,(),False,xxxx̀,False,False,False,False,Ind,Plur,3,Pres,Fin,Act,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,φασὶ,(),False,xx̀,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ὑπεστάλθαι,(),False,xxx̀,False,False,False,False,,,,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,ἐκκρίσεις,(),False,xx̀x,False,False,False,False,,Plur,,,,,Acc,Fem,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,σώματος,(),False,xxx̀,False,False,False,False,,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,σώματος,(),False,xxx͂,False,False,False,False,,Sing,,,,,Gen,Neut,
σώματος,σώματος,σώματος,σώματος,τος,σ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,ἐκκρίσεις,(),False,xx́xxxx,False,False,False,False,,Sing,,,,,Gen,Neut,
ἐκκρίσεις,ἐκκρίσεις,ἐκκρίσις,ἐκκρίσεις,εις,ε,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nsubj,0.0,ὑπεστάλθαι,(),False,x̓xxxx́xxxx,False,False,False,False,,Plur,,,,,Acc,Fem,
ὑπεστάλθαι,ὑπεστάλθαι,ὑπεστάλθαι,ὑπεστάλθαι,θαι,υ,-20.0,VERB,v--rne---,Aspect=Perf|Tense=Past|VerbForm=Inf|Voice=Mid,ccomp,0.0,φασὶ,(),False,x̔xxxx́xxxx,False,False,False,False,,,,Past,Inf,Mid,,,Perf
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Gender=Masc|Number=Sing,det,0.0,ἀριθμῷ,(),False,xx͂ͅ,False,False,False,False,,Sing,,,,,Dat,Masc,
λεχθέντι,λεχθέντι,λεχθέντι,λεχθέντι,ντι,λ,-20.0,VERB,v-sappmd-,Case=Dat|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,nmod,0.0,ἀριθμῷ,(),False,xxxx́xxx,False,False,False,False,,Sing,,Past,Part,Pass,Dat,Masc,
ἀριθμῷ,ἀριθμῷ,ἀριθμῷ,ἀριθμῷ,ῷ,α,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,ὑπεστάλθαι,(),False,x̓xxxx͂ͅ,False,False,False,False,,Sing,,,,,Dat,Masc,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,φασὶ,(),False,·,False,True,False,False,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,ὀφθαλμῶν,(),False,xxx̀,False,False,False,False,,,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,προχεῖται,(),False,xx̀x,False,False,False,False,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,προχεῖται,(),False,xx̀x,False,False,False,False,,,,,,,,,
ὀφθαλμῶν,ὀφθαλμῶν,ὀφθαλμῶν,ὀφθαλμῶν,ῶν,ο,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,obl,0.0,προχεῖται,(),False,x̓xxxx͂x,False,False,False,False,,Plur,,,,,Gen,Masc,
δάκρυα,δάκρυα,δάκρυον,δάκρυα,ρυα,δ,-20.0,NOUN,n-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,προχεῖται,(),False,xx́xxxx,False,False,False,False,,Plur,,,,,Nom,Neut,
προχεῖται,προχεῖται,προχεῖται,προχεῖται,ται,π,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,προχεῖται,"(καθάρσεις, σίελος)",False,xxxx͂xxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Mid,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,διὰ,(),False,",",False,True,False,False,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,ὀφθαλμῶν,(),False,xxx̀,False,False,False,False,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,c--------,,cc,0.0,προχεῖται,(),False,xx̀,False,False,False,False,,,,,,,,,
μυκτήρων,μυκτήρων,μυκτήρων,μυκτήρων,ρων,μ,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,καθάρσεις,(),False,xxxx́xxx,False,False,False,False,,Plur,,,,,Gen,Masc,
αἱ,αἱ,αἱ,αἱ,αἱ,α,-20.0,DET,l-p---fn-,Case=Nom|Gender=Fem|Number=Plur,det,0.0,καθάρσεις,(),False,xx̔,False,False,False,False,,Plur,,,,,Nom,Fem,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,κεφαλῆς,(),False,x̓x,False,False,False,False,,,,,,,,,
κεφαλῆς,κεφαλῆς,κεφαλῆς,κεφαλῆς,ῆς,κ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,καθάρσεις,(),False,xxxx͂x,False,False,False,False,,Sing,,,,,Gen,Fem,
καθάρσεις,καθάρσεις,καθάρσις,καθάρσεις,εις,κ,-20.0,NOUN,n-p---fn-,Case=Nom|Gender=Fem|Number=Plur,conj,0.0,προχεῖται,"(προχεῖται, σίελος)",False,xxxx́xxxx,False,False,False,False,,Plur,,,,,Nom,Fem,
