orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice
εἶτε᾽,εἶτε᾽,εἶτε᾽,εἶτε᾽,τε᾽,ε,-20.0,ADV,d--------,,advmod,0.0,προσεῖπεν,(),False,xx̓͂xx᾽,False,False,False,False,,,,,,,,
εὐθέως,εὐθέως,εὐθέως,εὐθέως,́ως,ε,-20.0,ADV,d--------,,advmod,0.0,προσεῖπεν,(),False,xx̓xx́xx,False,False,False,False,,,,,,,,
οὐρανὸν,οὐρανὸν,οὐρανὸν,οὐρανὸν,ὸν,ο,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,προσεῖπεν,(),False,xx̓xxxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,
προσεῖπεν,προσεῖπεν,προσεῖπον,προσεῖπεν,πεν,π,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,προσεῖπεν,(),False,xxxx͂xxx,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act
αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,ὸν,α,-20.0,PRON,p-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,προσεῖπεν,(),False,xx̓xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,
εὐθυβόλως,εὐθυβόλως,εὐθυβόλως,εὐθυβόλως,λως,ε,-20.0,ADV,d--------,,advmod,0.0,προσεῖπεν,"(πάνυ,)",False,xx̓xxxx́xxx,False,False,False,False,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,εὐθυβόλως,(),False,xxx̀,False,False,False,False,,,,,,,,
πάνυ,πάνυ,πάνυ,πάνυ,́νυ,π,-20.0,ADV,d--------,,conj,0.0,εὐθυβόλως,"(εὐθυβόλως,)",False,xx́xx,False,False,False,False,,,,,,,,
κυρίως,κυρίως,κυρίως,κυρίως,́ως,κ,-20.0,ADV,d--------,,advmod,0.0,εὐθυβόλως,(),False,xxxx́xx,False,False,False,False,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ὅρος,(),False,",",False,True,False,False,,,,,,,,
ἤτοι,ἤτοι,ἤτοι,ἤτοι,τοι,η,-20.0,ADV,d--------,,advmod,0.0,διότι,(),False,x̓́xxx,False,False,False,False,,,,,,,,
διότι,διότι,διότι,διότι,́τι,δ,-20.0,SCONJ,G-,,mark,0.0,ὅρος,(),False,xxx́xx,False,False,False,False,,,,,,,,
πάντων,πάντων,πάντων,πάντων,των,π,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ὅρος,(),False,xx́xxxx,False,False,False,False,Gen,Masc,Plur,,,,,
ὅρος,ὅρος,ὅρος,ὅρος,ρος,ο,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,dep,0.0,προσεῖπεν,"(ἐγένετο,)",False,x̔́xxx,False,False,False,False,Nom,Neut,Sing,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,ὅρος,(),False,x̓̀,False,False,False,False,,,,,,,,
διότι,διότι,διότι,διότι,́τι,δ,-20.0,SCONJ,G-,,mark,0.0,ἐγένετο,(),False,xxx́xx,False,False,False,False,,,,,,,,
πρῶτος,πρῶτος,πρῶτος,πρῶτος,τος,π,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,xcomp,0.0,ἐγένετο,(),False,xxx͂xxx,False,False,False,False,Nom,Masc,Sing,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ὁρατῶν,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,
ὁρατῶν,ὁρατῶν,ὁρατῶν,ὁρατῶν,ῶν,ο,-20.0,NOUN,Nb,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,πρῶτος,(),False,x̔xxxx͂x,False,False,False,False,Gen,Neut,Plur,,,,,
ἐγένετο,ἐγένετο,ἐγένετο,ἐγένετο,ετο,ε,-20.0,VERB,v3saim---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,conj,0.0,ὅρος,"(ὅρος,)",False,x̓xx́xxxx,False,False,False,False,,,Sing,Ind,3,Past,Fin,Mid
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,προσεῖπεν,(),False,.,False,True,False,False,,,,,,,,
