orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect,Degree
ταῦτα,ταῦτα,ταῦτα,ταῦτα,͂τα,τ,-20.0,PRON,p-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,δοκεῖ,(),False,xxx͂xx,False,False,False,False,Nom,Neut,Plur,,,,,,,
δέ,δέ,δέ,δέ,δέ,δ,-20.0,ADV,d--------,,advmod,0.0,δοκεῖ,(),False,xx́,False,False,False,False,,,,,,,,,,
μοι,μοι,ἐγώ,μοι,μοι,μ,-20.0,PRON,p-s---md-,Case=Dat|Gender=Masc|Number=Sing,iobj,0.0,δοκεῖ,(),True,xxx,True,False,False,False,Dat,Masc,Sing,,,,,,,
δοκεῖ,δοκεῖ,δοκεῖ,δοκεῖ,εῖ,δ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,δοκεῖ,(),False,xxxx͂,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,,
συμβολικῶς,συμβολικῶς,συμβολικῶς,συμβολικῶς,ῶς,σ,-20.0,ADV,d--------,,advmod,0.0,δοκεῖ,(),False,xxxx͂x,False,False,False,False,,,,,,,,,,
μᾶλλον,μᾶλλον,μᾶλλον,μᾶλλον,λον,μ,-20.0,ADV,d--------,,advmod,0.0,φιλοσοφεῖσθαι,(),False,xx͂xxxx,False,False,False,False,,,,,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,advmod,0.0,μᾶλλον,(),False,x̓̀,False,False,False,False,,,,,,,,,,
κυρίως,κυρίως,κυρίως,κυρίως,́ως,κ,-20.0,ADV,d--------,,advmod,0.0,μᾶλλον,(),False,xxxx́xx,False,False,False,False,,,,,,,,,,
φιλοσοφεῖσθαι,φιλοσοφεῖσθαι,φιλοσοφεῖσθαι,φιλοσοφεῖσθαι,θαι,φ,-20.0,VERB,v--pne---,Tense=Pres|VerbForm=Inf|Voice=Mid,xcomp,0.0,δοκεῖ,(),False,xxxx͂xxxx,False,False,False,False,,,,,,Pres,Inf,Mid,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,δοκεῖ,(),False,·,False,True,False,False,,,,,,,,,,
δένδρα,δένδρα,δένδρον,δένδρα,δρα,δ,-20.0,NOUN,n-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,πέφηνέ,(),False,xx́xxxx,False,False,False,False,Nom,Neut,Plur,,,,,,,
