orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect,Degree
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,πέφηνέ,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ἐπὶ,ἐπὶ,ἐπὶ,ἐπὶ,πὶ,ε,-20.0,ADP,r--------,,case,0.0,γῆς,(),False,x̓xx̀,False,False,False,False,,,,,,,,,,
γῆς,γῆς,γῆ,γῆς,ῆς,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,πέφηνέ,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
οὔτε,οὔτε,οὔτε,οὔτε,́τε,ο,-20.0,ADV,d--------,,advmod,0.0,πέφηνέ,(),False,xx̓́xx,False,False,False,False,,,,,,,,,,
πέφηνέ,πέφηνέ,πέφηνέ,πέφηνέ,νέ,π,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,πέφηνέ,"(εἰκὸς,)",False,xx́xxxx́,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act,Perf,
πω,πω,πω,πω,πω,π,-20.0,ADV,d--------,,advmod,0.0,πέφηνέ,(),False,xx,True,False,False,False,,,,,,,,,,
πρότερον,πρότερον,πρότερος,πρότερον,ρον,π,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,πέφηνέ,(),False,xxx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
οὕτ,οὕτ,οὕτ,οὕτ,̔́τ,ο,-20.0,CCONJ,c--------,,cc,0.0,πέφηνέ,(),False,xx̔́x,False,False,False,False,,,,,,,,,,
’,’,ε,',’,’,-20.0,CCONJ,c--------,,cc,0.0,πέφηνέ,(),False,’,False,True,False,False,,,,,,,,,,
αὖθις,αὖθις,αὖθις,αὖθις,θις,α,-20.0,ADV,d--------,,advmod,0.0,εἰκὸς,(),False,xx̓͂xxx,False,False,False,False,,,,,,,,,,
εἰκὸς,εἰκὸς,εἰκὸς,εἰκὸς,ὸς,ε,-20.0,VERB,v-srpann-,Aspect=Perf|Case=Nom|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,conj,0.0,πέφηνέ,"(πέφηνέ,)",False,xx̓xx̀x,False,False,False,False,Nom,Neut,Sing,,,Past,Part,Act,Perf,
φανεῖσθαι,φανεῖσθαι,φανεῖσθαι,φανεῖσθαι,θαι,φ,-20.0,VERB,v--fnm---,Tense=Fut|VerbForm=Inf|Voice=Mid,csubj,0.0,εἰκὸς,(),False,xxxx͂xxxx,False,False,False,False,,,,,,Fut,Inf,Mid,,
ζωῆς,ζωῆς,ζωῆς,ζωῆς,ῆς,ζ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,φανεῖσθαι,"(συνέσεως,)",False,xxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,ζωῆς,(),False,x̓̀,False,False,False,False,,,,,,,,,,
συνέσεως,συνέσεως,συνέσεως,συνέσεως,εως,σ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,ζωῆς,"(ζωῆς,)",False,xxxx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,πέφηνέ,(),False,·,False,True,False,False,,,,,,,,,,
ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ὰ᾽,α,-20.0,PUNCT,V-,,ROOT,0.0,ἀλλὰ᾽,(),False,x̓xxx̀᾽,False,False,False,False,,,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,advmod,0.0,ἔοικε,(),False,x̔x,False,False,False,False,,,,,,,,,,
ἔοικε,ἔοικε,ἔοικα,ἔοικε,ικε,ε,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,αἰνίττεται,(),False,x̓́xxxx,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act,Perf,
αἰνίττεται,αἰνίττεται,αἰνίττομαι,αἰνίττεται,ται,α,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,advcl,0.0,ἀλλὰ᾽,(),False,xx̓xx́xxxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Mid,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,ἡγεμονικόν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἡγεμονικόν,(),False,xx̀x,False,False,False,False,,,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,παραδείσου,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
παραδείσου,παραδείσου,παραδείσος,παραδείσου,σου,π,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,ἡγεμονικόν,(),False,xxxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,ἡγεμονικόν,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,
τῆς,τῆς,τῆ,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ψυχῆς,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ψυχῆς,ψυχῆς,ψυχῆς,ψυχῆς,ῆς,ψ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἡγεμονικόν,(),False,xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἡγεμονικόν,ἡγεμονικόν,ἡγεμονικός,ἡγεμονικόν,όν,η,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,αἰνίττεται,(),False,x̔xxxx́x,False,False,False,False,Acc,Neut,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,κατάπλεων,(),False,",",False,True,False,False,,,,,,,,,,
ὅπερ,ὅπερ,ὅπερς,ὅπερ,περ,ο,-20.0,PRON,p-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,κατάπλεων,(),False,x̔́xxx,False,False,False,False,Nom,Neut,Sing,,,,,,,
ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,τὶ,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,κατάπλεων,(),False,x̓xxx̀,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,,
κατάπλεων,κατάπλεων,κατάπλεω,κατάπλεων,εων,κ,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,acl,0.0,ἡγεμονικόν,"(θεοσέβειαν,)",False,xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,,,Pres,Part,Act,,
οἷα,οἷα,οἷος,οἷα,̔͂α,ο,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,advmod,0.0,κατάπλεων,(),False,xx̔͂x,False,False,False,False,Acc,Neut,Plur,,,,,,,
φυτῶν,φυτῶν,φυτῶν,φυτῶν,ῶν,φ,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,οἷα,(),False,xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
μυῥίων,μυῥίων,μυῥίος,μυῥίων,́ων,μ,-20.0,ADJ,a-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,φυτῶν,(),False,xxx̔x́xx,False,False,False,False,Gen,Fem,Plur,,,,,,,
ὅσων,ὅσων,ὅσος,ὅσων,σων,ο,-20.0,ADJ,a-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,φυτῶν,(),False,x̔́xxx,False,False,False,False,Gen,Fem,Plur,,,,,,,
δοξῶν,δοξῶν,δοξῶν,δοξῶν,ῶν,δ,-20.0,NOUN,n-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,φυτῶν,(),False,xxxx͂x,False,False,False,False,Gen,Fem,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,οἷα,(),False,",",False,True,False,False,,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,ἧς,(),False,xxx̀,False,False,False,False,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,κατάπλεων,(),False,xx̀,False,False,False,False,,,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,δένδρου,(),False,xxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,,
δένδρου,δένδρου,δένδρον,δένδρου,ρου,δ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,θεοσέβειαν,(),False,xx́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ζωῆς,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ζωῆς,ζωῆς,ζωῆς,ζωῆς,ῆς,ζ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,δένδρου,(),False,xxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,θεοσέβειαν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
μεγίστην,μεγίστην,μεγίστην,μεγίστην,την,μ,-20.0,ADJ,a-s---fas,Case=Acc|Degree=Sup|Gender=Fem|Number=Sing,nmod,0.0,θεοσέβειαν,(),False,xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,Sup
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---fg-,Case=Gen|Gender=Fem|Number=Plur,det,0.0,ἀρετῶν,(),False,xx͂x,False,False,False,False,Gen,Fem,Plur,,,,,,,
ἀρετῶν,ἀρετῶν,ἀρετῶν,ἀρετῶν,ῶν,α,-20.0,NOUN,n-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,μεγίστην,(),False,x̓xxxx͂x,False,False,False,False,Gen,Fem,Plur,,,,,,,
θεοσέβειαν,θεοσέβειαν,θεοσέβεια,θεοσέβειαν,ιαν,θ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,κατάπλεων,"(κατάπλεων,)",False,xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀθανατίζεται,(),False,",",False,True,False,False,,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,ἧς,(),False,xxx̀,False,False,False,False,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,r--------,,case,0.0,ἧς,(),False,’,False,True,False,False,,,,,,,,,,
ἧς,ἧς,ἧς,ἧς,̔͂ς,η,-20.0,PRON,p-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,ἀθανατίζεται,"(κλῶν, πονηρῶν, γνωριστικοῦ)",False,x̔͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἀθανατίζεται,ἀθανατίζεται,ἀθανατίζω,ἀθανατίζεται,ται,α,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,acl,0.0,θεοσέβειαν,(),False,x̓xxxx́xxxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Mid,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,ψυχή,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,,
ψυχή,ψυχή,ψυχή,ψυχή,χή,ψ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,ἀθανατίζεται,(),False,xxxx́,False,False,False,False,Nom,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,διὰ,(),False,",",False,True,False,False,,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,ἧς,(),False,xxx̀,False,False,False,False,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἀθανατίζεται,(),False,xx̀,False,False,False,False,,,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,κλῶν,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
κλῶν,κλῶν,κλῶν,κλῶν,ῶν,κ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,conj,0.0,ἧς,"(ἧς, πονηρῶν, γνωριστικοῦ)",False,xxx͂x,False,False,False,False,Gen,Masc,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,κλῶν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πονηρῶν,πονηρῶν,πονηρῶν,πονηρῶν,ῶν,π,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,conj,0.0,κλῶν,"(ἧς, κλῶν, γνωριστικοῦ)",False,xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
γνωριστικοῦ,γνωριστικοῦ,γνωριστικοῦ,γνωριστικοῦ,οῦ,γ,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,conj,0.0,κλῶν,"(ἧς, κλῶν, πονηρῶν)",False,xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
φρόνησιν,φρόνησιν,φρόνησις,φρόνησιν,σιν,φ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,αἰνίττεται,(),False,xxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,μέσην,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
μέσην,μέσην,μέσος,μέσην,σην,μ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,φρόνησιν,(),False,xx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,διακρίνεται,(),False,",",False,True,False,False,,,,,,,,,,
ᾗ,ᾗ,ᾗ,ᾗ,̔͂ͅ,η,-20.0,PRON,p-s---fn-,Case=Nom|Gender=Fem|Number=Sing,obj,0.0,διακρίνεται,(),False,x̔͂ͅ,False,False,False,False,Nom,Fem,Sing,,,,,,,
διακρίνεται,διακρίνεται,διακρίνω,διακρίνεται,ται,δ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,acl,0.0,μέσην,(),False,xxxx́xxxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Mid,,
τἀναντία,τἀναντία,τἀναντίος,τἀναντία,ία,τ,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,διακρίνεται,(),False,xx̓xxxx́x,False,False,False,False,Acc,Neut,Plur,,,,,,,
φύσει,φύσει,φύσις,φύσει,σει,φ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,διακρίνεται,(),False,xx́xxx,False,False,False,False,Dat,Fem,Sing,,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,αἰνίττεται,(),False,.,False,True,False,False,,,,,,,,,,
