orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Aspect,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Degree
αὐτίκα,αὐτίκα,αὐτίκα,αὐτίκα,́κα,α,-20.0,ADV,d--------,,advmod,0.0,συνέστηκε,(),False,xx̓xx́xx,False,False,False,False,,,,,,,,,,
συνέστηκε,συνέστηκε,συνέστηκε,συνέστηκε,ηκε,σ,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,συνέστηκε,(),False,xxxx́xxxx,False,False,False,False,Perf,Ind,Sing,3,Past,Fin,Act,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,ἑπτὰ,(),False,xx̀,False,False,False,False,,,Plur,,,,,Nom,Neut,
ἑπτὰ,ἑπτὰ,ἑπτὰ,ἑπτὰ,τὰ,ε,-20.0,NUM,m--------,,nsubj,0.0,συνέστηκε,(),False,x̔xxx̀,False,False,False,False,,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,ἑνὸς,(),False,x̓x,False,False,False,False,,,,,,,,,,
ἑνὸς,ἑνὸς,ἑνὸς,ἑνὸς,ὸς,ε,-20.0,NUM,Ma,Case=Gen|Gender=Masc|Number=Sing,obl,0.0,ἐχόντων,"(δυοῖν, τεττάρων)",False,x̔xx̀x,False,False,False,False,,,Sing,,,,,Gen,Masc,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,ἑνὸς,(),False,xxx̀,False,False,False,False,,,,,,,,,,
δυοῖν,δυοῖν,δυοῖν,δυοῖν,ῖν,δ,-20.0,NUM,m--------,,conj,0.0,ἑνὸς,"(ἑνὸς, τεττάρων)",False,xxxx͂x,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἑνὸς,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τεττάρων,τεττάρων,τεττάρων,τεττάρων,ρων,τ,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,conj,0.0,ἑνὸς,"(ἑνὸς, δυοῖν)",False,xxxx́xxx,False,False,False,False,,,Plur,,,,,Gen,Masc,
ἐχόντων,ἐχόντων,ἐχόντων,ἐχόντων,των,ε,-20.0,VERB,v-pppamg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,συνέστηκε,"(τετραπλάσιον,)",False,x̓xx́xxxx,False,False,False,False,,,Plur,,Pres,Part,Act,Gen,Masc,
δύο,δύο,δύο,δύο,ύο,δ,-20.0,NUM,m--------,,nmod,0.0,λόγους,(),False,xx́x,False,False,False,False,,,,,,,,,,
λόγους,λόγους,λόγος,λόγους,ους,λ,-20.0,NOUN,n-p---ma-,Case=Acc|Gender=Masc|Number=Plur,obj,0.0,ἐχόντων,(),False,xx́xxxx,False,False,False,False,,,Plur,,,,,Acc,Masc,
ἁρμονικωτάτους,ἁρμονικωτάτους,ἁρμονικωτάτους,ἁρμονικωτάτους,ους,α,-20.0,ADJ,a-p---mas,Case=Acc|Degree=Sup|Gender=Masc|Number=Plur,nmod,0.0,λόγους,(),False,x̔xxxx́xxxx,False,False,False,False,,,Plur,,,,,Acc,Masc,Sup
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,διπλάσιον,(),False,",",False,True,False,False,,,,,,,,,,
τόν,τόν,τόν,τόν,όν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,διπλάσιον,(),False,xx́x,False,False,False,False,,,Sing,,,,,Acc,Masc,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,διπλάσιον,(),True,xx,True,False,False,False,,,,,,,,,,
διπλάσιον,διπλάσιον,διπλάσιος,διπλάσιον,ιον,δ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,amod,0.0,λόγους,"(τετραπλάσιον,)",False,xxxx́xxxx,False,False,False,False,,,Sing,,,,,Acc,Masc,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,διπλάσιον,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τετραπλάσιον,τετραπλάσιον,τετραπλάσιος,τετραπλάσιον,ιον,τ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,διπλάσιον,"(διπλάσιον,)",False,xxxx́xxxx,False,False,False,False,,,Sing,,,,,Acc,Masc,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,συμφωνίαν,(),False,",",False,True,False,False,,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,συμφωνίαν,(),False,xx̀x,False,False,False,False,,,Sing,,,,,Acc,Masc,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,τὸν,(),False,xx̀x,False,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,συμφωνίαν,(),False,xx̀x,False,False,False,False,,,Sing,,,,,Acc,Fem,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,πασῶν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πασῶν,πασῶν,πασῶν,πασῶν,ῶν,π,-20.0,ADJ,Px,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,συμφωνίαν,(),False,xxxx͂x,False,False,False,False,,,Plur,,,,,Gen,Fem,
συμφωνίαν,συμφωνίαν,συμφωνία,συμφωνίαν,́αν,σ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,appos,0.0,διπλάσιον,(),False,xxxx́xx,False,False,False,False,,,Sing,,,,,Acc,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τὸν,(),False,",",False,True,False,False,,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,λόγους,(),False,xx̀x,False,False,False,False,,,Sing,,,,,Acc,Masc,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἐχόντων,(),False,xx̀,False,False,False,False,,,,,,,,,,
τετραπλάσιον,τετραπλάσιον,τετραπλάσιος,τετραπλάσιον,ιον,τ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,ἐχόντων,"(ἐχόντων,)",False,xxxx́xxxx,False,False,False,False,,,Sing,,,,,Acc,Masc,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἀποτελοῦντα,(),False,xx̀x,False,False,False,False,,,Sing,,,,,Acc,Fem,
δὶς,δὶς,δὶς,δὶς,ὶς,δ,-20.0,ADV,d--------,,advmod,0.0,ἀποτελοῦντα,(),False,xx̀x,False,False,False,False,,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,πασῶν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πασῶν,πασῶν,πασῶν,πασῶν,ῶν,π,-20.0,ADJ,a-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,ἀποτελοῦντα,(),False,xxxx͂x,False,False,False,False,,,Plur,,,,,Gen,Fem,
ἀποτελοῦντα,ἀποτελοῦντα,ἀποτελοῦντα,ἀποτελοῦντα,ντα,α,-20.0,VERB,v-sppama-,Case=Acc|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,xcomp,0.0,ἐχόντων,(),False,x̓xxxx͂xxx,False,False,False,False,,,Sing,,Pres,Part,Act,Acc,Masc,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,συνέστηκε,(),False,.,False,True,False,False,,,,,,,,,,
