orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Degree
εἰ,εἰ,εἰ,εἰ,εἰ,ε,-20.0,SCONJ,c--------,,mark,0.0,ἀρχή,(),False,xx̓,False,False,False,False,,,,,,,,,
δὴ,δὴ,δὴ,δὴ,δὴ,δ,-20.0,ADV,d--------,,advmod,0.0,ἀρχή,(),False,xx̀,False,False,False,False,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,τρίγωνον,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἀρχή,(),False,xx̀x,False,False,False,False,,,,,,,,,
ὀρθογώνιον,ὀρθογώνιον,ὀρθογώνιος,ὀρθογώνιον,ιον,ο,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nmod,0.0,τρίγωνον,(),False,x̓xxxx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,
τρίγωνον,τρίγωνον,τρίγωνον,τρίγωνον,νον,τ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,ἀρχή,(),False,xxx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,
σχημάτων,σχημάτων,σχημάτον,σχημάτων,των,σ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,ἀρχή,"(ποιοτήτων,)",False,xxxx́xxx,False,False,False,False,Gen,Neut,Plur,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,σχημάτων,(),False,xxx̀,False,False,False,False,,,,,,,,,
ποιοτήτων,ποιοτήτων,ποιοτήτων,ποιοτήτων,των,π,-20.0,NOUN,n-p---fg-,Case=Gen|Gender=Fem|Number=Plur,conj,0.0,σχημάτων,"(σχημάτων,)",False,xxxx́xxx,False,False,False,False,Gen,Fem,Plur,,,,,,
ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,τὶ,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,ἀρχή,(),False,x̓xxx̀,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,
ἀρχή,ἀρχή,ἀρχή,ἀρχή,χή,α,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,ἀρχή,"(ἀναγκαιότατον, νομίζοιτ, ’)",False,x̓xxx́,False,False,False,False,Nom,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τούτου,(),False,",",False,True,False,False,,,,,,,,,
τούτου,τούτου,τούτου,τούτου,του,τ,-20.0,PRON,p-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,τρίγωνον,(),False,xxx́xxx,False,False,False,False,Gen,Neut,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἀρχή,(),False,xx̀,False,False,False,False,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,ἀναγκαιότατον,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,
