orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person,Degree
ρωτάτου,ρωτάτου,ρωτάτου,ρωτάτου,του,ρ,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,παγέντα,(),False,xxxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
τῆς,τῆς,τῆ,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,οὐσίας,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
οὐσίας,οὐσίας,οὐσία,οὐσίας,́ας,ο,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,ρωτάτου,(),False,xx̓xx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,,
παγέντα,παγέντα,παγέντα,παγέντα,ντα,π,-20.0,VERB,v-sappma-,Case=Acc|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,ROOT,0.0,παγέντα,(),False,xxxx́xxx,False,False,False,False,Acc,Masc,Sing,Past,Part,Pass,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔμελλε,(),False,",",False,True,False,False,,,,,,,,,,
διότι,διότι,διότι,διότι,́τι,δ,-20.0,SCONJ,c--------,,mark,0.0,ἔμελλε,(),False,xxx́xx,False,False,False,False,,,,,,,,,,
θεῶν,θεῶν,θεῶν,θεῶν,ῶν,θ,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἔμελλε,"(αἰσθητῶν,)",False,xxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
ἐμφανῶν,ἐμφανῶν,ἐμφανῶν,ἐμφανῶν,ῶν,ε,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,amod,0.0,θεῶν,(),False,x̓xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,CCONJ,d--------,,advmod,0.0,ἐμφανῶν,(),True,xx,True,False,False,False,,,,,,,,,,
’,’,ε,',’,’,-20.0,CCONJ,d--------,,advmod,0.0,θεῶν,(),False,’,False,True,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,θεῶν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
αἰσθητῶν,αἰσθητῶν,αἰσθητῶν,αἰσθητῶν,ῶν,α,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,conj,0.0,θεῶν,"(θεῶν,)",False,xx̓xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
ἔμελλε,ἔμελλε,ἔμελλε,ἔμελλε,λλε,ε,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,acl,0.0,παγέντα,(),False,x̓́xxxx,False,False,False,False,,,Sing,Past,Fin,Act,Imp,Ind,3,
οἶκος,οἶκος,εἶκος,οἶκος,κος,ο,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,ἔμελλε,(),False,xx̓͂xxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
ἔσεσθαι,ἔσεσθαι,ἔσεσθαι,ἔσεσθαι,θαι,ε,-20.0,AUX,v--fnm---,Tense=Fut|VerbForm=Inf|Voice=Mid,cop,0.0,ἔμελλε,(),False,x̓́xxxx,False,False,False,False,,,,Fut,Inf,Mid,,,,
ἱερώτατος,ἱερώτατος,ἱερώς,ἱερώτατος,τος,ι,-20.0,ADJ,a-s---mns,Case=Nom|Degree=Sup|Gender=Masc|Number=Sing,nmod,0.0,ἔμελλε,(),False,x̔xxx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,,Sup
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἔμελλε,(),False,.,False,True,False,False,,,,,,,,,,
