orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Aspect
στοιχείων,στοιχείων,στοιχείων,στοιχείων,́ων,σ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,obl,0.0,ἔοικε,(),False,xxxx́xx,False,False,False,False,Gen,Neut,Plur,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,ἑπτά,(),True,xx,True,False,False,False,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,τε,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,γραμματικῇ,(),False,x̓x,False,False,False,False,,,,,,,,,
γραμματικῇ,γραμματικῇ,γραμματικῇ,γραμματικῇ,ῇ,γ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,λεγόμενα,(),False,xxxx͂ͅ,False,False,False,False,Dat,Fem,Sing,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,λεγόμενα,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,
λεγόμενα,λεγόμενα,λεγόμενα,λεγόμενα,ενα,λ,-20.0,VERB,v-pppenn-,Case=Nom|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,nmod,0.0,φωνήεντα,(),False,xxxx́xxxx,False,False,False,False,Nom,Neut,Plur,Pres,Part,Mid,,,
φωνήεντα,φωνήεντα,φωνήεντα,φωνήεντα,ντα,φ,-20.0,NOUN,n-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,ἑπτά,(),False,xxxx́xxxx,False,False,False,False,Nom,Neut,Plur,,,,,,
ἐτύμως,ἐτύμως,ἐτύμως,ἐτύμως,μως,ε,-20.0,ADV,d--------,,advmod,0.0,ἑπτά,(),False,x̓xx́xxx,False,False,False,False,,,,,,,,,
ἑπτά,ἑπτά,ἑπτά,ἑπτά,τά,ε,-20.0,NUM,m--------,,ROOT,0.0,ἑπτά,(),False,x̔xxx́,False,False,False,False,,,,,,,,,
ἐστι,ἐστι,ἐστι,ἐστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,ἑπτά,(),False,x̓xxx,False,False,False,False,,,Sing,Pres,Fin,Act,Ind,3,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐπειδὴ,(),False,",",False,True,False,False,,,,,,,,,
ἐπειδὴ,ἐπειδὴ,ἐπειδὴ,ἐπειδὴ,δὴ,ε,-20.0,CCONJ,c--------,,mark,0.0,ἔοικε,(),False,x̓xxxx̀,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἔοικε,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,ἑαυτῶν,(),False,x̓x,False,False,False,False,,,,,,,,,
ἑαυτῶν,ἑαυτῶν,ἑαυτῶν,ἑαυτῶν,ῶν,ε,-20.0,PRON,p-p---ng-,Case=Gen|Gender=Neut|Number=Plur,obl,0.0,ἔοικε,(),False,x̔xxxx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,
ἔοικε,ἔοικε,ἔοικα,ἔοικε,ικε,ε,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,ἑπτά,(),False,x̓́xxxx,False,False,False,False,,,Sing,Past,Fin,Act,Ind,3,Perf
φωνεῖσθαι,φωνεῖσθαι,φωνεῖσθαι,φωνεῖσθαι,θαι,φ,-20.0,VERB,v--pne---,Tense=Pres|VerbForm=Inf|Voice=Pass,xcomp,0.0,ἔοικε,"(ἀποτελεῖν,)",False,xxxx͂xxxx,False,False,False,False,,,,Pres,Inf,Pass,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,φωνεῖσθαι,(),False,xxx̀,False,False,False,False,,,,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---md-,Case=Dat|Gender=Masc|Number=Plur,det,0.0,ἄλλοις,(),False,xxx͂x,False,False,False,False,Dat,Masc,Plur,,,,,,
ἄλλοις,ἄλλοις,ἄλλος,ἄλλοις,οις,α,-20.0,ADJ,a-p---md-,Case=Dat|Gender=Masc|Number=Plur,iobj,0.0,συνταττόμενα,(),False,x̓́xxxx,False,False,False,False,Dat,Masc,Plur,,,,,,
συνταττόμενα,συνταττόμενα,συνταττόμενα,συνταττόμενα,ενα,σ,-20.0,VERB,v-pppenn-,Case=Nom|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,ἀποτελεῖν,(),False,xxxx́xxxx,False,False,False,False,Nom,Neut,Plur,Pres,Part,Mid,,,
φωνὰς,φωνὰς,φωνὰς,φωνὰς,ὰς,φ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἀποτελεῖν,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,
ἐνάρθρους,ἐνάρθρους,ἐνάρθρους,ἐνάρθρους,ους,ε,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,xcomp,0.0,ἀποτελεῖν,(),False,x̓xx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,,
ἀποτελεῖν,ἀποτελεῖν,ἀποτελεῖς,ἀποτελεῖν,ῖν,α,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,conj,0.0,φωνεῖσθαι,"(φωνεῖσθαι,)",False,x̓xxxx͂x,False,False,False,False,,,,Pres,Inf,Act,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἑπτά,(),False,·,False,True,False,False,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ἰδίας,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἀναπληροῖ,(),False,xx̀x,False,False,False,False,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ἀναπληροῖ,(),False,xx̀x,False,False,False,False,,,,,,,,,
ἡμιφώνων,ἡμιφώνων,ἡμιφώνων,ἡμιφώνων,νων,η,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἐνδέον,(),False,x̔xxxx́xxx,False,False,False,False,Gen,Masc,Plur,,,,,,
ἀναπληροῖ,ἀναπληροῖ,ἀναπληροῖ,ἀναπληροῖ,οῖ,α,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ἀναπληροῖ,"(τρέπει, μεταβάλλει)",False,x̓xxxx͂,False,False,False,False,,,Sing,Pres,Fin,Act,Ind,3,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,ἐνδέον,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,
ἐνδέον,ἐνδέον,ἐνδέος,ἐνδέον,́ον,ε,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,ἀναπληροῖ,(),False,x̓xxx́xx,False,False,False,False,Acc,Neut,Sing,,,,,,
ὁλοκλήρους,ὁλοκλήρους,ὁλοκλήρους,ὁλοκλήρους,ους,ο,-20.0,ADJ,a-p---ma-,Case=Acc|Gender=Masc|Number=Plur,xcomp,0.0,κατασκευάζοντα,(),False,x̔xxxx́xxxx,False,False,False,False,Acc,Masc,Plur,,,,,,
κατασκευάζοντα,κατασκευάζοντα,κατασκευάζω,κατασκευάζοντα,ντα,κ,-20.0,VERB,v-sppama-,Case=Acc|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,nmod,0.0,ἐνδέον,(),False,xxxx́xxxx,False,False,False,False,Acc,Masc,Sing,Pres,Part,Act,,,
τοὺς,τοὺς,τοὺς,τοὺς,ὺς,τ,-20.0,DET,l-p---ma-,Case=Acc|Gender=Masc|Number=Plur,det,0.0,φθόγγους,(),False,xxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,,
φθόγγους,φθόγγους,φθόγγος,φθόγγους,ους,φ,-20.0,NOUN,n-p---ma-,Case=Acc|Gender=Masc|Number=Plur,obj,0.0,κατασκευάζοντα,(),False,xxx́xxxx,False,False,False,False,Acc,Masc,Plur,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τῶν,(),False,",",False,True,False,False,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---fg-,Case=Gen|Gender=Fem|Number=Plur,det,0.0,ἐνδέον,(),False,xx͂x,False,False,False,False,Gen,Fem,Plur,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἀναπληροῖ,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,ά,',’,’,-20.0,CCONJ,c--------,,case,0.0,τρέπει,(),False,’,False,True,False,False,,,,,,,,,
