orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Aspect
ἓκ,ἓκ,ἓκ,ἓκ,̔̀κ,ε,-20.0,ADP,r--------,,case,0.0,ἡμέραις,(),False,x̔̀x,False,False,False,False,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,φησι,(),False,xx̀,False,False,False,False,,,,,,,,,
ἡμέραις,ἡμέραις,ἡμέρα,ἡμέραις,αις,η,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,obl,0.0,δημιουργηθῆναί,(),False,x̔xx́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,,
δημιουργηθῆναί,δημιουργηθῆναί,δημιουργηθῆναί,δημιουργηθῆναί,αί,δ,-20.0,VERB,v--anp---,Tense=Past|VerbForm=Inf|Voice=Pass,ccomp,0.0,φησι,(),False,xxxx͂xxx́,False,False,False,False,,,,Past,Inf,Pass,,,
φησι,φησι,φημί,φησι,ησι,φ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,φησι,(),False,xxxx,True,False,False,False,,,Sing,Pres,Fin,Act,Ind,3,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,κόσμον,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,
κόσμον,κόσμον,κόσμος,κόσμον,μον,κ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nsubj,0.0,δημιουργηθῆναί,(),False,xx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐπε,(),False,",",False,True,False,False,,,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,ἐπε,(),False,xx̓,False,False,False,False,,,,,,,,,
ἐπε,ἐπε,ἐπε,ἐπε,̓πε,ε,-20.0,NOUN,n-p---nn-,Case=Nom|Gender=Neut|Number=Plur,dep,0.0,φησι,(),False,x̓xx,False,False,False,False,Nom,Neut,Plur,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,φησι,(),False,·,False,True,False,False,,,,,,,,,
ιδὴ,ιδὴ,ιδὴ,ιδὴ,δὴ,ι,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,xcomp,0.0,προσεδεῖτο,"(εἰκὸς,)",False,xxx̀,False,False,False,False,Dat,Fem,Sing,,,,,,
προσεδεῖτο,προσεδεῖτο,προσεδεῖτο,προσεδεῖτο,͂το,π,-20.0,VERB,v3siie---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,ROOT,0.0,προσεδεῖτο,(),False,xxxx͂xx,False,False,False,False,,,Sing,Past,Fin,Mid,Ind,3,Imp
