orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect,Degree
τρίτον,τρίτον,τρίτος,τρίτον,τον,τ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,ἀγαθὸς,(),False,xxx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
δέ,δέ,δέ,δέ,δέ,δ,-20.0,ADV,d--------,,advmod,0.0,ἀγαθὸς,(),False,xx́,False,False,False,False,,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δέ,(),False,",",False,True,False,False,,,,,,,,,,
ὃ,ὃ,ὃ,ὃ,ὃ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,ἔχει,(),False,x̔̀,False,False,False,False,Nom,Masc,Sing,,,,,,,
μηδὲ,μηδὲ,μηδὲ,μηδὲ,δὲ,μ,-20.0,ADV,d--------,,advmod,0.0,ἔχει,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
σύγκρισιν,σύγκρισιν,σύγκρισις,σύγκρισιν,σιν,σ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἔχει,(),False,xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἔχει,ἔχει,ἔχω,ἔχει,χει,ε,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,advcl,0.0,ἀγαθὸς,(),False,x̓́xxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,λεχθέντα,(),False,xxx̀x,False,False,False,False,,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,λεχθέντα,(),False,xx̀,False,False,False,False,Acc,Neut,Plur,,,,,,,
λεχθέντα,λεχθέντα,λεχθέντα,λεχθέντα,ντα,λ,-20.0,VERB,v-pappna-,Case=Acc|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,xcomp,0.0,ἔχει,(),False,xxxx́xxx,False,False,False,False,Acc,Neut,Plur,,,Past,Part,Pass,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔχει,(),False,",",False,True,False,False,,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,δημιουργὸς,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
δημιουργὸς,δημιουργὸς,δημιουργὸς,δημιουργὸς,ὸς,δ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἀγαθὸς,(),False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,
ἀγαθὸς,ἀγαθὸς,ἀγαθὸς,ἀγαθὸς,ὸς,α,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,ἀγαθὸς,(),False,x̓xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,
ἦν,ἦν,ἦν,ἦν,̓͂ν,η,-20.0,AUX,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,cop,0.0,ἀγαθὸς,(),False,x̓͂x,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act,Imp,
τά,τά,τά,τά,τά,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,ἄλλα,(),False,xx́,False,False,False,False,Acc,Neut,Plur,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,cc,0.0,ἄλλα,(),True,xx,True,False,False,False,,,,,,,,,,
ἄλλα,ἄλλα,ἄλλος,ἄλλα,λλα,α,-20.0,PRON,p-p---na-,Case=Acc|Gender=Neut|Number=Plur,dep,0.0,ἀγαθὸς,"(ἐπιστήμην,)",False,x̓́xxx,False,False,False,False,Acc,Neut,Plur,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἄλλα,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἐπιστήμην,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἐπιστήμην,ἐπιστήμην,ἐπιστήμη,ἐπιστήμην,μην,ε,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,ἄλλα,"(ἄλλα,)",False,x̓xxxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔχειν,(),False,",",False,True,False,False,,,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,advmod,0.0,ἔχειν,(),False,x̔x,False,False,False,False,,,,,,,,,,
ἕκαστον,ἕκαστον,ἕκαστος,ἕκαστον,τον,ε,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,ἔχειν,(),False,x̔́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,μερῶν,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,σώματος,(),False,xxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,,
σώματος,σώματος,σώματος,σώματος,τος,σ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,μερῶν,(),False,xx́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,,,
μερῶν,μερῶν,μερῶν,μερῶν,ῶν,μ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,ἕκαστον,(),False,xxxx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἕκαστον,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἰδίᾳ,ἰδίᾳ,ἰδίᾳ,ἰδίᾳ,́ᾳ,ι,-20.0,ADJ,a-s---fd-,Case=Dat|Gender=Fem|Number=Sing,advmod,0.0,ἔχειν,(),False,x̓xx́xͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,αὑτὸ,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,r--------,,case,0.0,αὑτὸ,(),False,’,False,True,False,False,,,,,,,,,,
αὑτὸ,αὑτὸ,αὑτὸς,αὑτὸ,τὸ,α,-20.0,PRON,p-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,ἔχειν,(),False,xx̔xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,
τοὺς,τοὺς,τοὺς,τοὺς,ὺς,τ,-20.0,DET,l-p---ma-,Case=Acc|Gender=Masc|Number=Plur,det,0.0,ἐπιβάλλοντάς,(),False,xxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,,,
