orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Mood,Person,Tense,VerbForm,Voice,Degree
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἐποίει,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πρῶτον,πρῶτον,πρῶτος,πρῶτον,τον,π,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,xcomp,0.0,οὐρανὸν,"(ἴστον,)",False,xxx͂xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
αὐτοῦ,αὐτοῦ,αὐτοῦ,αὐτοῦ,οῦ,α,-20.0,PRON,p-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,μερῶν,(),False,xx̓xxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,μερῶν,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
μερῶν,μερῶν,μερῶν,μερῶν,ῶν,μ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,obl,0.0,πρῶτον,(),False,xxxx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἴστον,(),False,",",False,True,False,False,,,,,,,,,,
ὃ,ὃ,ὃς,ὃ,ὃ,ο,-20.0,PRON,p-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,ἴστον,(),False,x̔̀,False,False,False,False,Nom,Neut,Sing,,,,,,,
δὴ,δὴ,δὴ,δὴ,δὴ,δ,-20.0,ADV,d--------,,advmod,0.0,καὶ,(),False,xx̀,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἴστον,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πάντων,πάντων,πάντων,πάντων,των,π,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἴστον,(),False,xx́xxxx,False,False,False,False,Gen,Masc,Plur,,,,,,,
ἴστον,ἴστον,ἴστος,ἴστον,τον,ι,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,conj,0.0,πρῶτον,"(πρῶτον,)",False,x̓́xxxx,False,False,False,False,,,Sing,Imp,Ind,3,Past,Fin,Act,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἴστον,(),False,",",False,True,False,False,,,,,,,,,,
ἐποίει,ἐποίει,ἐποίει,ἐποίει,́ει,ε,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἐποίει,(),False,x̓xxx́xx,False,False,False,False,,,Sing,Imp,Ind,3,Past,Fin,Act,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,οὐρανὸν,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
οὐρανὸν,οὐρανὸν,οὐρανὸς,οὐρανὸν,ὸν,ο,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἐποίει,(),False,xx̓xxxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,δημιουργός,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
