orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Mood,Person,Tense,VerbForm,Voice,Degree
ἀθρόα,ἀθρόα,ἀθρόος,ἀθρόα,όα,α,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,amod,0.0,πάντα,(),False,x̓xxx́x,False,False,False,False,Acc,Neut,Plur,,,,,,,
πάντα,πάντα,πάς,πάντα,ντα,π,-20.0,ADJ,Px,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,διεξελήλυθε,(),False,xx́xxx,False,False,False,False,Acc,Neut,Plur,,,,,,,
διεξελήλυθε,διεξελήλυθε,διεξελήλυθε,διεξελήλυθε,υθε,δ,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,διεξελήλυθε,(),False,xxxx́xxxx,False,False,False,False,,,Sing,Perf,Ind,3,Past,Fin,Act,
φροντίζων,φροντίζων,φροντίζω,φροντίζων,ζων,φ,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,διεξελήλυθε,(),False,xxxx́xxx,False,False,False,False,Nom,Masc,Sing,,,,Pres,Part,Act,
εἰ,εἰ,εἰ,εἰ,εἰ,ε,-20.0,ADV,d--------,,dep,0.0,φροντίζων,(),False,xx̓,False,False,False,False,,,,,,,,,,
καί,καί,καί,καί,αί,κ,-20.0,ADV,d--------,,advmod,0.0,ἄλλος,(),False,xxx́,False,False,False,False,,,,,,,,,,
τις,τις,τὶς,τις,τις,τ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,ἄλλος,(),True,xxx,True,False,False,False,Nom,Masc,Sing,,,,,,,
ἄλλος,ἄλλος,ἄλλος,ἄλλος,λος,α,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,dislocated,0.0,φροντίζων,(),False,x̓́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
βραχυλογίας,βραχυλογίας,βραχυλογία,βραχυλογίας,́ας,β,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἄλλος,(),False,xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δείγματα,(),False,",",False,True,False,False,,,,,,,,,,
οὐδὲν,οὐδὲν,οὐδὲν,οὐδὲν,ὲν,ο,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,ἧττον,(),False,xx̓xx̀x,False,False,False,False,Acc,Neut,Sing,,,,,,,
ἧττον,ἧττον,ἧττον,ἧττον,τον,η,-20.0,ADJ,a-s---nac,Case=Acc|Degree=Cmp|Gender=Neut|Number=Sing,advmod,0.0,δείγματα,(),False,x̔͂xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,Cmp
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,ῥηθέντα,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,,
ῥηθέντα,ῥηθέντα,ῥηθέντα,ῥηθέντα,ντα,ρ,-20.0,VERB,v-pappna-,Case=Acc|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,nsubj,0.0,δείγματα,(),False,x̔xxx́xxx,False,False,False,False,Acc,Neut,Plur,,,,Past,Part,Pass,
