orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Mood,Person,Tense,VerbForm,Voice
ἐπὶ,ἐπὶ,ἐπὶ,ἐπὶ,πὶ,ε,-20.0,ADP,r--------,,case,0.0,πᾶσι,(),False,x̓xx̀,False,False,False,False,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἐποίει,(),False,xx̀,False,False,False,False,,,,,,,,,
πᾶσι,πᾶσι,πᾶς,πᾶσι,͂σι,π,-20.0,ADJ,a-p---md-,Case=Dat|Gender=Masc|Number=Plur,obl,0.0,ἐποίει,(),False,xx͂xx,False,False,False,False,Dat,Masc,Plur,,,,,,
ἐποίει,ἐποίει,ἐποίει,ἐποίει,́ει,ε,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἐποίει,(),False,x̓xxx́xx,False,False,False,False,,,Sing,Imp,Ind,3,Past,Fin,Act
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἄνθρωπον,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,
ἄνθρωπον,ἄνθρωπον,ἄνθρωπος,ἄνθρωπον,πον,α,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἐποίει,(),False,x̓́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἐποίει,(),False,·,False,True,False,False,,,,,,,,,
ὃν,ὃν,ὃν,ὃν,̔̀ν,ο,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,τρόπον,(),False,x̔̀x,False,False,False,False,Acc,Masc,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἐρῶ,(),False,xx̀,False,False,False,False,,,,,,,,,
τρόπον,τρόπον,τρόπος,τρόπον,πον,τ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obl,0.0,ἐρῶ,(),False,xxx́xxx,False,False,False,False,Acc,Masc,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τρόπον,(),False,",",False,True,False,False,,,,,,,,,
μικρὸν,μικρὸν,μικρὸς,μικρὸν,ὸν,μ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,ὕστερον,(),False,xxxx̀x,False,False,False,False,Acc,Neut,Sing,,,,,,
ὕστερον,ὕστερον,ὕστερος,ὕστερον,ρον,υ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,ἐρῶ,(),False,x̔́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,
ἐρῶ,ἐρῶ,ἐρῶ,ἐρῶ,ρῶ,ε,-20.0,VERB,v1sfia---,Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act,ROOT,0.0,ἐρῶ,(),False,x̓xx͂,False,False,False,False,,,Sing,,Ind,1,Fut,Fin,Act
πρότερον,πρότερον,πρότερος,πρότερον,ρον,π,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,ἐρῶ,(),False,xxx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,
ἐκεῖνο,ἐκεῖνο,ἐκεῖνος,ἐκεῖνο,͂νο,ε,-20.0,PRON,p-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,δηλώσας,(),False,x̓xxx͂xx,False,False,False,False,Acc,Neut,Sing,,,,,,
δηλώσας,δηλώσας,δηλώδω,δηλώσας,σας,δ,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἐρῶ,(),False,xxxx́xxx,False,False,False,False,Nom,Masc,Sing,,,,Past,Part,Act
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,κέχρηται,(),False,",",False,True,False,False,,,,,,,,,
ὅτι,ὅτι,ὅτι,ὅτι,́τι,ο,-20.0,SCONJ,c--------,,mark,0.0,κέχρηται,(),False,x̔́xx,False,False,False,False,,,,,,,,,
παγκάλῳ,παγκάλῳ,παγκάλῳ,παγκάλῳ,λῳ,π,-20.0,ADJ,a-s---md-,Case=Dat|Gender=Masc|Number=Sing,nmod,0.0,εἱρμῷ,(),False,xxxx́xxͅ,False,False,False,False,Dat,Masc,Sing,,,,,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Gender=Masc|Number=Sing,det,0.0,εἱρμῷ,(),False,xx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,
τῆς,τῆς,τῆ,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ἀκολουθίας,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
ἀκολουθίας,ἀκολουθίας,ἀκολουθίας,ἀκολουθίας,́ας,α,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,εἱρμῷ,(),False,x̓xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,
εἱρμῷ,εἱρμῷ,εἱρμῷ,εἱρμῷ,ῷ,ε,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obj,0.0,κέχρηται,(),False,xx̔xxx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,
κέχρηται,κέχρηται,κέχρηται,κέχρηται,ται,κ,-20.0,VERB,v3srie---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,ccomp,0.0,δηλώσας,(),False,xx́xxxx,False,False,False,False,,,Sing,Perf,Ind,3,Past,Fin,Mid
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ὑφηγήσαιο,(),False,",",False,True,False,False,,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,ὑφηγήσαιο,(),False,xxxx̀,False,False,False,False,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,r--------,,case,0.0,ὑφηγήσαιο,(),False,’,False,True,False,False,,,,,,,,,
ἣν,ἣν,ἣν,ἣν,̔̀ν,η,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ζωογονίαν,(),False,x̔̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
ὑφηγήσαιο,ὑφηγήσαιο,ὑφηγήσαιο,ὑφηγήσαιο,αιο,υ,-20.0,VERB,v2saoe---,Mood=Opt|Number=Sing|Person=2|Tense=Past|VerbForm=Fin|Voice=Mid,advcl,0.0,κέχρηται,(),False,x̔xxxx́xxxx,False,False,False,False,,,Sing,,Opt,2,Past,Fin,Mid
ζωογονίαν,ζωογονίαν,ζωογονία,ζωογονίαν,́αν,ζ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ὑφηγήσαιο,(),False,xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἐρῶ,(),False,.,False,True,False,False,,,,,,,,,
