orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Mood,Person,Tense,VerbForm,Voice,Degree
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,οἶδ,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,οἶδ,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADP,r--------,,case,0.0,φύσιν,(),False,’,False,True,False,False,,,,,,,,,,
ἑβδομάδος,ἑβδομάδος,ἑβδομάδο,ἑβδομάδος,δος,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,φύσιν,(),False,x̔xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
φύσιν,φύσιν,φύσις,φύσιν,σιν,φ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,οἶδ,(),False,xx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,οἶδ,(),False,xx̓,False,False,False,False,,,,,,,,,,
οἶδ,οἶδ,οἶδ,οἶδ,̓͂δ,ο,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advmod,0.0,’,(),False,xx̓͂x,False,False,False,False,,,Sing,Perf,Ind,3,Past,Fin,Act,
’,’,’,',’,’,-20.0,ADV,d--------,,mark,0.0,δύναιτο,(),False,’,False,True,False,False,,,,,,,,,,
εἴ,εἴ,εἴ,εἴ,ἴ,ε,-20.0,SCONJ,c--------,,mark,0.0,δύναιτο,(),False,xx̓́,False,False,False,False,,,,,,,,,,
τις,τις,τις,τις,τις,τ,-20.0,PRON,p-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,δύναιτο,(),True,xxx,True,False,False,False,Nom,Masc,Sing,,,,,,,
ἱκανῶς,ἱκανῶς,ἱκανῶς,ἱκανῶς,ῶς,ι,-20.0,ADV,d--------,,advmod,0.0,δύναιτο,(),False,x̔xxxx͂x,False,False,False,False,,,,,,,,,,
ἂν,ἂν,ἂν,ἂν,̓̀ν,α,-20.0,ADV,d--------,,advmod,0.0,ὑμνῆσαι,(),False,x̓̀x,False,False,False,False,,,,,,,,,,
ὑμνῆσαι,ὑμνῆσαι,ὑμνῆζω,ὑμνῆσαι,σαι,υ,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,xcomp,0.0,δύναιτο,(),False,x̔xxx͂xxx,False,False,False,False,,,,,,,Past,Inf,Act,
δύναιτο,δύναιτο,δύναμαι,δύναιτο,ιτο,δ,-20.0,VERB,v3spoe---,Mood=Opt|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,δύναιτο,(),False,xx́xxxx,False,False,False,False,,,Sing,,Opt,3,Pres,Fin,Mid,
παντὸς,παντὸς,παντὸς,παντὸς,ὸς,π,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,κρείττονα,(),False,xxxx̀x,False,False,False,False,Gen,Masc,Sing,,,,,,,
οὖσαν,οὖσαν,οὖσαν,οὖσαν,σαν,ο,-20.0,AUX,v-sppafa-,Case=Acc|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,cop,0.0,κρείττονα,(),False,xx̓͂xxx,False,False,False,False,Acc,Fem,Sing,,,,Pres,Part,Act,
λόγου,λόγου,λόγος,λόγου,γου,λ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,κρείττονα,(),False,xx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
κρείττονα,κρείττονα,κρείττων,κρείττονα,ονα,κ,-20.0,ADJ,a-s---fac,Case=Acc|Degree=Cmp|Gender=Fem|Number=Sing,xcomp,0.0,δύναιτο,(),False,xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,Cmp
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,δύναιτο,(),False,·,False,True,False,False,,,,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,θαυμασιωτέρα,(),False,xx̓,False,False,False,False,,,,,,,,,,
μὴν,μὴν,μὴν,μὴν,ὴν,μ,-20.0,ADV,d--------,,advmod,0.0,οὐ,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ὅτι,ὅτι,ὅτι,ὅτι,́τι,ο,-20.0,SCONJ,c--------,,mark,0.0,θαυμασιωτέρα,(),False,x̔́xx,False,False,False,False,,,,,,,,,,
θαυμασιωτέρα,θαυμασιωτέρα,θαυμασιωτέρα,θαυμασιωτέρα,́ρα,θ,-20.0,ADJ,a-p---nnc,Case=Nom|Degree=Cmp|Gender=Neut|Number=Plur,ROOT,0.0,θαυμασιωτέρα,(),False,xxxx́xx,False,False,False,False,Nom,Neut,Plur,,,,,,,Cmp
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,λεγομένων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
περὶ,περὶ,περὶ,περὶ,ρὶ,π,-20.0,ADP,r--------,,case,0.0,αὐτῆς,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
αὐτῆς,αὐτῆς,αὐτῆς,αὐτῆς,ῆς,α,-20.0,PRON,p-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,λεγομένων,(),False,xx̓xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
λεγομένων,λεγομένων,λεγομένων,λεγομένων,νων,λ,-20.0,VERB,v-pppeng-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,nmod,0.0,θαυμασιωτέρα,(),False,xxxx́xxx,False,False,False,False,Gen,Masc,Plur,,,,Pres,Part,Mid,
ἐστί,ἐστί,ἐστί,ἐστί,τί,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,θαυμασιωτέρα,(),False,x̓xxx́,False,False,False,False,,,Sing,,Ind,3,Pres,Fin,Act,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,θαυμασιωτέρα,(),False,",",False,True,False,False,,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,τοῦτο᾽,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τοῦτο᾽,τοῦτο᾽,τοῦτο᾽,τοῦτο᾽,το᾽,τ,-20.0,PUNCT,V-,,punct,0.0,θαυμασιωτέρα,(),False,xxx͂xx᾽,False,False,False,False,,,,,,,,,,
ἡσυχαστέον,ἡσυχαστέον,ἡσυχαστέον,ἡσυχαστέον,́ον,η,-20.0,VERB,v2sama---,Mood=Imp|Number=Plur|Person=2|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἡσυχαστέον,(),False,x̔xxxx́xx,False,False,False,False,,,Plur,,Imp,2,Past,Fin,Act,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀλλὰ᾽,(),False,",",False,True,False,False,,,,,,,,,,
ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ὰ᾽,α,-20.0,PUNCT,V-,,dep,0.0,ἡσυχαστέον,(),False,x̓xxx̀᾽,False,False,False,False,,,,,,,,,,
ἐπιτολμητέον,ἐπιτολμητέον,ἐπιτολμητέον,ἐπιτολμητέον,́ον,ε,-20.0,VERB,v2ppma---,Case=Nom|Gender=Neut|Number=Sing|VerbForm=Gdv,parataxis,0.0,ἡσυχαστέον,(),False,x̓xxxx́xx,False,False,False,False,Nom,Neut,Sing,,,,,Gdv,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,εἰ,(),False,",",False,True,False,False,,,,,,,,,,
εἰ,εἰ,εἰ,εἰ,εἰ,ε,-20.0,SCONJ,c--------,,mark,0.0,δηλῶσαι,(),False,xx̓,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,μὴ,(),False,xxx̀,False,False,False,False,,,,,,,,,,
