orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person,Degree
δεύτερον,δεύτερον,δεύτερος,δεύτερον,ρον,δ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,ἔοικε,(),False,xxx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
δέ,δέ,δέ,δέ,δέ,δ,-20.0,ADV,d--------,,advmod,0.0,ἔοικε,(),False,xx́,False,False,False,False,,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δέ,(),False,",",False,True,False,False,,,,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,ἔοικε,(),False,xx̓,False,False,False,False,,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,μέρους,(),False,x̓x,False,False,False,False,,,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,μέρους,(),False,xxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,,
τυχόντος,τυχόντος,τυχόντος,τυχόντος,τος,τ,-20.0,VERB,v-sappng-,Case=Gen|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,nmod,0.0,μέρους,(),False,xxxx́xxxx,False,False,False,False,Gen,Neut,Sing,Past,Part,Pass,,,,
μέρους,μέρους,μέρος,μέρους,ους,μ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,obl,0.0,οὐ,(),False,xx́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,,,
τῆς,τῆς,τῆ,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,γῆς,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
γῆς,γῆς,γῆ,γῆς,ῆς,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,μέρους,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἔοικε,ἔοικε,ἔοικα,ἔοικε,ικε,ε,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἔοικε,(),False,x̓́xxxx,False,False,False,False,,,Sing,Past,Fin,Act,Perf,Ind,3,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,θεὸς,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
θεὸς,θεὸς,θεὸς,θεὸς,ὸς,θ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἔοικε,(),False,xxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,
χοῦν,χοῦν,χοῦς,χοῦν,ῦν,χ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,λαβὼν,(),False,xxx͂x,False,False,False,False,Acc,Masc,Sing,,,,,,,
λαβὼν,λαβὼν,λαβὼν,λαβὼν,ὼν,λ,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἐθελῆσαι,(),False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,Past,Part,Act,,,,
τὸν,τὸν,τὸς,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἀνδριάντα,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
ἀνθρωποειδῆ,ἀνθρωποειδῆ,ἀνθρωποειδῆ,ἀνθρωποειδῆ,δῆ,α,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,ἀνδριάντα,(),False,x̓xxxx͂,False,False,False,False,Acc,Masc,Sing,,,,,,,
τοῦτον,τοῦτον,τοῦτον,τοῦτον,τον,τ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,ἀνδριάντα,(),False,xxx͂xxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
ἀνδριάντα,ἀνδριάντα,ἀνδριάς,ἀνδριάντα,ντα,α,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,λαβὼν,(),False,x̓xxxx́xxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
