orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,PronType
μαρτυρεῖ,μαρτυρεῖ,μαρτυρεῖ,μαρτυρεῖ,εῖ,μ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,μαρτυρεῖ,"(φιλόλαος,)",False,xxxx͂,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,,
δέ,δέ,δέ,δέ,δέ,δ,-20.0,ADV,d--------,,advmod,0.0,μαρτυρεῖ,(),False,xx́,False,False,False,False,,,,,,,,,
μου,μου,ἐγώ,μου,μου,μ,-20.0,PRON,p-s---mg-,Case=Gen|Gender=Masc|Number=Sing|Person=1|PronType=Prs,nmod,0.0,λόγῳ,(),True,xxx,True,False,False,False,,Sing,1,,,,Gen,Masc,Prs
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Gender=Masc|Number=Sing,det,0.0,λόγῳ,(),False,xx͂ͅ,False,False,False,False,,Sing,,,,,Dat,Masc,
λόγῳ,λόγῳ,λόγῳ,λόγῳ,γῳ,λ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,μαρτυρεῖ,(),False,xx́xxͅ,False,False,False,False,,Sing,,,,,Dat,Masc,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,μαρτυρεῖ,(),False,xxx̀,False,False,False,False,,,,,,,,,
φιλόλαος,φιλόλαος,φιλόλαος,φιλόλαος,αος,φ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,μαρτυρεῖ,"(μαρτυρεῖ,)",False,xxxx́xxxx,False,False,False,False,,Sing,,,,,Nom,Masc,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,τούτοις,(),False,x̓x,False,False,False,False,,,,,,,,,
τούτοις,τούτοις,τούτοις,τούτοις,οις,τ,-20.0,PRON,p-p---nd-,Case=Dat|Gender=Neut|Number=Plur,nmod,0.0,φιλόλαος,(),False,xxx́xxxx,False,False,False,False,,Plur,,,,,Dat,Neut,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,μαρτυρεῖ,(),False,·,False,True,False,False,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,ROOT,0.0,",",(),False,",",False,True,False,False,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,",",(),False,",",False,True,False,False,,,,,,,,,
ἔστι,ἔστι,ἔστι,ἔστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,dep,0.0,φησί,(),False,x̓́xxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,,
γάρ,γάρ,γάρ,γάρ,άρ,γ,-20.0,ADV,d--------,,advmod,0.0,φησί,(),False,xx́x,False,False,False,False,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,φησί,(),False,",",False,True,False,False,,,,,,,,,
φησί,φησί,φησί,φησί,σί,φ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,φησί,(),False,xxxx́,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἡγεμὼν,(),False,",",False,True,False,False,,,,,,,,,
ἡγεμὼν,ἡγεμὼν,ἡγεμὼν,ἡγεμὼν,ὼν,η,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ccomp,0.0,φησί,"(ἄρχων, θεὸς, ἀκίνητος, ὅμοιος, ἕτερος)",False,x̔xxxx̀x,False,False,False,False,,Sing,,,,,Nom,Masc,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἡγεμὼν,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἄρχων,ἄρχων,ἄρχων,ἄρχων,χων,α,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,ἡγεμὼν,"(ἡγεμὼν, θεὸς, ἀκίνητος, ὅμοιος, ἕτερος)",False,x̓́xxxx,False,False,False,False,,Sing,,,,,Nom,Masc,
ἁπάντων,ἁπάντων,ἁπάντων,ἁπάντων,των,α,-20.0,ADJ,a-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,ἄρχων,(),False,x̔xx́xxxx,False,False,False,False,,Plur,,,,,Gen,Neut,
θεὸς,θεὸς,θεὸς,θεὸς,ὸς,θ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,ἡγεμὼν,"(ἡγεμὼν, ἄρχων, ἀκίνητος, ὅμοιος, ἕτερος)",False,xxx̀x,False,False,False,False,,Sing,,,,,Nom,Masc,
ἀεὶ,ἀεὶ,ἀεὶ,ἀεὶ,εὶ,α,-20.0,ADV,d--------,,advmod,0.0,ὤν,(),False,x̓xx̀,False,False,False,False,,,,,,,,,
ὤν,ὤν,ὤν,ὤν,̓́ν,ω,-20.0,AUX,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,cop,0.0,θεὸς,(),False,x̓́x,False,False,False,False,,Sing,,Pres,Part,Act,Nom,Masc,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,μόνιμος,(),False,",",False,True,False,False,,,,,,,,,
μόνιμος,μόνιμος,μόνιμος,μόνιμος,μος,μ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,amod,0.0,ἡγεμὼν,(),False,xx́xxxx,False,False,False,False,,Sing,,,,,Nom,Masc,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀκίνητος,(),False,",",False,True,False,False,,,,,,,,,
ἀκίνητος,ἀκίνητος,ἀκίνητος,ἀκίνητος,τος,α,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,ἡγεμὼν,"(ἡγεμὼν, ἄρχων, θεὸς, ὅμοιος, ἕτερος)",False,x̓xx́xxxx,False,False,False,False,,Sing,,,,,Nom,Masc,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ὅμοιος,(),False,",",False,True,False,False,,,,,,,,,
αὐτὸς,αὐτὸς,αὐτὸς,αὐτὸς,ὸς,α,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,xcomp,0.0,ὅμοιος,(),False,xx̓xx̀x,False,False,False,False,,Sing,,,,,Nom,Masc,
αὑτῷ,αὑτῷ,αὑτῷ,αὑτῷ,ῷ,α,-20.0,PRON,p-s---md-,Case=Dat|Gender=Masc|Number=Sing,obj,0.0,ὅμοιος,(),False,xx̔xx͂ͅ,False,False,False,False,,Sing,,,,,Dat,Masc,
ὅμοιος,ὅμοιος,ὅμοιος,ὅμοιος,ιος,ο,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,ἡγεμὼν,"(ἡγεμὼν, ἄρχων, θεὸς, ἀκίνητος, ἕτερος)",False,x̔́xxxx,False,False,False,False,,Sing,,,,,Nom,Masc,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἕτερος,(),False,",",False,True,False,False,,,,,,,,,
ἕτερος,ἕτερος,ἕτερος,ἕτερος,ρος,ε,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,ἡγεμὼν,"(ἡγεμὼν, ἄρχων, θεὸς, ἀκίνητος, ὅμοιος)",False,x̔́xxxx,False,False,False,False,,Sing,,,,,Nom,Masc,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ἄλλων,(),False,xx͂x,False,False,False,False,,Plur,,,,,Gen,Masc,
ἄλλων,ἄλλων,ἄλλος,ἄλλων,λων,α,-20.0,PRON,p-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἕτερος,(),False,x̓́xxxx,False,False,False,False,,Plur,,,,,Gen,Masc,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,φησί,(),False,.,False,True,False,False,,,,,,,,,
“,“,“,"""",“,“,-20.0,ADV,d--------,,ROOT,0.0,“,(),False,“,False,True,False,False,,,,,,,,,
