orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice
φησι,φησι,φημί,φησι,ησι,φ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,φησι,(),False,xxxx,True,False,False,False,Ind,Sing,3,Pres,Fin,Act
&,&,&,&,&,&,-20.0,ADV,d--------,,advmod,0.0,γτ,(),False,&,False,True,False,False,,,,,,
γτ,γτ,γτ,γτ,γτ,γ,-20.0,ADV,d--------,,advmod,0.0,φησι,(),False,xx,True,False,False,False,,,,,,
;,;,;,;,;,;,-20.0,PUNCT,u--------,,cc,0.0,φησι,(),False,;,False,True,False,False,,,,,,
