orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Mood,Person,Tense,VerbForm,Voice
ἀπεριμάχητον,ἀπεριμάχητον,ἀπεριμάχητος,ἀπεριμάχητον,τον,α,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,amod,0.0,δόγμα,(),False,x̓xxxx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,κατασκευάζον,(),False,xx̀,False,False,False,False,,,,,,,,,
δόγμα,δόγμα,δόγμα,δόγμα,γμα,δ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,κατασκευάζον,"(ἀνωφελὲς,)",False,xx́xxx,False,False,False,False,Nom,Neut,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,dep,0.0,δόγμα,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἀνωφελὲς,ἀνωφελὲς,ἀνωφελὲς,ἀνωφελὲς,ὲς,α,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,conj,0.0,δόγμα,"(δόγμα,)",False,x̓xxxx̀x,False,False,False,False,Nom,Neut,Sing,,,,,,
ἀναρχίαν,ἀναρχίαν,ἀναρχία,ἀναρχίαν,́αν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,δόγμα,(),False,x̓xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,advmod,0.0,κατασκευάζον,(),False,x̔x,False,False,False,False,,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,πόλει,(),False,x̓x,False,False,False,False,,,,,,,,,
πόλει,πόλει,πόλις,πόλει,λει,π,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,κατασκευάζον,(),False,xx́xxx,False,False,False,False,Dat,Fem,Sing,,,,,,
κατασκευάζον,κατασκευάζον,κατασκευάζω,κατασκευάζον,ζον,κ,-20.0,VERB,v3piia---,Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,κατασκευάζον,(),False,xxxx́xxx,False,False,False,False,,,Plur,Imp,Ind,3,Past,Fin,Act
