orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect
ἐπεὶ,ἐπεὶ,ἐπεὶ,ἐπεὶ,εὶ,ε,-20.0,CCONJ,c--------,,mark,0.0,ἐχρῆν,(),False,x̓xxx̀,False,False,False,False,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἐχρῆν,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,dep,0.0,ἐχρῆν,(),False,’,False,True,False,False,,,,,,,,,
οὐδὲν,οὐδὲν,οὐδὲν,οὐδὲν,ὲν,ο,-20.0,PRON,p-s---nn-,Case=Nom|Gender=Neut|Number=Sing,fixed,0.0,’,"(δέχεται,)",False,xx̓xx̀x,False,False,False,False,Nom,Neut,Sing,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,βέβαιον,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,γενέσει,(),False,x̓x,False,False,False,False,,,,,,,,,
γενέσει,γενέσει,γενέσις,γενέσει,σει,γ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,nmod,0.0,τῶν,(),False,xxxx́xxx,False,False,False,False,Dat,Fem,Sing,,,,,,
βέβαιον,βέβαιον,βέβαιος,βέβαιον,ιον,β,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,xcomp,0.0,οὐδὲν,(),False,xx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τροπὰς,(),False,",",False,True,False,False,,,,,,,,,
τροπὰς,τροπὰς,τροπὰς,τροπὰς,ὰς,τ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obl,0.0,βέβαιον,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,cc,0.0,οὐδὲν,(),False,xx̀,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,cc,0.0,δέχεται,(),False,xxx̀,False,False,False,False,,,,,,,,,
μεταβολὰς,μεταβολὰς,μεταβολὰς,μεταβολὰς,ὰς,μ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,conj,0.0,δέχεται,"(οὐδὲν, δέχεται)",False,xxxx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,
ἀναγκαίως,ἀναγκαίως,ἀναγκαίως,ἀναγκαίως,́ως,α,-20.0,ADV,d--------,,advmod,0.0,δέχεται,(),False,x̓xxxx́xx,False,False,False,False,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,θνητὰ,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,
θνητὰ,θνητὰ,θνητὰ,θνητὰ,τὰ,θ,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,δέχεται,(),False,xxxx̀,False,False,False,False,Nom,Neut,Plur,,,,,,
δέχεται,δέχεται,δέχομαι,δέχεται,ται,δ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,conj,0.0,οὐδὲν,"(οὐδὲν,)",False,xx́xxxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Mid,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,’,(),False,",",False,True,False,False,,,,,,,,,
ἐχρῆν,ἐχρῆν,ἐχρῆν,ἐχρῆν,ῆν,ε,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἐχρῆν,(),False,x̓xxx͂x,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act,Imp
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἀπολαῦσαί,(),False,xxx̀,False,False,False,False,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἄνθρωπον,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,
πρῶτον,πρῶτον,πρῶτος,πρῶτον,τον,π,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,ἄνθρωπον,(),False,xxx͂xxx,False,False,False,False,Acc,Masc,Sing,,,,,,
ἄνθρωπον,ἄνθρωπον,ἄνθρωπος,ἄνθρωπον,πον,α,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nsubj,0.0,ἀπολαῦσαί,(),False,x̓́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,
ἀπολαῦσαί,ἀπολαῦσαί,ἀπολαῦσαί,ἀπολαῦσαί,αί,α,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,csubj,0.0,ἐχρῆν,(),False,x̓xxxx͂xxx́,False,False,False,False,,,,,,Past,Inf,Act,
τινος,τινος,τις,τινος,νος,τ,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,κακοπραγίας,(),True,xxxx,True,False,False,False,Gen,Fem,Sing,,,,,,
κακοπραγίας,κακοπραγίας,κακοπραγία,κακοπραγίας,́ας,κ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obj,0.0,ἀπολαῦσαί,(),False,xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,
