orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Degree,Aspect
λέγεται,λέγεται,λέγω,λέγεται,ται,λ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,λέγεται,(),False,xx́xxxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Mid,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,λέγεται,(),False,xx̀,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἄλλα,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἄλλα,ἄλλα,ἄλλος,ἄλλα,λλα,α,-20.0,PRON,p-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,λέγεται,(),False,x̓́xxx,False,False,False,False,,Plur,,,,,Nom,Neut,,
παμπληθῆ,παμπληθῆ,παμπληθῆ,παμπληθῆ,θῆ,π,-20.0,ADV,d--------,,amod,0.0,ἄλλα,(),False,xxxx͂,False,False,False,False,,,,,,,,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,ἔπαινον,(),False,xxx̀x,False,False,False,False,,,,,,,,,,
ἔπαινον,ἔπαινον,ἔπαινος,ἔπαινον,νον,ε,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obl,0.0,λέγεται,(),False,x̓́xxxx,False,False,False,False,,Sing,,,,,Acc,Masc,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,πάθους,(),False,xxx͂,False,False,False,False,,Sing,,,,,Gen,Neut,,
πάθους,πάθους,πάθος,πάθους,ους,π,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,ἔπαινον,(),False,xx́xxxx,False,False,False,False,,Sing,,,,,Gen,Neut,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἔπαινον,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,SCONJ,c--------,,mark,0.0,οἰκειότατον,(),False,x̔x,False,False,False,False,,,,,,,,,,
ἔστι,ἔστι,ἔστι,ἔστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,οἰκειότατον,(),False,x̓́xxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,,,
οἰκειότατον,οἰκειότατον,οἰκειός,οἰκειότατον,τον,ο,-20.0,ADJ,a-s---nns,Case=Nom|Degree=Sup|Gender=Neut|Number=Sing,advcl,0.0,λέγεται,"(συγγενέστατον,)",False,xx̓xxxx́xxxx,False,False,False,False,,Sing,,,,,Nom,Neut,Sup,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,οἰκειότατον,(),False,xxx̀,False,False,False,False,,,,,,,,,,
συγγενέστατον,συγγενέστατον,συγγενέστατον,συγγενέστατον,τον,σ,-20.0,ADJ,a-s---nns,Case=Nom|Degree=Sup|Gender=Neut|Number=Sing,conj,0.0,οἰκειότατον,"(οἰκειότατον,)",False,xxxx́xxxx,False,False,False,False,,Sing,,,,,Nom,Neut,Sup,
ζῴοις,ζῴοις,ζῴον,ζῴοις,οις,ζ,-20.0,NOUN,n-p---nd-,Case=Dat|Gender=Neut|Number=Plur,obj,0.0,συγγενέστατον,(),False,xx́ͅxxx,False,False,False,False,,Plur,,,,,Dat,Neut,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,λέγεται,(),False,·,False,True,False,False,,,,,,,,,,
ἀπόχρη,ἀπόχρη,ἀπόχρη,ἀπόχρη,χρη,α,-20.0,VERB,v3sfia---,Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act,ROOT,0.0,ἀπόχρη,(),False,x̓xx́xxx,False,False,False,False,Ind,Sing,3,Fut,Fin,Act,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἀπόχρη,(),False,xx̀,False,False,False,False,,,,,,,,,,
δείγματος,δείγματος,δείγμα,δείγματος,τος,δ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,obl,0.0,ἀπόχρη,(),False,xxx́xxxx,False,False,False,False,,Sing,,,,,Gen,Neut,,
ἕνεκα,ἕνεκα,ἕνεκα,ἕνεκα,εκα,ε,-20.0,ADP,r--------,,case,0.0,δείγματος,(),False,x̔́xxxx,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,εἰρημένα,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,εἰρημένα,(),False,xx̀,False,False,False,False,,Plur,,,,,Nom,Neut,,
νῦν,νῦν,νῦν,νῦν,ῦν,ν,-20.0,ADV,d--------,,advmod,0.0,εἰρημένα,(),False,xx͂x,False,False,False,False,,,,,,,,,,
εἰρημένα,εἰρημένα,εἰρημένα,εἰρημένα,́να,ε,-20.0,VERB,v-prpenn-,Aspect=Perf|Case=Nom|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Mid,nsubj,0.0,ἀπόχρη,(),False,xx̓xxxx́xx,False,False,False,False,,Plur,,Past,Part,Mid,Nom,Neut,,Perf
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔδοξεν,(),False,",",False,True,False,False,,,,,,,,,,
ὧν,ὧν,ὧν,ὧν,̔͂ν,ω,-20.0,PRON,p-p---ng-,Case=Gen|Gender=Neut|Number=Plur,obl,0.0,ἔδοξεν,(),False,x̔͂x,False,False,False,False,,Plur,,,,,Gen,Neut,,
χάριν,χάριν,χάρις,χάριν,ριν,χ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,case,0.0,ὧν,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Acc,Fem,,
ἀνθρωπίνην,ἀνθρωπίνην,ἀνθρωπίνην,ἀνθρωπίνην,νην,α,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,φωνὴν,(),False,x̓xxxx́xxx,False,False,False,False,,Sing,,,,,Acc,Fem,,
