orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Degree,Aspect,Mood,Person
ἀρχὴν,ἀρχὴν,ἀρχὴν,ἀρχὴν,ὴν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐποίει,"(τέλος, τέλος, ἄνθρωπον)",False,x̓xxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀρχὴν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τέλος,τέλος,τέλος,τέλος,λος,τ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,ἀρχὴν,"(ἀρχὴν, τέλος, ἄνθρωπον)",False,xx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,γεγονότων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
γεγονότων,γεγονότων,γεγονότων,γεγονότων,των,γ,-20.0,VERB,v-pppang-,Case=Gen|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,nmod,0.0,τέλος,(),False,xxxx́xxx,False,False,False,False,Gen,Neut,Plur,Pres,Part,Act,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,θεὸς,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
θεὸς,θεὸς,θεὸς,θεὸς,ὸς,θ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἐποίει,(),False,xxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,
ἁρμόσασθαι,ἁρμόσασθαι,ἁρμόζω,ἁρμόσασθαι,θαι,α,-20.0,VERB,v--anm---,Tense=Past|VerbForm=Inf|Voice=Mid,xcomp,0.0,διανοηθεὶς,(),False,x̔xxx́xxxx,False,False,False,False,,,,Past,Inf,Mid,,,,
διανοηθεὶς,διανοηθεὶς,διανοηθεὶς,διανοηθεὶς,ὶς,δ,-20.0,VERB,v-sappmn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,advcl,0.0,ἐποίει,(),False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,Past,Part,Pass,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,advmod,0.0,ἀναγκαῖα,(),False,x̔x,False,False,False,False,,,,,,,,,,
ἀναγκαῖα,ἀναγκαῖα,ἀναγκαῖος,ἀναγκαῖα,ῖα,α,-20.0,ADJ,A-,Case=Acc|Degree=Sup|Gender=Neut|Number=Plur,amod,0.0,διανοηθεὶς,"(φίλτατα,)",False,x̓xxxx͂x,False,False,False,False,Acc,Neut,Plur,,,,Sup,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀναγκαῖα,(),False,xxx̀,False,False,False,False,,,,,,,,,,
φίλτατα,φίλτατα,φίλς,φίλτατα,ατα,φ,-20.0,ADJ,a-p---nas,Case=Acc|Degree=Sup|Gender=Neut|Number=Plur,conj,0.0,ἀναγκαῖα,"(ἀναγκαῖα,)",False,xx́xxxx,False,False,False,False,Acc,Neut,Plur,,,,Sup,,,
ἀρχὴν,ἀρχὴν,ἀρχὴν,ἀρχὴν,ὴν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐποίει,(),False,x̓xxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἐποίει,(),False,xx̀x,False,False,False,False,,,,,,,,,,
