orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect
ἐπεὶ,ἐπεὶ,ἐπεὶ,ἐπεὶ,εὶ,ε,-20.0,CCONJ,c--------,,mark,0.0,ἐτελειώθη,(),False,x̓xxx̀,False,False,False,False,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἐσέμνυνεν,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,ἐσέμνυνεν,(),False,’,False,True,False,False,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,κόσμος,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,
σύμπας,σύμπας,σύμπας,σύμπας,πας,σ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,κόσμος,(),False,xx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,
κόσμος,κόσμος,κόσμος,κόσμος,μος,κ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἐτελειώθη,(),False,xx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,
ἐτελειώθη,ἐτελειώθη,ἐτελειώθη,ἐτελειώθη,́θη,ε,-20.0,VERB,v3saip---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Pass,advcl,0.0,ἐσέμνυνεν,(),False,x̓xxxx́xx,False,False,False,False,,,Sing,Ind,3,Past,Fin,Pass,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,φύσιν,(),False,xxxx̀,False,False,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,φύσιν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
ἑξάδος,ἑξάδος,ἑξάς,ἑξάδος,δος,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἀριθμοῦ,(),False,x̔xx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,
ἀριθμοῦ,ἀριθμοῦ,ἀριθμοῦ,ἀριθμοῦ,οῦ,α,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,φύσιν,(),False,x̓xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,
τελείου,τελείου,τελείου,τελείου,́ου,τ,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,ἀριθμοῦ,(),False,xxxx́xx,False,False,False,False,Gen,Masc,Sing,,,,,,
φύσιν,φύσιν,φύσις,φύσιν,σιν,φ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἐτελειώθη,(),False,xx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐτελειώθη,(),False,",",False,True,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἡμέραν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
ἐπιοῦσαν,ἐπιοῦσαν,ἐπιοῦσαν,ἐπιοῦσαν,σαν,ε,-20.0,VERB,v-sppafa-,Case=Acc|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,nmod,0.0,ἡμέραν,(),False,x̓xxxx͂xxx,False,False,False,False,Acc,Fem,Sing,,,Pres,Part,Act,
ἡμέραν,ἡμέραν,ἡμέρα,ἡμέραν,ραν,η,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἐσέμνυνεν,(),False,x̔xx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,
ἑβδόμην,ἑβδόμην,ἑβδόμην,ἑβδόμην,μην,ε,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ἡμέραν,(),False,x̔xxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,
ἐσέμνυνεν,ἐσέμνυνεν,ἐσέμνυνεν,ἐσέμνυνεν,νεν,ε,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἐσέμνυνεν,(),False,x̓xx́xxxx,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act,Imp
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,πατὴρ,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,
πατὴρ,πατὴρ,πατὴρ,πατὴρ,ὴρ,π,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἐσέμνυνεν,(),False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,
ἐπαινέσας,ἐπαινέσας,ἐπαινέω,ἐπαινέσας,σας,ε,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἐσέμνυνεν,"(ἁγίαν,)",False,x̓xxxx́xxx,False,False,False,False,Nom,Masc,Sing,,,Past,Part,Act,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἐπαινέσας,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἁγίαν,ἁγίαν,ἁγίος,ἁγίαν,́αν,α,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,ἐπαινέσας,"(ἐπαινέσας,)",False,x̔xx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,
προσειπών,προσειπών,προσειπών,προσειπών,ών,π,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἐσέμνυνεν,(),False,xxxx́x,False,False,False,False,Nom,Masc,Sing,,,Past,Part,Act,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἐσέμνυνεν,(),False,·,False,True,False,False,,,,,,,,,
ἑορτὴ,ἑορτὴ,ἑορτὴ,ἑορτὴ,τὴ,ε,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,ἑορτὴ,(),False,x̔xxxx̀,False,False,False,False,Nom,Fem,Sing,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ἑορτὴ,(),False,xx̀x,False,False,False,False,,,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,πόλεως,(),False,xx̓,False,False,False,False,,,,,,,,,
μιᾶς,μιᾶς,μιᾶς,μιᾶς,ᾶς,μ,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,πόλεως,(),False,xxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
πόλεως,πόλεως,πόλις,πόλεως,εως,π,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἑορτὴ,"(χώρας, παντός)",False,xx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,πόλεως,(),False,x̓̀,False,False,False,False,Nom,Fem,Sing,,,,,,
χώρας,χώρας,χώρα,χώρας,ρας,χ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,πόλεως,"(πόλεως, παντός)",False,xx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,
ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,τὶ,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,πόλεως,(),False,x̓xxx̀,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,
ἀλλὰ,ἀλλὰ,ἀλλὰ,ἀλλὰ,λὰ,α,-20.0,CCONJ,c--------,,cc,0.0,πόλεως,(),False,x̓xxx̀,False,False,False,False,,,,,,,,,
τοὐ,τοὐ,τοὐ,τοὐ,οὐ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,παντός,(),False,xxx̓,False,False,False,False,Gen,Neut,Sing,,,,,,
παντός,παντός,παντός,παντός,ός,π,-20.0,ADJ,a-s---ng-,Case=Gen|Gender=Neut|Number=Sing,conj,0.0,πόλεως,"(πόλεως, χώρας)",False,xxxx́x,False,False,False,False,Gen,Neut,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,fixed,0.0,ἑορτὴ,(),False,",",False,True,False,False,,,,,,,,,
ἣν,ἣν,ἣν,ἣν,̔̀ν,η,-20.0,PRON,p-s---fa-,Case=Acc|Gender=Fem|Number=Sing,fixed,0.0,",",(),False,x̔̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
κυρίως,κυρίως,κυρίως,κυρίως,́ως,κ,-20.0,ADV,d--------,,advmod,0.0,ἄξιον,(),False,xxxx́xx,False,False,False,False,,,,,,,,,
ἄξιον,ἄξιον,ἄξιος,ἄξιον,ιον,α,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,amod,0.0,ἣν,(),False,x̓́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,dep,0.0,ἄξιον,(),False,xxx̀,False,False,False,False,,,,,,,,,
μόνην,μόνην,μόνος,μόνην,νην,μ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,fixed,0.0,ἄξιον,(),False,xx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,
πάνδημον,πάνδημον,πάνδημος,πάνδημον,μον,π,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,xcomp,0.0,ὀνομάζειν,"(γενέθλιον,)",False,xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,
ὀνομάζειν,ὀνομάζειν,ὀνομάζω,ὀνομάζειν,ειν,ο,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,csubj,0.0,ἄξιον,(),False,x̓xxxx́xxxx,False,False,False,False,,,,,,Pres,Inf,Act,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἄξιον,(),False,xxx̀,False,False,False,False,,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,κόσμου,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,
κόσμου,κόσμου,κόσμος,κόσμου,μου,κ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,γενέθλιον,(),False,xx́xxxx,False,False,False,False,Gen,Masc,Sing,,,,,,
γενέθλιον,γενέθλιον,γενέθλιος,γενέθλιον,ιον,γ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,πάνδημον,"(πάνδημον,)",False,xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἣν,(),False,.,False,True,False,False,,,,,,,,,
