orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Aspect
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,δὲ᾿,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
δὲ᾿,δὲ᾿,δὲ᾿,δὲ᾿,ὲ᾿,δ,-20.0,PUNCT,V-,,dep,0.0,λέγει,(),False,xx̀᾿,False,False,False,False,,,,,,,,,
ἀκολουθίας,ἀκολουθίας,ἀκολουθία,ἀκολουθίας,́ας,α,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obj,0.0,ἐχόμενος,(),False,x̓xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,
ἐχόμενος,ἐχόμενος,ἐχόμενος,ἐχόμενος,νος,ε,-20.0,VERB,v-sppemn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,λέγει,(),False,x̓xx́xxxx,False,False,False,False,Nom,Masc,Sing,Pres,Part,Mid,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἐχόμενος,(),False,xxx̀,False,False,False,False,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,εἱρμὸν,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,
εἱρμὸν,εἱρμὸν,εἱρμὸς,εἱρμὸν,ὸν,ε,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,διατηρῶν,(),False,xx̔xxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ἑπομένων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,
ἑπομένων,ἑπομένων,ἑπομένων,ἑπομένων,νων,ε,-20.0,VERB,v-pppemg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,nmod,0.0,εἱρμὸν,(),False,x̔xxxx́xxx,False,False,False,False,Gen,Masc,Plur,Pres,Part,Mid,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,ἡγούμενα,(),False,xxx̀x,False,False,False,False,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,ἡγούμενα,(),False,xx̀,False,False,False,False,Acc,Neut,Plur,,,,,,
ἡγούμενα,ἡγούμενα,ἡγούμενα,ἡγούμενα,ενα,η,-20.0,VERB,v-pppena-,Case=Acc|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,nmod,0.0,εἱρμὸν,(),False,x̔xxx́xxxx,False,False,False,False,Acc,Neut,Plur,Pres,Part,Mid,,,
διατηρῶν,διατηρῶν,διατηρῶ,διατηρῶν,ῶν,δ,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,λέγει,(),False,xxxx͂x,False,False,False,False,Nom,Masc,Sing,Pres,Part,Act,,,
ἑξῆς,ἑξῆς,ἑξῆς,ἑξῆς,ῆς,ε,-20.0,ADV,d--------,,advmod,0.0,λέγει,(),False,x̔xx͂x,False,False,False,False,,,,,,,,,
λέγει,λέγει,λέγω,λέγει,γει,λ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,λέγει,(),False,xx́xxx,False,False,False,False,,,Sing,Pres,Fin,Act,Ind,3,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,λέγει,(),False,·,False,True,False,False,,,,,,,,,
