orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect
ἀρχὴ,ἀρχὴ,ἀρχὴ,ἀρχὴ,χὴ,α,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,xcomp,0.0,γίνεται,(),False,x̓xxx̀,False,False,False,False,Nom,Fem,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,γίνεται,(),False,xx̀,False,False,False,False,,,,,,,,,
τῆς,τῆς,τῆ,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ζωῆς,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
ὑπαιτίου,ὑπαιτίου,ὑπαιτίου,ὑπαιτίου,́ου,υ,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ζωῆς,(),False,x̔xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,
ζωῆς,ζωῆς,ζωῆς,ζωῆς,ῆς,ζ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,δὲ,(),False,xxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
αὐτῷ,αὐτῷ,αὐτῷ,αὐτῷ,ῷ,α,-20.0,PRON,p-s---md-,Case=Dat|Gender=Masc|Number=Sing,nmod,0.0,ἀρχὴ,(),False,xx̓xx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,
γίνεται,γίνεται,γίγνομαι,γίνεται,ται,γ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,γίνεται,(),False,xx́xxxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Mid,
γυνή,γυνή,γυνή,γυνή,νή,γ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,γίνεται,(),False,xxxx́,False,False,False,False,Nom,Fem,Sing,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,γίνεται,(),False,·,False,True,False,False,,,,,,,,,
μέχρι,μέχρι,μέχρι,μέχρι,χρι,μ,-20.0,SCONJ,c--------,,mark,0.0,εἷς,(),False,xx́xxx,False,False,False,False,,,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ὡμοιοῦτο,(),False,xx̀x,False,False,False,False,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ὡμοιοῦτο,(),False,xx̀x,False,False,False,False,,,,,,,,,
εἷς,εἷς,εἷς,εἷς,̔͂ς,ε,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,advcl,0.0,ὡμοιοῦτο,(),False,xx̔͂x,False,False,False,False,Nom,Masc,Sing,,,,,,
ἦν,ἦν,ἦν,ἦν,̓͂ν,η,-20.0,AUX,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,cop,0.0,εἷς,(),False,x̓͂x,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act,Imp
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,εἷς,(),False,",",False,True,False,False,,,,,,,,,
ὡμοιοῦτο,ὡμοιοῦτο,ὡμοιοῦτο,ὡμοιοῦτο,͂το,ω,-20.0,VERB,v3siie---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,ROOT,0.0,ὡμοιοῦτο,"(ἐναπεμάττετο,)",False,x̔xxxx͂xx,False,False,False,False,,,Sing,Ind,3,Past,Fin,Mid,Imp
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,μόνωσιν,(),False,xxxx̀,False,False,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,μόνωσιν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
μόνωσιν,μόνωσιν,μόνωσις,μόνωσιν,σιν,μ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ὡμοιοῦτο,(),False,xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,
κόσμῳ,κόσμῳ,κόσμῳ,κόσμῳ,μῳ,κ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,ὡμοιοῦτο,"(θεῷ,)",False,xx́xxxͅ,False,False,False,False,Dat,Masc,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,κόσμῳ,(),False,xxx̀,False,False,False,False,,,,,,,,,
θεῷ,θεῷ,θεῷ,θεῷ,ῷ,θ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,conj,0.0,κόσμῳ,"(κόσμῳ,)",False,xxx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,
