orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Degree,Aspect,Mood,Person
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,ἡμετέραν,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,εἴρηται,(),False,xx̀x,False,False,False,False,,,,,,,,,,
οὖν,οὖν,οὖν,οὖν,̓͂ν,ο,-20.0,ADV,d--------,,advmod,0.0,εἴρηται,(),False,xx̓͂x,False,False,False,False,,,,,,,,,,
πρώτου,πρώτου,πρώτου,πρώτου,του,π,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,ἀνθρώπου,(),False,xxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
φύντος,φύντος,φύντος,φύντος,τος,φ,-20.0,VERB,v-sapamg-,Case=Gen|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,nmod,0.0,ἀνθρώπου,(),False,xx́xxxx,False,False,False,False,Gen,Masc,Sing,Past,Part,Act,,,,
ἀνθρώπου,ἀνθρώπου,ἀνθρώπου,ἀνθρώπου,που,α,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,fixed,0.0,οὖν,(),False,x̓xxxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,κάλλος,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,ψυχήν,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,r--------,,case,0.0,ψυχήν,(),False,’,False,True,False,False,,,,,,,,,,
ἑκάτερον,ἑκάτερον,ἑκάτερος,ἑκάτερον,ρον,ε,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,ψυχήν,(),False,x̔xx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
ψυχήν,ψυχήν,ψυχή,ψυχήν,ήν,ψ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,κάλλος,"(σῶμα,)",False,xxxx́x,False,False,False,False,Acc,Fem,Sing,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,CCONJ,d--------,,advmod,0.0,ψυχήν,(),True,xx,True,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ψυχήν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
σῶμα,σῶμα,σῶμα,σῶμα,͂μα,σ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,ψυχήν,"(ψυχήν,)",False,xx͂xx,False,False,False,False,Acc,Neut,Sing,,,,,,,
κάλλος,κάλλος,κάλλος,κάλλος,λος,κ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,ἀνθρώπου,(),False,xx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔλαττον,(),False,",",False,True,False,False,,,,,,,,,,
εἰ,εἰ,εἰ,εἰ,εἰ,ε,-20.0,ADV,d--------,,mark,0.0,ἔλαττον,(),False,xx̓,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἔλαττον,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πολλῷ,πολλῷ,πολλῷ,πολλῷ,ῷ,π,-20.0,ADJ,a-s---nd-,Case=Dat|Gender=Neut|Number=Sing,advmod,0.0,ἔλαττον,(),False,xxxx͂ͅ,False,False,False,False,Dat,Neut,Sing,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ἀληθείας,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἀληθείας,ἀληθείας,ἀληθείας,ἀληθείας,́ας,α,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,ἔλαττον,(),False,x̓xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἔλαττον,ἔλαττον,ἔλαττον,ἔλαττον,τον,ε,-20.0,ADJ,a-s---nnc,Case=Nom|Degree=Cmp|Gender=Neut|Number=Sing,xcomp,0.0,ἀνθρώπου,(),False,x̓́xxxx,False,False,False,False,Nom,Neut,Sing,,,,Cmp,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀλλὰ᾽,(),False,",",False,True,False,False,,,,,,,,,,
ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ὰ᾽,α,-20.0,PUNCT,V-,,fixed,0.0,οὖν,(),False,x̓xxx̀᾽,False,False,False,False,,,,,,,,,,
οὖν,οὖν,οὖν,οὖν,̓͂ν,ο,-20.0,ADV,d--------,,advmod,0.0,εἴρηται,(),False,xx̓͂x,False,False,False,False,,,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,δύναμιν,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
