orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Aspect,Degree
ἔπειτα,ἔπειτα,ἔπειτα,ἔπειτα,ιτα,ε,-20.0,ADV,d--------,,advmod,0.0,βλαστοὶ,(),False,x̓́xxxx,False,False,False,False,,,,,,,,,,
βλαστοὶ,βλαστοὶ,βλαστοὶ,βλαστοὶ,οὶ,β,-20.0,NOUN,n-p---mn-,Case=Nom|Gender=Masc|Number=Plur,ROOT,0.0,βλαστοὶ,"(ἐκφύσεις,)",False,xxxx̀,False,False,False,False,Nom,Masc,Plur,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,βλαστοὶ,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πετάλων,πετάλων,πετάλον,πετάλων,λων,π,-20.0,NOUN,n-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,ἐκφύσεις,(),False,xxxx́xxx,False,False,False,False,Gen,Fem,Plur,,,,,,,
ἐκφύσεις,ἐκφύσεις,ἐκφύσις,ἐκφύσεις,εις,ε,-20.0,NOUN,n-p---fn-,Case=Nom|Gender=Fem|Number=Plur,conj,0.0,βλαστοὶ,"(βλαστοὶ,)",False,x̓xxx́xxxx,False,False,False,False,Nom,Fem,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,φορά,(),False,",",False,True,False,False,,,,,,,,,,
εἶτε᾽,εἶτε᾽,εἶτε᾽,εἶτε᾽,τε᾽,ε,-20.0,ADP,r--------,,case,0.0,πᾶσι,(),False,xx̓͂xx᾽,False,False,False,False,,,,,,,,,,
ἐπὶ,ἐπὶ,ἐπὶ,ἐπὶ,πὶ,ε,-20.0,ADP,r--------,,case,0.0,πᾶσι,(),False,x̓xx̀,False,False,False,False,,,,,,,,,,
πᾶσι,πᾶσι,πᾶς,πᾶσι,͂σι,π,-20.0,ADJ,a-p---md-,Case=Dat|Gender=Neut|Number=Plur,nmod,0.0,φορά,(),False,xx͂xx,False,False,False,False,Dat,Neut,Plur,,,,,,,
καρποῦ,καρποῦ,καρποῦ,καρποῦ,οῦ,κ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,φορά,(),False,xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
φορά,φορά,φορά,φορά,ρά,φ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,appos,0.0,βλαστοὶ,(),False,xxxx́,False,False,False,False,Nom,Fem,Sing,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,βλαστοὶ,(),False,·,False,True,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,τέλειος,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πάλιν,πάλιν,πάλιν,πάλιν,λιν,π,-20.0,ADV,d--------,,advmod,0.0,τέλειος,(),False,xx́xxx,False,False,False,False,,,,,,,,,,
καρπὸς,καρπὸς,καρπὸς,καρπὸς,ὸς,κ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,τέλειος,(),False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,τέλειος,(),False,xx̓,False,False,False,False,,,,,,,,,,
τέλειος,τέλειος,τέλειος,τέλειος,ιος,τ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,τέλειος,(),False,xx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀλλὰ᾽,(),False,",",False,True,False,False,,,,,,,,,,
ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ὰ᾽,α,-20.0,PUNCT,V-,,obl,0.0,ἔχων,(),False,x̓xxx̀᾽,False,False,False,False,,,,,,,,,,
ἔχων,ἔχων,ἔχω,ἔχων,χων,ε,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,τέλειος,(),False,x̓́xxx,False,False,False,False,Nom,Masc,Sing,Pres,Part,Act,,,,
παντοίας,παντοίας,παντοίος,παντοίας,́ας,π,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,μεταβολὰς,(),False,xxxx́xx,False,False,False,False,Acc,Fem,Plur,,,,,,,
μεταβολὰς,μεταβολὰς,μεταβολὰς,μεταβολὰς,ὰς,μ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἔχων,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,,
κατά,κατά,κατά,κατά,τά,κ,-20.0,ADP,r--------,,case,0.0,ποσότητα,(),False,xxxx́,False,False,False,False,,,,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,ποσότητα,(),True,xx,True,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ποσότητα,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,μεγέθει,(),False,x̓x,False,False,False,False,,,,,,,,,,
μεγέθει,μεγέθει,μεγέθει,μεγέθει,θει,μ,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,nmod,0.0,ποσότητα,(),False,xxxx́xxx,False,False,False,False,Dat,Neut,Sing,,,,,,,
