orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Degree,Gender,Number,Mood,Person,Tense,VerbForm,Voice
φύσει,φύσει,φύσις,φύσει,σει,φ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,θανατῶδες,(),False,xx́xxx,False,False,False,False,Dat,,Fem,Sing,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀμετρία,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἰοβόλον,ἰοβόλον,ἰοβόλος,ἰοβόλον,λον,ι,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,ἀμετρία,"(ἀμετρία,)",False,x̓xxx́xxx,False,False,False,False,Acc,,Neut,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐνδεχομένων,(),False,",",False,True,False,False,,,,,,,,,
ἅτε,ἅτε,ἅτε,ἅτε,́τε,α,-20.0,ADV,d--------,,advmod,0.0,ἐνδεχομένων,(),False,x̔́xx,False,False,False,False,,,,,,,,,
πέψιν,πέψιν,πέψις,πέψιν,ψιν,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐνδεχομένων,(),False,xx́xxx,False,False,False,False,Acc,,Fem,Sing,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,ἐνδεχομένων,(),False,xx̓,False,False,False,False,,,,,,,,,
ἐνδεχομένων,ἐνδεχομένων,ἐνδεχομένων,ἐνδεχομένων,νων,ε,-20.0,VERB,v-pppeng-,Case=Gen|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,ROOT,0.0,ἐνδεχομένων,(),False,x̓xxxx́xxx,False,False,False,False,Gen,,Neut,Plur,,,Pres,Part,Mid
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,φοράν,(),False,xxx̀,False,False,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,φοράν,(),False,xx̀x,False,False,False,False,Acc,,Fem,Sing,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ἐπεισιόντων,(),False,xx͂x,False,False,False,False,Gen,,Masc,Plur,,,,,
ἐπεισιόντων,ἐπεισιόντων,ἐπεισιόντων,ἐπεισιόντων,των,ε,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,φοράν,(),False,x̓xxxx́xxxx,False,False,False,False,Gen,,Neut,Plur,,,,,
φοράν,φοράν,φορά,φοράν,άν,φ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἐνδεχομένων,(),False,xxxx́x,False,False,False,False,Acc,,Fem,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,γίνεται,(),False,",",False,True,False,False,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,ADV,d--------,,xcomp,0.0,γίνεται,(),False,x̔,False,False,False,False,,,,,,,,,
γίνεται,γίνεται,γίγνομαι,γίνεται,ται,γ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,acl,0.0,ἐνδεχομένων,(),False,xx́xxxx,False,False,False,False,,,,Sing,Ind,3,Pres,Fin,Mid
πρὶν,πρὶν,πρὶν,πρὶν,ὶν,π,-20.0,SCONJ,c--------,,mark,0.0,ἐξικμασθῆναι,(),False,xxx̀x,False,False,False,False,,,,,,,,,
ἐξικμασθῆναι,ἐξικμασθῆναι,ἐξικμασθῆναι,ἐξικμασθῆναι,ναι,ε,-20.0,VERB,v--anp---,Tense=Past|VerbForm=Inf|Voice=Pass,advcl,0.0,γίνεται,(),False,x̓xxxx͂xxx,False,False,False,False,,,,,,,Past,Inf,Pass
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,πρότερα,(),False,xx̀,False,False,False,False,Acc,,Neut,Plur,,,,,
πρότερα,πρότερα,πρότερος,πρότερα,ερα,π,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,ἐξικμασθῆναι,(),False,xxx́xxxx,False,False,False,False,Acc,,Neut,Plur,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἐνδεχομένων,(),False,.,False,True,False,False,,,,,,,,,
