orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect,Degree
μακρὸν,μακρὸν,μακρὸν,μακρὸν,ὸν,μ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,δόλιχον,(),False,xxxx̀x,False,False,False,False,Acc,Neut,Sing,,,,,,,
δόλιχον,δόλιχον,δόλιχος,δόλιχον,χον,δ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,ἀποτείνουσι,(),False,xx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
ἀποτείνουσι,ἀποτείνουσι,ἀποτείνω,ἀποτείνουσι,υσι,α,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ἀποτείνουσι,(),False,x̓xxxx́xxxx,False,False,False,False,,,Plur,Ind,3,Pres,Fin,Act,,
γεωπόνου,γεωπόνου,γεωπόνου,γεωπόνου,νου,γ,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,obj,0.0,ἐφεστῶτος,(),False,xxxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
τινὸς,τινὸς,τινὸς,τινὸς,ὸς,τ,-20.0,PRON,p-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,γεωπόνου,(),False,xxxx̀x,False,False,False,False,Gen,Masc,Sing,,,,,,,
ἐφεστῶτος,ἐφεστῶτος,ἐφεστῶτος,ἐφεστῶτος,τος,ε,-20.0,VERB,v-srpamg-,Aspect=Perf|Case=Gen|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἀποτείνουσι,(),False,x̓xxxx͂xxx,False,False,False,False,Gen,Masc,Sing,,,Past,Part,Act,Perf,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἀποτείνουσι,(),False,·,False,True,False,False,,,,,,,,,,
κριοὶ,κριοὶ,κριοὶ,κριοὶ,οὶ,κ,-20.0,NOUN,n-p---mn-,Case=Nom|Gender=Masc|Number=Plur,nsubj,0.0,ἵστανται,(),False,xxxx̀,False,False,False,False,Nom,Masc,Plur,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἵστανται,(),False,xx̀,False,False,False,False,,,,,,,,,,
βρίθοντες,βρίθοντες,βρίθω,βρίθοντες,τες,β,-20.0,VERB,v-pppamn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,ἵστανται,(),False,xxx́xxxx,False,False,False,False,Nom,Masc,Plur,,,Pres,Part,Act,,
βαθέσι,βαθέσι,βαθέσι,βαθέσι,́σι,β,-20.0,ADJ,a-p---nd-,Case=Dat|Gender=Neut|Number=Plur,nmod,0.0,μαλλοῖς,(),False,xxxx́xx,False,False,False,False,Dat,Neut,Plur,,,,,,,
μαλλοῖς,μαλλοῖς,μαλλοῖς,μαλλοῖς,ῖς,μ,-20.0,NOUN,n-p---md-,Case=Dat|Gender=Masc|Number=Plur,obj,0.0,βρίθοντες,(),False,xxxx͂x,False,False,False,False,Dat,Masc,Plur,,,,,,,
ὑπόποκοι,ὑπόποκοι,ὑπόποκος,ὑπόποκοι,κοι,υ,-20.0,ADJ,a-p---mn-,Case=Nom|Gender=Masc|Number=Plur,xcomp,0.0,βρίθοντες,(),False,x̔xx́xxxx,False,False,False,False,Nom,Masc,Plur,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,ὥραν,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ὥραν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἔαρος,ἔαρος,ἔαρ,ἔαρος,ρος,ε,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,ὥραν,(),False,x̓́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,,,
ὥραν,ὥραν,ὥρα,ὥραν,ραν,ω,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,κελευσθέντες,(),False,x̔́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ὑπὸ,ὑπὸ,ὑπὸ,ὑπὸ,πὸ,υ,-20.0,ADP,r--------,,case,0.0,ποιμένος,(),False,x̔xx̀,False,False,False,False,,,,,,,,,,
ποιμένος,ποιμένος,ποιμένος,ποιμένος,νος,π,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,obl,0.0,κελευσθέντες,(),False,xxxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
κελευσθέντες,κελευσθέντες,κελευσθέντες,κελευσθέντες,τες,κ,-20.0,VERB,v-pappmn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,advcl,0.0,ἵστανται,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Plur,,,Past,Part,Pass,,
ἵστανται,ἵστανται,ἵσταμαι,ἵστανται,ται,ι,-20.0,VERB,v3ppie---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,ἵστανται,"(ἐμπαρέχουσιν,)",False,x̔́xxxx,False,False,False,False,,,Plur,Ind,3,Pres,Fin,Mid,,
μετὰ,μετὰ,μετὰ,μετὰ,τὰ,μ,-20.0,ADP,r--------,,case,0.0,ἠρεμίας,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,r--------,,case,0.0,ἠρεμίας,(),False,’,False,True,False,False,,,,,,,,,,
ἠρεμίας,ἠρεμίας,ἠρεμίας,ἠρεμίας,́ας,η,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,ἵστανται,(),False,x̓xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,ἵστανται,(),False,x̓̀,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,κατακλινέντες,(),False,xxx̀,False,False,False,False,,,,,,,,,,
