orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Mood,Person,Tense,VerbForm,Voice
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,ADV,d--------,,advmod,0.0,ἐδεήθη,(),False,x̓̀,False,False,False,False,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,οὐδενὸς,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἐδεήθη,(),False,xx̀x,False,False,False,False,,,,,,,,,
οὐρανὸν,οὐρανὸν,οὐρανὸν,οὐρανὸν,ὸν,ο,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἐποίει,(),False,xx̓xxxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,
ἡνίκα,ἡνίκα,ἡνίκα,ἡνίκα,́κα,η,-20.0,SCONJ,c--------,,mark,0.0,ἐποίει,(),False,x̔xx́xx,False,False,False,False,,,,,,,,,
ἐποίει,ἐποίει,ἐποίει,ἐποίει,́ει,ε,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,ἐδεήθη,(),False,x̓xxx́xx,False,False,False,False,,,Sing,Imp,Ind,3,Past,Fin,Act
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,γῆν,(),False,xxx̀,False,False,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,γῆν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
γῆν,γῆν,γῆ,γῆν,ῆν,γ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐποίει,"(θάλατταν,)",False,xx͂x,False,False,False,False,Acc,Fem,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,γῆν,(),False,xxx̀,False,False,False,False,,,,,,,,,
τὴν,τὴν,τὴ,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,θάλατταν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
θάλατταν,θάλατταν,θάλασσα,θάλατταν,ταν,θ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,γῆν,"(γῆν,)",False,xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐποίει,(),False,",",False,True,False,False,,,,,,,,,
οὐδενὸς,οὐδενὸς,οὐδενὸς,οὐδενὸς,ὸς,ο,-20.0,ADJ,p-s---mg-,Case=Gen|Gender=Masc|Number=Sing,obj,0.0,ἐδεήθη,(),False,xx̓xxxx̀x,False,False,False,False,Gen,Masc,Sing,,,,,,
ἐδεήθη,ἐδεήθη,ἐδεήθη,ἐδεήθη,́θη,ε,-20.0,VERB,v3saip---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Pass,ROOT,0.0,ἐδεήθη,"(οἷός,)",False,x̓xxx́xx,False,False,False,False,,,Sing,,Ind,3,Past,Fin,Pass
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,συνεργήσοντος,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,
συνεργήσοντος,συνεργήσοντος,συνεργήω,συνεργήσοντος,τος,σ,-20.0,VERB,v-sfpamg-,Case=Gen|Gender=Masc|Number=Sing|Tense=Fut|VerbForm=Part|Voice=Act,nmod,0.0,οὐδενὸς,(),False,xxxx́xxxx,False,False,False,False,Gen,Masc,Sing,,,,Fut,Part,Act
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἄνθρωπον,(),False,",",False,True,False,False,,,,,,,,,
ἄνθρωπον,ἄνθρωπον,ἄνθρωπος,ἄνθρωπον,πον,α,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,dep,0.0,ἐδεήθη,(),False,x̓́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,cc,0.0,ἐδεήθη,(),False,xx̀,False,False,False,False,,,,,,,,,
βραχὺ,βραχὺ,βραχὺς,βραχὺ,χὺ,β,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,ζῷον,(),False,xxxx̀,False,False,False,False,Acc,Neut,Sing,,,,,,
ζῷον,ζῷον,ζῷος,ζῷον,ͅον,ζ,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,dep,0.0,ἐδεήθη,(),False,xx͂ͅxx,False,False,False,False,Nom,Neut,Sing,,,,,,
οὕτως,οὕτως,οὕτως,οὕτως,τως,ο,-20.0,ADV,d--------,,advmod,0.0,ἐπίκηρον,(),False,xx̔́xxx,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,fixed,0.0,οὕτως,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἐπίκηρον,ἐπίκηρον,ἐπίκηρος,ἐπίκηρον,ρον,ε,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,csubj,0.0,οἷός,(),False,x̓xx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,οἷός,(),False,xx̓,False,False,False,False,,,,,,,,,
οἷός,οἷός,οἷός,οἷός,ός,ο,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,ἐδεήθη,"(ἐδεήθη,)",False,xx̔͂x́x,False,False,False,False,Nom,Masc,Sing,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,οἷός,(),True,xx,True,False,False,False,,,,,,,,,
ἦν,ἦν,ἦν,ἦν,̓͂ν,η,-20.0,AUX,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,cop,0.0,οἷός,(),False,x̓͂x,False,False,False,False,,,Sing,Imp,Ind,3,Past,Fin,Act
δίχα,δίχα,δίχα,δίχα,́χα,δ,-20.0,ADP,r--------,,case,0.0,συμπράξεως,(),False,xx́xx,False,False,False,False,,,,,,,,,
συμπράξεως,συμπράξεως,συμπράξεως,συμπράξεως,εως,σ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,ἀπὸ᾽,(),False,xxxx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,
ἑτέρων,ἑτέρων,ἑτέρος,ἑτέρων,ρων,ε,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,συμπράξεως,(),False,x̔xx́xxx,False,False,False,False,Gen,Masc,Plur,,,,,,
αὐτὸς,αὐτὸς,αὐτὸς,αὐτὸς,ὸς,α,-20.0,PRON,p-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἀπὸ᾽,(),False,xx̓xx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,
ἀπὸ᾽,ἀπὸ᾽,ἀπὸ᾽,ἀπὸ᾽,ὸ᾽,α,-20.0,PUNCT,V-,,dep,0.0,ἐδεήθη,(),False,x̓xx̀᾽,False,False,False,False,,,,,,,,,
ἑαυτοῦ,ἑαυτοῦ,ἑαυτοῦ,ἑαυτοῦ,οῦ,ε,-20.0,PRON,p-s---mg-,Case=Gen|Gender=Masc|Number=Sing,obl,0.0,κατασκευάσασθαι,(),False,x̔xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,
κατασκευάσασθαι,κατασκευάσασθαι,κατασκευάζω,κατασκευάσασθαι,θαι,κ,-20.0,VERB,v--anm---,Tense=Past|VerbForm=Inf|Voice=Mid,xcomp,0.0,ἀπὸ᾽,(),False,xxxx́xxxx,False,False,False,False,,,,,,,Past,Inf,Mid
;,;,;,;,;,;,-20.0,PUNCT,u--------,,punct,0.0,ἐδεήθη,(),False,;,False,True,False,False,,,,,,,,,
