orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Aspect,Degree
μάρτυρες,μάρτυρες,μάρτυς,μάρτυρες,ρες,μ,-20.0,NOUN,n-p---mn-,Case=Nom|Gender=Masc|Number=Plur,ROOT,0.0,μάρτυρες,"(ἡνίοχοι, κυβερνῆται)",False,xx́xxxx,False,False,False,False,Nom,Masc,Plur,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,μάρτυρες,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,μάρτυρες,(),False,’,False,True,False,False,,,,,,,,,,
ἡνίοχοι,ἡνίοχοι,ἡνίοχος,ἡνίοχοι,χοι,η,-20.0,NOUN,n-p---mn-,Case=Nom|Gender=Masc|Number=Plur,conj,0.0,μάρτυρες,"(μάρτυρες, κυβερνῆται)",False,x̔xx́xxxx,False,False,False,False,Nom,Masc,Plur,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἡνίοχοι,(),False,xxx̀,False,False,False,False,,,,,,,,,,
κυβερνῆται,κυβερνῆται,κυβερνῆται,κυβερνῆται,ται,κ,-20.0,NOUN,n-p---mn-,Case=Nom|Gender=Masc|Number=Plur,conj,0.0,ἡνίοχοι,"(μάρτυρες, ἡνίοχοι)",False,xxxx͂xxx,False,False,False,False,Nom,Masc,Plur,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,μάρτυρες,(),False,·,False,True,False,False,,,,,,,,,,
οἱ,οἱ,οἱ,οἱ,οἱ,ο,-20.0,DET,l-p---mn-,Case=Nom|Gender=Masc|Number=Plur,det,0.0,ὑστερίζοντες,(),False,xx̔,False,False,False,False,Nom,Masc,Plur,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἄγουσι,(),False,xx̀x,False,False,False,False,,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ἄγουσι,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ὑστερίζοντες,ὑστερίζοντες,ὑστερίζω,ὑστερίζοντες,τες,υ,-20.0,VERB,v-pppamn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,nsubj,0.0,ἐθέλωσιν,"(ἐξεταζόμενοι,)",False,x̔xxxx́xxxx,False,False,False,False,Nom,Masc,Plur,Pres,Part,Act,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,ὑποζυγίων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
ὑποζυγίων,ὑποζυγίων,ὑποζυγίων,ὑποζυγίων,́ων,υ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,ὑστερίζοντες,(),False,x̔xxxx́xx,False,False,False,False,Gen,Neut,Plur,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ὑστερίζοντες,(),False,xxx̀,False,False,False,False,,,,,,,,,,
κατόπιν,κατόπιν,κατόπιν,κατόπιν,πιν,κ,-20.0,ADV,d--------,,case,0.0,αὐτῶν,(),False,xxxx́xxx,False,False,False,False,,,,,,,,,,
αὐτῶν,αὐτῶν,αὐτῶν,αὐτῶν,ῶν,α,-20.0,PRON,p-p---ng-,Case=Gen|Gender=Neut|Number=Plur,obl,0.0,ἐξεταζόμενοι,(),False,xx̓xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
ἐξεταζόμενοι,ἐξεταζόμενοι,ἐξεταζόμενοι,ἐξεταζόμενοι,νοι,ε,-20.0,VERB,v-pppemn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,conj,0.0,ὑστερίζοντες,"(ὑστερίζοντες,)",False,x̓xxxx́xxxx,False,False,False,False,Nom,Masc,Plur,Pres,Part,Mid,,,,
ᾗ,ᾗ,ᾗ,ᾗ,̔͂ͅ,η,-20.0,CCONJ,c--------,,advmod,0.0,ἐθέλωσιν,(),False,x̔͂ͅ,False,False,False,False,,,,,,,,,,
ἄν,ἄν,ἄν,ἄν,̓́ν,α,-20.0,ADV,c--------,,advmod,0.0,ἐθέλωσιν,(),False,x̓́x,False,False,False,False,,,,,,,,,,
ἐθέλωσιν,ἐθέλωσιν,ἐθέλω,ἐθέλωσιν,σιν,ε,-20.0,VERB,v3ppsa---,Mood=Sub|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,advcl,0.0,ἄγουσι,(),False,x̓xx́xxxx,False,False,False,False,,,Plur,Pres,Fin,Act,Sub,3,,
αὐτὰ,αὐτὰ,αὐτὰ,αὐτὰ,τὰ,α,-20.0,PRON,p-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,ἐθέλωσιν,(),False,xx̓xx̀,False,False,False,False,Acc,Neut,Plur,,,,,,,
ἄγουσι,ἄγουσι,ἄγω,ἄγουσι,υσι,α,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ἄγουσι,"(ἐφιέντες, ἀναχαιτίζοντες, θέοι)",False,x̓́xxxx,False,False,False,False,,,Plur,Pres,Fin,Act,Ind,3,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,ἡνιῶν,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
ἡνιῶν,ἡνιῶν,ἡνιῶν,ἡνιῶν,ῶν,η,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,obj,0.0,ἐνειλημμένοι,(),False,x̔xxx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
ἐνειλημμένοι,ἐνειλημμένοι,ἐνειλημμένοι,ἐνειλημμένοι,νοι,ε,-20.0,VERB,v-prpemn-,Aspect=Perf|Case=Nom|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Mid,advcl,0.0,ἄγουσι,(),False,x̓xxxx́xxx,False,False,False,False,Nom,Masc,Plur,Past,Part,Mid,,,Perf,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἄγουσι,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τοτὲ,τοτὲ,τοτὲ,τοτὲ,τὲ,τ,-20.0,ADV,d--------,,advmod,0.0,ἐφιέντες,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἐφιέντες,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ἐφιέντες,ἐφιέντες,ἐφιέντες,ἐφιέντες,τες,ε,-20.0,VERB,v-pppamn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,conj,0.0,ἄγουσι,"(ἄγουσι, ἀναχαιτίζοντες, θέοι)",False,x̓xxx́xxxx,False,False,False,False,Nom,Masc,Plur,Pres,Part,Act,,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,δρόμον,(),False,xxx̀x,False,False,False,False,,,,,,,,,,
ὀξὺν,ὀξὺν,ὀξὺς,ὀξὺν,ὺν,ο,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,δρόμον,(),False,x̓xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
δρόμον,δρόμον,δρόμος,δρόμον,μον,δ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obl,0.0,ἐφιέντες,(),False,xxx́xxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
τοτὲ,τοτὲ,τοτὲ,τοτὲ,τὲ,τ,-20.0,ADV,d--------,,advmod,0.0,ἀναχαιτίζοντες,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,cc,0.0,ἐφιέντες,(),False,xx̀,False,False,False,False,,,,,,,,,,
