orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect,Degree,PronType
εὐμαρέστερον,εὐμαρέστερον,εὐμαρέστερον,εὐμαρέστερον,ρον,ε,-20.0,ADJ,a-s---nnc,Case=Nom|Degree=Cmp|Gender=Neut|Number=Sing,ccomp,0.0,δῆλον,(),False,xx̓xxxx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,,Cmp,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,παραγαγεῖν,(),False,xxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,ὄντα,(),False,xx̀,False,False,False,False,Acc,Neut,Plur,,,,,,,,
μὴ,μὴ,μὴ,μὴ,μὴ,μ,-20.0,ADV,d--------,,advmod,0.0,ὄντα,(),False,xx̀,False,False,False,False,,,,,,,,,,,
ὄντα,ὄντα,ὄντα,ὄντα,ντα,ο,-20.0,AUX,v-pppana-,Case=Acc|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,nsubj,0.0,παραγαγεῖν,(),False,x̓́xxx,False,False,False,False,Acc,Neut,Plur,,,Pres,Part,Act,,,
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,εἶναι,(),False,xx̓x,False,False,False,False,,,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,εἶναι,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,,
εἶναι,εἶναι,εἶναι,εἶναι,ναι,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,dep,0.0,παραγαγεῖν,(),False,xx̓͂xxx,False,False,False,False,,,,,,Pres,Inf,Act,,,
παραγαγεῖν,παραγαγεῖν,παραγαγεῖν,παραγαγεῖν,ῖν,π,-20.0,VERB,V-,Tense=Past|VerbForm=Inf|Voice=Act,csubj,0.0,εὐμαρέστερον,(),False,xxxx͂x,False,False,False,False,,,,,,Past,Inf,Act,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,φορὰν,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,φορὰν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,ὄντων,(),False,x̓x,False,False,False,False,,,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ὄντων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,,
