orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,PronType,Aspect
μονάδι,μονάδι,μονάς,μονάδι,́δι,μ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,iobj,0.0,μετρεῖται,(),False,xxxx́xx,False,False,False,False,Dat,Fem,Sing,,,,,,,
μόνῃ,μόνῃ,μόνῃ,μόνῃ,νῃ,μ,-20.0,ADJ,a-s---fd-,Case=Dat|Gender=Fem|Number=Sing,appos,0.0,μονάδι,(),False,xx́xxͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
μετρεῖται,μετρεῖται,μετρεῖται,μετρεῖται,ται,μ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,acl,0.0,δεκάδος,(),False,xxxx͂xxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Mid,,
συνεστῶσα,συνεστῶσα,συνεστῶσα,συνεστῶσα,͂σα,σ,-20.0,VERB,V-,Aspect=Perf|Case=Nom|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,μετρεῖται,(),False,xxxx͂xx,False,False,False,False,Nom,Fem,Sing,,,Past,Part,Act,,Perf
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,μονάδων,(),False,x̓x,False,False,False,False,,,,,,,,,,
μονάδων,μονάδων,μονάς,μονάδων,δων,μ,-20.0,NOUN,n-p---fg-,Case=Gen|Gender=Fem|Number=Plur,obl,0.0,συνεστῶσα,"(δεκάδος,)",False,xxxx́xxx,False,False,False,False,Gen,Fem,Plur,,,,,,,
ἑπτά,ἑπτά,ἑπτά,ἑπτά,τά,ε,-20.0,NUM,a--------,,nmod,0.0,μονάδων,(),False,x̔xxx́,False,False,False,False,,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἡ,(),False,",",False,True,False,False,,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,μετρεῖται,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,μετρεῖται,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,dep,0.0,μετρεῖται,(),False,’,False,True,False,False,,,,,,,,,,
ἐκτὸς,ἐκτὸς,ἐκτὸς,ἐκτὸς,ὸς,ε,-20.0,ADP,R-,,case,0.0,δεκάδος,(),False,x̓xxx̀x,False,False,False,False,,,,,,,,,,
δεκάδος,δεκάδος,δεκάς,δεκάδος,δος,δ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,μονάδων,"(μονάδων,)",False,xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δεκάδος,(),False,",",False,True,False,False,,,,,,,,,,
ἀριθμὸς,ἀριθμὸς,ἀριθμὸς,ἀριθμὸς,ὸς,α,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἀρχὴ,(),False,x̓xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,
οὗ,οὗ,οὗ,οὗ,ὗ,ο,-20.0,ADV,d--------,,advmod,0.0,πάντως,(),False,xx̔͂,False,False,False,False,,,,,,,,,,
πάντως,πάντως,πάντως,πάντως,τως,π,-20.0,ADV,d--------,,advmod,0.0,ἀρχὴ,(),False,xx́xxxx,False,False,False,False,,,,,,,,,,
ἀρχὴ,ἀρχὴ,ἀρχὴ,ἀρχὴ,χὴ,α,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,ἀρχὴ,(),False,x̓xxx̀,False,False,False,False,Nom,Fem,Sing,,,,,,,
μονὰς,μονὰς,μονὰς,μονὰς,ὰς,μ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἀρχὴ,(),False,xxxx̀x,False,False,False,False,Gen,Fem,Sing,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,ἀριθμούς,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
τοὺς,τοὺς,τοὺς,τοὺς,ὺς,τ,-20.0,DET,l-p---ma-,Case=Acc|Gender=Masc|Number=Plur,det,0.0,ἀριθμούς,(),False,xxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,,,
διπλασίους,διπλασίους,διπλασίους,διπλασίους,ους,δ,-20.0,ADJ,a-p---ma-,Case=Acc|Gender=Masc|Number=Plur,amod,0.0,ἀριθμούς,"(τριπλασίους,)",False,xxxx́xxx,False,False,False,False,Acc,Masc,Plur,,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,διπλασίους,(),False,x̓̀,False,False,False,False,,,,,,,,,,
τριπλασίους,τριπλασίους,τριπλασίους,τριπλασίους,ους,τ,-20.0,ADJ,a-p---ma-,Case=Acc|Gender=Masc|Number=Plur,conj,0.0,διπλασίους,"(διπλασίους,)",False,xxxx́xxx,False,False,False,False,Acc,Masc,Plur,,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,τριπλασίους,(),False,x̓̀,False,False,False,False,,,,,,,,,,
συνόλως,συνόλως,συνόλως,συνόλως,λως,σ,-20.0,ADV,d--------,,advmod,0.0,ἀναλογοῦντας,(),False,xxxx́xxx,False,False,False,False,,,,,,,,,,
ἀναλογοῦντας,ἀναλογοῦντας,ἀναλογοῦντας,ἀναλογοῦντας,τας,α,-20.0,VERB,v-pppama-,Case=Acc|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,nmod,0.0,ἀριθμούς,(),False,x̓xxxx͂xxxx,False,False,False,False,Acc,Masc,Plur,,,Pres,Part,Act,,
ἀριθμούς,ἀριθμούς,ἀριθμούς,ἀριθμούς,ύς,α,-20.0,NOUN,n-p---ma-,Case=Acc|Gender=Masc|Number=Plur,obl,0.0,ἀρχὴ,(),False,x̓xxxx́x,False,False,False,False,Acc,Masc,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔχει,(),False,",",False,True,False,False,,,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,SCONJ,c--------,,mark,0.0,ἔχει,(),False,x̔x,False,False,False,False,,,,,,,,,,
ἔχει,ἔχει,ἔχω,ἔχει,χει,ε,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,dep,0.0,ἀρχὴ,(),False,x̓́xxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,ἑξηκοντατέσσαρα,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
ἑξηκοντατέσσαρα,ἑξηκοντατέσσαρα,ἑξηκοντατέσσαρα,ἑξηκοντατέσσαρα,αρα,ε,-20.0,NUM,Ma,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,ἔχει,"(ἑπτακόσια,)",False,x̔xxxx́xxxx,False,False,False,False,Nom,Neut,Plur,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἑξηκοντατέσσαρα,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,ἑπτακόσια,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
ἑπτακόσια,ἑπτακόσια,ἑπτακόσιοι,ἑπτακόσια,σια,ε,-20.0,NUM,Ma,Case=Nom|Gender=Neut|Number=Plur,conj,0.0,ἑξηκοντατέσσαρα,"(ἑξηκοντατέσσαρα,)",False,x̔xxxx́xxx,False,False,False,False,Nom,Neut,Plur,,,,,,,
εἰκοσιεννέα,εἰκοσιεννέα,εἰκοσιεννέα,εἰκοσιεννέα,έα,ε,-20.0,NUM,Ma,,nsubj,0.0,ἔχει,(),False,xx̓xxxx́x,False,False,False,False,,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,παραυξηθείς,(),False,",",False,True,False,False,,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,παραυξηθείς,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,παραυξηθείς,(),False,xx̀x,False,False,False,False,,,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,μονάδος,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,μονάδος,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
ἀπὸ,ἀπὸ,ἀπὸ,ἀπὸ,πὸ,α,-20.0,ADP,r--------,,case,0.0,μονάδος,(),False,x̓xx̀,False,False,False,False,,,,,,,,,,
μονάδος,μονάδος,μονάς,μονάδος,δος,μ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,διπλάσιον,(),False,xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
διπλάσιον,διπλάσιον,διπλάσιος,διπλάσιον,ιον,δ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,παραυξηθείς,(),False,xxxx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
παραυξηθείς,παραυξηθείς,παραυξηθείς,παραυξηθείς,ίς,π,-20.0,VERB,v-sappmn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,advcl,0.0,ἀρχὴ,(),False,xxxx́x,False,False,False,False,Nom,Masc,Sing,,,Past,Part,Pass,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ὁ,(),False,",",False,True,False,False,,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,παραυξηθείς,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,παραυξηθείς,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,παραυξηθείς,(),False,’,False,True,False,False,,,,,,,,,,
αὖ,αὖ,αὖ,αὖ,ὖ,α,-20.0,ADV,d--------,,dep,0.0,παραυξηθείς,(),False,xx̓͂,False,False,False,False,,,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,τριπλάσιον,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,τριπλάσιον,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
τριπλάσιον,τριπλάσιον,τριπλάσιος,τριπλάσιον,ιον,τ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obl,0.0,παραυξηθείς,(),False,xxxx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἀρχὴ,(),False,.,False,True,False,False,,,,,,,,,,
