orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,PronType,Aspect
διχῶς,διχῶς,διχῶς,διχῶς,ῶς,δ,-20.0,ADV,d--------,,advmod,0.0,λέγεται,(),False,xxxx͂x,False,False,False,False,,,,,,,,,,
ἑβδομὰς,ἑβδομὰς,ἑβδομὰς,ἑβδομὰς,ὰς,ε,-20.0,NOUN,Mo,Case=Acc|Gender=Fem|Number=Plur,xcomp,0.0,λέγεται,(),False,x̔xxxx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,,
λέγεται,λέγεται,λέγω,λέγεται,ται,λ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass,ROOT,0.0,λέγεται,(),False,xx́xxxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Pass,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δεκάδος,(),False,",",False,True,False,False,,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,δεκάδος,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,δεκάδος,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ἐντὸς,ἐντὸς,ἐντὸς,ἐντὸς,ὸς,ε,-20.0,ADP,r--------,,case,0.0,δεκάδος,(),False,x̓xxx̀x,False,False,False,False,,,,,,,,,,
δεκάδος,δεκάδος,δεκάς,δεκάδος,δος,δ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,dep,0.0,λέγεται,(),False,xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,μετρεῖται,(),False,",",False,True,False,False,,,,,,,,,,
ἥτις,ἥτις,ἥτις,ἥτις,τις,η,-20.0,PRON,Pr,Case=Nom|Gender=Fem|Number=Sing|PronType=Rel,nsubj,0.0,μετρεῖται,(),False,x̔́xxx,False,False,False,False,Nom,Fem,Sing,,,,,,Rel,
ἑπτάκις,ἑπτάκις,ἑπτάκις,ἑπτάκις,κις,ε,-20.0,ADV,d--------,,advmod,0.0,μετρεῖται,(),False,x̔xxx́xxx,False,False,False,False,,,,,,,,,,
