orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Tense,VerbForm,Voice,Mood,Person
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,πρόσθεσιν,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,
ἑνὸς,ἑνὸς,ἑνὸς,ἑνὸς,ὸς,ε,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,πρόσθεσιν,(),False,x̔xx̀x,False,False,False,False,Gen,Neut,Sing,,,,,,
πρόσθεσιν,πρόσθεσιν,πρόσθεσις,πρόσθεσιν,σιν,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,μονάδα,"(μονάδα, γραμμὴ, δυάδα, τέτακται)",False,xxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,προστεθέντος,(),False,",",False,True,False,False,,,,,,,,,
βάθους,βάθους,βάθος,βάθους,ους,β,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,ἐπιπέδῳ,(),False,xx́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,,
ἐπιπέδῳ,ἐπιπέδῳ,ἐπιπέδῳ,ἐπιπέδῳ,δῳ,ε,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,obl,0.0,προστεθέντος,(),False,x̓xxxx́xxͅ,False,False,False,False,Dat,Neut,Sing,,,,,,
προστεθέντος,προστεθέντος,προστεθέντος,προστεθέντος,τος,π,-20.0,VERB,v-sappmg-,Case=Gen|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,advcl,0.0,λέγοιτε,(),False,xxxx́xxxx,False,False,False,False,Gen,Masc,Sing,,Past,Part,Pass,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,λέγοιτε,(),False,·,False,True,False,False,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,οὗ,(),False,x̓x,False,False,False,False,,,,,,,,,
οὗ,οὗ,οὗ,οὗ,ὗ,ο,-20.0,PRON,p-s---ng-,Case=Gen|Gender=Neut|Number=Sing,obl,0.0,δῆλόν,(),False,xx̔͂,False,False,False,False,Gen,Neut,Sing,,,,,,
δῆλόν,δῆλόν,δῆλός,δῆλόν,όν,δ,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,ROOT,0.0,δῆλόν,(),False,xx͂xx́x,False,False,False,False,Nom,Neut,Sing,,,,,,
ἐστι,ἐστι,ἐστι,ἐστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,δῆλόν,(),False,x̓xxx,False,False,False,False,,,Sing,,Pres,Fin,Act,Ind,3
ὅτι,ὅτι,ὅτι,ὅτι,́τι,ο,-20.0,SCONJ,c--------,,mark,0.0,ἀρχὴ,(),False,x̔́xx,False,False,False,False,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,οὐσία,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ἑβδομάδος,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
ἑβδομάδος,ἑβδομάδος,ἑβδομάδο,ἑβδομάδος,δος,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,οὐσία,(),False,x̔xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,
οὐσία,οὐσία,οὐσία,οὐσία,ία,ο,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,ἀρχὴ,(),False,xx̓xx́x,False,False,False,False,Nom,Fem,Sing,,,,,,
γεωμετρίας,γεωμετρίας,γεωμετρία,γεωμετρίας,́ας,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,οὐσία,"(στερεομετρίας,)",False,xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,γεωμετρίας,(),False,xxx̀,False,False,False,False,,,,,,,,,
στερεομετρίας,στερεομετρίας,στερεομετρία,στερεομετρίας,́ας,σ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,γεωμετρίας,"(γεωμετρίας,)",False,xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,
ἀρχὴ,ἀρχὴ,ἀρχὴ,ἀρχὴ,χὴ,α,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ccomp,0.0,δῆλόν,"(συνελόντι,)",False,x̓xxx̀,False,False,False,False,Nom,Fem,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀρχὴ,(),False,xxx̀,False,False,False,False,,,,,,,,,
συνελόντι,συνελόντι,συνελόντι,συνελόντι,ντι,σ,-20.0,VERB,v-sapamd-,Case=Dat|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,conj,0.0,ἀρχὴ,"(ἀρχὴ,)",False,xxxx́xxx,False,False,False,False,Dat,Masc,Sing,,Past,Part,Act,,
φράσαι,φράσαι,φράζω,φράσαι,σαι,φ,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,xcomp,0.0,συνελόντι,(),False,xxx́xxx,False,False,False,False,,,,,Past,Inf,Act,,
ἀσωμάτων,ἀσωμάτων,ἀσωμάτων,ἀσωμάτων,των,α,-20.0,ADJ,a-p---ng-,Case=Gen|Gender=Neut|Number=Plur,obj,0.0,συνελόντι,"(σωμάτων,)",False,x̓xxxx́xxx,False,False,False,False,Gen,Neut,Plur,,,,,,
ὁμοῦ,ὁμοῦ,ὁμοῦ,ὁμοῦ,οῦ,ο,-20.0,ADV,d--------,,advmod,0.0,ἀσωμάτων,(),False,x̔xxx͂,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀσωμάτων,(),False,xxx̀,False,False,False,False,,,,,,,,,
σωμάτων,σωμάτων,σωμάτων,σωμάτων,των,σ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,conj,0.0,ἀσωμάτων,"(ἀσωμάτων,)",False,xxxx́xxx,False,False,False,False,Gen,Neut,Plur,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,δῆλόν,(),False,.,False,True,False,False,,,,,,,,,
